name_with_owner,stars,created_at,updated_at,pull_requests,total_releases,primary_language,open_issues,closed_issues,percentual
sindresorhus/awesome,292792,2014-07-11,2024-03-06,641,0,,22,312,93.41317365269461
public-apis/public-apis,284464,2016-03-20,2024-03-06,1871,0,Python,11,548,98.03220035778175
codecrafters-io/build-your-own-x,248830,2018-05-09,2024-03-06,133,0,,177,426,70.64676616915423
vuejs/vue,206492,2013-07-29,2024-03-06,1133,249,TypeScript,356,9657,96.44462199141117
tensorflow/tensorflow,181152,2015-11-07,2024-03-06,16442,202,C++,1896,36889,95.1115121825448
CyC2018/CS-Notes,171029,2018-02-13,2024-03-06,375,0,,130,446,77.43055555555556
airbnb/javascript,140704,2012-11-01,2024-03-06,802,0,JavaScript,90,1205,93.05019305019306
Chalarangelo/30-seconds-of-code,118408,2017-11-29,2024-03-06,816,8,JavaScript,0,294,100.0
golang/go,118347,2014-08-19,2024-03-06,1,0,Go,8672,51916,85.68693470654254
facebook/react-native,114950,2015-01-09,2024-03-06,801,303,C++,814,24669,96.8057136129969
justjavac/free-programming-books-zh_CN,108503,2013-11-04,2024-03-06,282,3,,0,0,0.0
angular/angular,94022,2014-09-18,2024-03-06,3517,358,TypeScript,1392,25540,94.83142729838112
ant-design/ant-design,89618,2015-04-24,2024-03-06,13124,638,TypeScript,968,27818,96.63725422080178
puppeteer/puppeteer,86304,2017-05-09,2024-03-06,4266,359,TypeScript,297,6265,95.47394087168546
iluwatar/java-design-patterns,85941,2014-08-09,2024-03-06,1226,0,Java,200,699,77.75305895439377
papers-we-love/papers-we-love,82211,2013-12-15,2024-03-06,425,0,Shell,18,218,92.37288135593221
godotengine/godot,81399,2014-01-04,2024-03-06,31285,54,C++,9686,38794,80.02062706270627
animate-css/animate.css,79503,2011-10-12,2024-03-06,315,22,CSS,20,838,97.66899766899768
fatedier/frp,77875,2015-12-21,2024-03-06,569,91,Go,85,3119,97.34706616729089
iptv-org/iptv,76647,2018-11-14,2024-03-06,6137,0,JavaScript,13,7509,99.82717362403616
