file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\Blob.java,com.esproc.jdbc.Blob,class,2,3,1,2,24,1,0,9,19,0.35714287,0.46153846,0.46153846,14,0,13,1,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,75,13,5,3,1,0,0,8,15,6,11,3,0,0,0,128,1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\Clob.java,com.esproc.jdbc.Clob,class,3,4,1,3,19,1,0,14,0,0.2,0.62857145,0.62857145,15,0,15,0,0,0,15,0,0,0,1,0,0,1,0,0,0,0,1,68,13,1,2,1,0,0,2,12,5,9,2,0,0,0,136,1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\DatabaseMetaData.java,com.esproc.jdbc.DatabaseMetaData,class,10,11,1,10,202,1,0,20,16984,0.9846847,0.0010691376,0.003920171,185,0,184,1,0,0,184,1,0,0,6,0,0,6,0,0,1,0,217,782,177,1,8,0,0,208,24,22,7,13,3,0,0,0,691,1025,4
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\InternalConnection.java,com.esproc.jdbc.InternalConnection$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\InternalConnection.java,com.esproc.jdbc.InternalConnection$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\InternalConnection.java,com.esproc.jdbc.InternalConnection$Anonymous4,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\InternalConnection.java,com.esproc.jdbc.InternalConnection$Anonymous3,anonymous,1,1,0,1,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,10,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\InternalConnection.java,com.esproc.jdbc.InternalConnection,class,20,26,6,20,128,1,0,69,2728,0.9552667,0.041476406,0.1263318,77,0,72,4,1,0,73,0,0,2,17,1,0,8,9,0,1,0,142,572,58,4,15,9,3,134,16,72,12,53,6,4,0,0,518,1,31
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\InternalCStatement.java,com.esproc.jdbc.InternalCStatement,class,17,19,2,17,140,3,0,75,6555,0.9956522,0.0,0.0,115,0,115,0,0,0,115,0,0,1,2,1,0,2,0,0,1,0,262,649,63,3,11,2,0,257,23,68,3,62,6,0,0,0,317,1025,69
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\InternalDriver.java,com.esproc.jdbc.InternalDriver,class,12,15,3,12,67,1,0,56,141,0.90404034,0.040935673,0.040935673,18,0,9,0,9,0,19,0,0,1,11,6,0,6,5,0,6,0,45,295,16,2,18,13,0,41,18,75,18,50,5,1,0,0,236,1,11
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\InternalDriver.java,com.esproc.jdbc.InternalDriver$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,-1,0
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\InternalPStatement.java,com.esproc.jdbc.InternalPStatement,class,10,13,3,10,146,2,1,48,899,0.7177419,0.280226,0.280226,62,0,60,2,0,0,60,0,0,0,2,0,0,0,2,0,0,0,105,465,16,27,13,8,2,103,103,37,94,26,5,0,0,0,329,1025,17
C:\Users\lucas\OneDrive\햞ea de Trabalho\lab-06\esProc\src\main\java\com\esproc\jdbc\InternalStatement.java,com.esproc.jdbc.InternalStatement$Anonymous1,anonymous,2,2,0,2,4,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,5,0,1,1,0,0,0,25,-1,0
