name_with_owner,stars,created_at,releases
GrowingGit/GitHub-Chinese-Top-Charts,86458,2019-09-05,0
MisterBooo/LeetCodeAnimation,74847,2018-12-06,0
macrozheng/mall,74762,2018-04-04,3
elastic/elasticsearch,67112,2010-02-08,138
kdn251/interviews,61405,2017-02-14,0
TheAlgorithms/Java,56260,2016-07-16,0
spring-projects/spring-framework,54773,2010-12-08,285
NationalSecurityAgency/ghidra,46845,2019-03-01,33
apache/dubbo,39904,2012-06-19,95
jeecgboot/jeecg-boot,37371,2018-11-26,37
dbeaver/dbeaver,36890,2015-10-21,195
geekxh/hello-algorithm,34600,2020-05-29,0
airbnb/lottie-android,34600,2016-10-06,49
alibaba/arthas,34465,2018-08-29,52
xkcoding/spring-boot-demo,31797,2017-11-10,0
ityouknow/spring-boot-examples,29841,2016-11-05,0
termux/termux-app,29774,2015-10-23,89
SeleniumHQ/selenium,29050,2013-01-14,91
doocs/leetcode,28377,2018-09-16,19
TeamNewPipe/NewPipe,28154,2015-09-03,128
dromara/hutool,28124,2014-04-13,139
alibaba/druid,27578,2011-11-03,50
alibaba/spring-cloud-alibaba,27109,2017-12-01,38
apache/kafka,27064,2011-08-15,0
lenve/vhr,26872,2018-01-04,0
qiurunze123/miaosha,26027,2018-09-14,0
alibaba/fastjson,25602,2011-11-03,84
hollischuang/toBeTopJavaer,25127,2018-10-25,0
signalapp/Signal-Android,24785,2011-12-15,0
DrKLO/Telegram,23532,2013-10-25,89
apache/skywalking,23104,2015-11-07,58
apache/flink,22997,2014-06-07,0
YunaiV/ruoyi-vue-pro,22757,2021-01-24,24
libgdx/libgdx,22586,2012-08-10,11
jenkinsci/jenkins,22213,2010-11-22,327
bazelbuild/bazel,22164,2014-06-12,136
alibaba/Sentinel,21859,2018-04-04,24
google/ExoPlayer,21410,2014-06-13,28
Anuken/Mindustry,20791,2017-04-30,160
elunez/eladmin,20695,2018-12-14,1
apache/rocketmq,20403,2016-11-30,18
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,20329,2012-11-24,0
didi/DoKit,19896,2018-08-14,10
CarGuo/GSYVideoPlayer,19537,2016-11-13,45
keycloak/keycloak,19443,2013-07-02,53
apache/shardingsphere,19335,2016-01-18,55
mybatis/mybatis-3,19297,2013-02-14,42
brettwooldridge/HikariCP,19282,2013-10-08,0
linlinjava/litemall,18794,2018-03-22,8
Baseflow/PhotoView,18684,2012-07-17,5
dianping/cat,18369,2012-12-05,3
Tencent/tinker,17022,2016-09-06,56
nostra13/Android-Universal-Image-Loader,16806,2011-11-27,0
openzipkin/zipkin,16657,2012-06-06,87
shuzheng/zheng,16632,2016-10-04,0
winterbe/java8-tutorial,16581,2014-03-16,0
Tencent/APIJSON,16480,2016-11-21,96
baomidou/mybatis-plus,15633,2016-08-18,28
barry-ran/QtScrcpy,15508,2019-06-23,29
prestodb/presto,15504,2012-08-09,0
android10/Android-CleanArchitecture,15448,2014-08-19,0
thingsboard/thingsboard,15399,2016-12-01,59
kunal-kushwaha/DSA-Bootcamp-Java,15122,2021-07-30,0
dromara/Sa-Token,15112,2020-02-03,31
ben-manes/caffeine,15061,2014-12-13,68
YunaiV/yudao-cloud,15041,2019-05-02,10
alibaba/DataX,14983,2018-01-18,7
dataease/dataease,14782,2021-02-02,66
mockito/mockito,14510,2012-10-13,209
alibaba/ARouter,14369,2016-12-14,16
apache/hadoop,14224,2014-08-28,0
zhisheng17/flink-learning,14182,2019-01-01,0
Curzibn/Luban,13484,2016-07-24,6
Bigkoo/Android-PickerView,13393,2014-12-28,0
seaswalker/spring-analysis,13341,2016-09-09,0
JessYanCoding/AndroidAutoSize,13289,2018-08-17,14
apache/druid,13150,2012-10-23,58
Netflix/zuul,13116,2013-03-13,7
quarkusio/quarkus,12964,2018-07-06,298
sqshq/piggymetrics,12937,2015-03-29,2
youth5201314/banner,12689,2016-04-22,0
macrozheng/mall-learning,12656,2019-04-12,0
zhihu/Matisse,12481,2017-04-13,15
daimajia/AndroidViewAnimations,12391,2014-06-23,9
daimajia/AndroidSwipeLayout,12350,2014-08-25,18
Netflix/eureka,12173,2012-07-26,148
DuGuQiuBai/Java,12124,2015-11-25,0
codecentric/spring-boot-admin,12113,2014-07-25,118
pagehelper/Mybatis-PageHelper,12027,2014-06-09,14
zaproxy/zaproxy,11867,2015-06-03,9
apache/zookeeper,11864,2009-03-27,0
apache/dolphinscheduler,11824,2019-03-01,51
Yalantis/uCrop,11739,2016-01-05,16
redis/jedis,11554,2010-06-11,99
itwanger/toBeBetterJavaer,11537,2018-11-08,0
Tencent/matrix,11339,2018-12-11,16
gyf-dev/ImmersionBar,11119,2017-04-19,0
jfeinstein10/SlidingMenu,11102,2012-06-30,0
grpc/grpc-java,11097,2014-12-08,158
apache/doris,11095,2017-08-10,39
tink-crypto/tink,13444,2014-06-06,21
java-decompiler/jd-gui,13404,2015-03-25,18
Bigkoo/Android-PickerView,13393,2014-12-28,0
deeplearning4j/deeplearning4j,13381,2013-11-27,0
questdb/questdb,13354,2014-04-28,77
seaswalker/spring-analysis,13341,2016-09-09,0
GoogleContainerTools/jib,13312,2018-01-22,154
JessYanCoding/AndroidAutoSize,13289,2018-08-17,14
gyoogle/tech-interview-for-developer,13186,2019-06-09,0
pinpoint-apm/pinpoint,13171,2014-10-20,56
LuckSiege/PictureSelector,13010,2017-01-04,116
Netflix/conductor,12923,2016-12-07,319
facebookarchive/stetho,12665,2015-01-22,13
macrozheng/mall-learning,12656,2019-04-12,0
greenrobot/greenDAO,12609,2011-10-22,8
projectlombok/lombok,12533,2009-06-08,0
theonedev/onedev,12513,2018-11-06,316
zhihu/Matisse,12481,2017-04-13,15
daimajia/AndroidViewAnimations,12391,2014-06-23,9
daimajia/AndroidSwipeLayout,12350,2014-08-25,18
neo4j/neo4j,12323,2012-11-12,72
google/guice,12321,2014-05-28,19
janishar/mit-deep-learning-book-pdf,12231,2017-04-07,3
codecentric/spring-boot-admin,12113,2014-07-25,118
zaproxy/zaproxy,11867,2015-06-03,9
apache/dolphinscheduler,11824,2019-03-01,51
chat2db/Chat2DB,11820,2023-06-20,34
Tencent/VasSonic,11772,2017-08-01,10
pxb1988/dex2jar,11747,2015-03-16,8
Yalantis/uCrop,11739,2016-01-05,16
supertokens/supertokens-core,11733,2020-01-05,65
itwanger/toBeBetterJavaer,11537,2018-11-08,0
languagetool-org/languagetool,11437,2013-08-08,0
realm/realm-java,11432,2012-04-20,0
frank-lam/fullstack-tutorial,11430,2018-04-13,0
macrozheng/mall-swarm,11237,2019-11-25,3
permissions-dispatcher/PermissionsDispatcher,11204,2015-08-15,40
code4craft/webmagic,11182,2013-04-23,26
careercup/CtCI-6th-Edition,11119,2015-07-02,0
jfeinstein10/SlidingMenu,11102,2012-06-30,0
apache/doris,11095,2017-08-10,39
androidannotations/androidannotations,11086,2012-01-06,0
alibaba/COLA,11074,2018-02-06,10
H07000223/FlycoTabLayout,10978,2015-11-09,4
mission-peace/interview,10977,2014-07-20,0
lingochamp/FileDownloader,10943,2015-12-22,65
amitshekhariitbhu/android-interview-questions,10818,2017-07-09,0
alibaba/vlayout,10810,2017-02-27,34
daniulive/SmarterStreaming,10787,2016-03-26,0
newbee-ltd/newbee-mall,10748,2019-09-21,0
metersphere/metersphere,10723,2020-02-03,206
square/javapoet,10655,2013-02-01,0
android-async-http/android-async-http,10644,2011-02-20,3
jeasonlzy/okhttp-OkGo,10587,2016-01-15,14
aosp-mirror/platform_frameworks_base,10568,2008-10-21,0
jhy/jsoup,10548,2009-12-19,13
cryptomator/cryptomator,10529,2014-02-02,171
xiaojieonly/Ehviewer_CN_SXJ,10510,2020-11-09,79
tbruyelle/RxPermissions,10480,2015-09-29,11
