name_with_owner,stars,created_at,releases,loc,cbo,dit,lcom
GrowingGit/GitHub-Chinese-Top-Charts,86458,2019-09-05,0,5,0,1,0
MisterBooo/LeetCodeAnimation,74847,2018-12-06,0,63,3,3,0
macrozheng/mall,74762,2018-04-04,3,100896,2990,942,844181
elastic/elasticsearch,67112,2010-02-08,138,2247376,269840,61743,1394782
kdn251/interviews,61405,2017-02-14,0,5621,307,258,75
TheAlgorithms/Java,56260,2016-07-16,0,33543,1714,979,5220
spring-projects/spring-framework,54773,2010-12-08,285,698287,88295,24935,514524
apache/dubbo,39904,2012-06-19,95,215231,23054,5664,184160
jeecgboot/jeecg-boot,37371,2018-11-26,37,41058,5393,853,38291
dbeaver/dbeaver,36890,2015-10-21,195,458470,61863,13400,432315
geekxh/hello-algorithm,34600,2020-05-29,0,61,3,3,0
airbnb/lottie-android,34600,2016-10-06,49,16749,1914,362,8773
alibaba/arthas,34465,2018-08-29,52,44679,4011,1184,33815
xkcoding/spring-boot-demo,31797,2017-11-10,0,7163,2435,545,1119
ityouknow/spring-boot-examples,29841,2016-11-05,0,4461,1451,315,1545
termux/termux-app,29774,2015-10-23,89,24090,1894,455,18935
SeleniumHQ/selenium,29050,2013-01-14,91,84816,10741,2557,58664
doocs/leetcode,28377,2018-09-16,19,4028,367,150,58
TeamNewPipe/NewPipe,28154,2015-09-03,128,40716,4767,940,24924
dromara/hutool,28124,2014-04-13,139,120587,8758,3098,254200
alibaba/druid,27578,2011-11-03,50,328782,29331,11408,1249912
alibaba/spring-cloud-alibaba,27109,2017-12-01,38,15908,3325,632,9532
apache/kafka,27064,2011-08-15,0,541359,54486,9909,332772
lenve/vhr,26872,2018-01-04,0,2971,417,96,4543
qiurunze123/miaosha,26027,2018-09-14,0,8581,1186,322,4090
alibaba/fastjson,25602,2011-11-03,84,205479,11716,9518,797943
hollischuang/toBeTopJavaer,25127,2018-10-25,0,0,0,0,0
signalapp/Signal-Android,24785,2011-12-15,0,205797,28088,6429,142481
DrKLO/Telegram,23532,2013-10-25,89,1350446,75278,18888,634400
apache/skywalking,23104,2015-11-07,58,81461,15652,3665,13163
apache/flink,22997,2014-06-07,0,1131293,170123,39741,682589
YunaiV/ruoyi-vue-pro,22757,2021-01-24,24,70573,23654,3788,50453
libgdx/libgdx,22586,2012-08-10,11,285413,20492,7343,14087007
jenkinsci/jenkins,22213,2010-11-22,327,179064,24294,7708,176203
bazelbuild/bazel,22164,2014-06-12,136,625395,86291,18281,743695
alibaba/Sentinel,21859,2018-04-04,24,54733,6532,1756,18585
google/ExoPlayer,21410,2014-06-13,28,262348,24896,4249,171334
elunez/eladmin,20695,2018-12-14,1,7733,2189,334,1728
apache/rocketmq,20403,2016-11-30,18,199288,18255,3642,298459
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,20329,2012-11-24,0,894,264,91,21
didi/DoKit,19896,2018-08-14,10,80443,7070,2072,112602
CarGuo/GSYVideoPlayer,19537,2016-11-13,45,30344,3279,946,34008
keycloak/keycloak,19443,2013-07-02,53,474245,54254,12849,543045
apache/shardingsphere,19335,2016-01-18,55,181216,50021,10926,181396
mybatis/mybatis-3,19297,2013-02-14,42,55337,5660,2027,34643
brettwooldridge/HikariCP,19282,2013-10-08,0,10652,715,212,30963
linlinjava/litemall,18794,2018-03-22,8,90884,2849,695,945790
Baseflow/PhotoView,18684,2012-07-17,5,1792,213,61,1107
dianping/cat,18369,2012-12-05,3,97994,10458,2714,43578
Tencent/tinker,17022,2016-09-06,56,39549,2403,808,13776
nostra13/Android-Universal-Image-Loader,16806,2011-11-27,0,7434,681,222,4038
shuzheng/zheng,16632,2016-10-04,0,41742,2306,717,173496
winterbe/java8-tutorial,16581,2014-03-16,0,2081,91,88,344
Tencent/APIJSON,16480,2016-11-21,96,12428,373,85,58625
baomidou/mybatis-plus,15633,2016-08-18,28,30543,4798,1169,22671
barry-ran/QtScrcpy,15508,2019-06-23,29,3875,252,65,1695
prestodb/presto,15504,2012-08-09,0,689718,99819,15796,852091
android10/Android-CleanArchitecture,15448,2014-08-19,0,2260,540,150,706
thingsboard/thingsboard,15399,2016-12-01,59,200918,38414,7688,103204
kunal-kushwaha/DSA-Bootcamp-Java,15122,2021-07-30,0,6614,321,274,886
dromara/Sa-Token,15112,2020-02-03,31,19807,2189,597,31117
ben-manes/caffeine,15061,2014-12-13,68,76292,5975,2034,177323
YunaiV/yudao-cloud,15041,2019-05-02,10,67571,23466,3724,50186
alibaba/DataX,14983,2018-01-18,7,75304,5120,1990,20765
dataease/dataease,14782,2021-02-02,66,22539,3015,780,13848
mockito/mockito,14510,2012-10-13,209,51494,7269,2912,38064
alibaba/ARouter,14369,2016-12-14,16,3165,362,138,1710
apache/hadoop,14224,2014-08-28,0,1628292,157945,34818,1490291
zhisheng17/flink-learning,14182,2019-01-01,0,13941,2480,648,1926
Curzibn/Luban,13484,2016-07-24,6,1088,86,34,315
Bigkoo/Android-PickerView,13393,2014-12-28,0,4421,339,105,1410
seaswalker/spring-analysis,13341,2016-09-09,0,378,80,41,59
JessYanCoding/AndroidAutoSize,13289,2018-08-17,14,1720,265,69,1533
apache/druid,13150,2012-10-23,58,702549,104960,18326,826994
Netflix/zuul,13116,2013-03-13,7,20243,3067,758,11868
quarkusio/quarkus,12964,2018-07-06,298,759634,130905,31678,1633590
sqshq/piggymetrics,12937,2015-03-29,2,1881,598,105,379
youth5201314/banner,12689,2016-04-22,0,2724,444,134,3481
macrozheng/mall-learning,12656,2019-04-12,0,29041,2087,479,204732
zhihu/Matisse,12481,2017-04-13,15,3418,506,106,614
daimajia/AndroidViewAnimations,12391,2014-06-23,9,965,277,148,188
daimajia/AndroidSwipeLayout,12350,2014-08-25,18,2770,275,98,4359
Netflix/eureka,12173,2012-07-26,148,32877,4364,943,13781
DuGuQiuBai/Java,12124,2015-11-25,0,10840,478,729,668
codecentric/spring-boot-admin,12113,2014-07-25,118,13795,3564,582,3317
pagehelper/Mybatis-PageHelper,12027,2014-06-09,14,7332,1041,255,5364
zaproxy/zaproxy,11867,2015-06-03,9,181507,11844,4784,173585
apache/zookeeper,11864,2009-03-27,0,119982,9668,3379,64176
apache/dolphinscheduler,11824,2019-03-01,51,106165,16832,3399,39908
Yalantis/uCrop,11739,2016-01-05,16,4669,485,105,2226
redis/jedis,11554,2010-06-11,99,90516,4960,1431,534368
itwanger/toBeBetterJavaer,11537,2018-11-08,0,0,0,0,0
Tencent/matrix,11339,2018-12-11,16,79032,7913,1871,17962
gyf-dev/ImmersionBar,11119,2017-04-19,0,7237,902,299,22614
jfeinstein10/SlidingMenu,11102,2012-06-30,0,3085,379,145,3511
grpc/grpc-java,11097,2014-12-08,158,232656,27837,7021,63055
apache/doris,11095,2017-08-10,39,0,0,0,0
tink-crypto/tink,13444,2014-06-06,21,82028,11224,1888,43637
java-decompiler/jd-gui,13404,2015-03-25,18,19309,1847,984,4524
Bigkoo/Android-PickerView,13393,2014-12-28,0,4421,339,105,1410
deeplearning4j/deeplearning4j,13381,2013-11-27,0,551064,47664,12101,310619757
questdb/questdb,13354,2014-04-28,77,0,0,0,0
