number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2,2021-01-25T22:40:31Z,2021-05-08T14:03:18Z,2021-05-08T14:03:18Z,81,13255,14,"This PR will track progress and tasks related to the HLL.
The list below is subject to change and serves only to approximate.
Design

 basic language design. making quick decisions based on the philosophy of adopting decisions from familiar languages (rust, solidity)
 formal language synax spec
 heap memory management model (non-freeing permissions based model described by @adlerjohn )
 register management
 macros

Lexing

 functions
 traits
 expressions
 literals
 declarations
 contract, script, and predicate definitions
 use statements
 struct definitions
 typedefs
 sum types, union types
 match exprs
 type ascriptions
 generic types
 vectors and arrays
 references
 impl traits
 colon-delineated paths for calling things
 struct expressions
 mut keyword
 generic structs
 loops
 variable re-assignments
 unit type annotation
 inline assembly

Parsing to AST

 functions
 traits
 expressions
 literals
 declarations
 namespacing in ast
 pattern matching
 exhaustive matches
 generic types
 vectors and arrays
 references
 match exprs
 impl traits
 colon-delineated paths for calling things
 struct expressions
 immutability by default
 Generic structs
 loops
 variable re-assignment
 handling imports
 inline assembly
 trait constraint solver
 generic type checking in traits
 generic type checking in structs
 generic type checking in enums

Program Validity and General Features

 type inferencing and type checking system
 namespaces
 trait checking on generic types
 stdlib written w/ implemented inline bytecode assembly
 control flow analysis

AST Optimizations (incomplete list)

 dead branch elimination
 denoting constantly evaluatable exprs and fns

Assembly Generation (incomplete list)

 non-branching expressions
 branching expressions
 function declarations
 function calls
 contract calls

Other

 formatted error spans and error messages
 error recovery (recovering from errors and reporting multiple back to the user instead of just one -- currently fails on first error)

Things I am choosing to address in future PRs (still before mainnet release probably):

Lifetime checking
Macros",3,12
34,2021-05-08T14:38:31Z,2021-05-09T14:06:56Z,2021-05-09T14:06:56Z,2,15,3,,2,0
35,2021-05-08T18:00:13Z,2021-05-09T12:49:41Z,2021-05-09T12:49:41Z,11,69,0,Add an mdBook book for documentation with some empty pages that can be filled in later. Also add Action to deploy automatically to GitHub pages (tested the same action in a new private repo so it should work fine).,2,0
37,2021-05-09T14:09:55Z,2021-05-14T16:32:41Z,2021-05-14T16:32:41Z,42,1211,697,"Well, it started with writing a testing harness, and then I kept catching bugs and one thing led to another...

Introduce a testing harness that compiles programs using forc  to catch regressions in integration
refactor return statements (code organization)
fixed bug where enums would sometimes resolve to the inner type they represented instead of the enum type itself. e.g. MyEnum::Variant(3) would have type Numeric instead of MyEnum.
Add the ability to annotate the return type of the returned register from inline assembly, so you don't get u64 downcast warnings every time
Introduce the concept of a PartiallyResolvedType, to allow for delayed resolution of some types. This is used to delay deciding what specific integer type a numeric literal has until it is used, instead of always defaulting to u64 and getting downcast warnings.
If there is an error within a trait implementation function, it would previously cause a ""missing function in impl trait"" warning as a side effect. This is no longer the case.
Allow implementing traits from another module, like impl std::ops::Eq
Fix a bug where self was not being properly handled in method invocations.
Update GitHub actions to run the new test suite",2,1
43,2021-05-14T16:31:18Z,2021-05-15T20:44:43Z,2021-05-15T20:44:43Z,11,205,256,"Closes #42
Also does some housekeeping regarding the example project dir and fixes an off-by-one error.",2,0
44,2021-05-17T16:09:06Z,2021-05-18T19:25:27Z,2021-05-18T19:25:27Z,12,198,36,"Allow asm expressions with no initialized registers
Allow references to reserved registers by name (cgas, sp, etc.)
Warn if the user ""shadows"" a reserved ASM register
Add test case for accessing reserved registers
Fix bug where expressions in the implicit return position did not get added to the dead code analysis graph",3,0
45,2021-05-18T00:42:40Z,2021-05-18T21:50:51Z,2021-05-18T21:50:51Z,19,761,454,"Closes #39
Continues to re-pass failed top-level AST nodes, reversing the order each time, until either the errored nodes reach a stable amount of errors or compilation succeeds. This removes any dependency on the ordering of declarations, and is a much more simple algorithm than constructing a dependency graph.
A test for multi-pass compilation is also added in this PR.",2,0
48,2021-05-19T15:34:29Z,2021-05-21T11:57:07Z,2021-05-21T11:57:07Z,75,4193,97,"Includes:

core_lang fields changed to public in order to be usable outside of that crate
restructure of forc CLI, separating operation functions from command line handler functions
Language server initial implementation
vscode-plugin dev implementation",3,0
49,2021-05-19T21:21:01Z,2021-05-19T22:31:08Z,2021-05-19T22:31:08Z,1,1,0,Use profile: minimal when installing toolchain. Should speed up CI.,2,0
50,2021-05-22T19:17:47Z,2021-05-23T17:57:56Z,2021-05-23T17:57:56Z,18,2460,1329,"This merge does not yet handle encoding the data section as bytes after the program section, but it is already large enough so I'm going to feature-freeze this for the sake of a palatable code review.
This merge includes:

VirtualOps -- ops that have not yet been allocated and are unlimited
AllocatedOps -- allocated ops, will never be more than 48
RealizedOps -- ops with no OrganizationalOps. That means the labels are converted to offsets and the references to the data section are also ""realized"" into offsets into the data section. That latter part is not included in this merge.
Updated the ops to use the latest spec
A basic register allocation algorithm which returns registers back to the pool when they are never read again.
VirtualImmediateN -- a size-checked version of our immediate types, to ensure no overflow or user error by using immediates that are too large.",2,1
52,2021-05-23T18:02:19Z,2021-05-30T00:09:34Z,2021-05-30T00:09:34Z,20,799,187,"Tracks the generation of runnable bytes from the compiler.

introduce a static-length str type for char arrays baked into the data section. Length is a part of the type, see below screenshot:



Generate runnable bytecode (accuracy pending VM tests in a subsequent merge -- do not rely on bytecode accuracy from this PR
Defer data section ""rendering"" until the finalization of the asm into bytecode
Adds a bytecode preamble as a place for metadata, currently only used for the data section begin point
Add a --asm flag to forc build to dump the ASM before it is turned into Vec<u8>

I would recommend not trying to manually (mentally) scan this code for bytecode correctness just yet -- we will have tests and debugging with the VM up and running very soon and it will simply be easier to detect errors in that part of the code at that time.",5,0
53,2021-05-26T13:27:07Z,2021-05-26T15:28:53Z,2021-05-26T15:28:54Z,2,1,46,Also remove codecov since it's unused for now. We can re-add it later properly.,3,0
54,2021-05-26T13:38:06Z,2021-05-26T15:45:36Z,2021-05-26T15:45:36Z,16,0,2723,"removed vscode-plugin from this repo
removed js-related stuff from .gitignore",3,0
55,2021-05-26T14:05:23Z,2021-05-26T15:28:41Z,2021-05-26T15:28:41Z,1,1,0,fuel-tx will be needed for forc to craft transactions.,3,0
56,2021-05-26T20:57:28Z,2021-05-26T23:22:37Z,2021-05-26T23:22:37Z,34,18,22,"Rename uses to ""Fume"" to ""Sway"" and .fm to .sw.",2,0
59,2021-05-28T15:47:13Z,2021-06-01T14:48:07Z,2021-06-01T14:48:07Z,24,1645,70,"Change the basic compilation tests to run through the VM and validate that they do not panic or return an error.
Draft pending #52",3,1
61,2021-05-30T00:13:30Z,2021-06-03T13:32:12Z,2021-06-03T13:32:12Z,4,286,87,"expand the stdlib to include Add, Subtract, Eq, Ord, Multiply, and Divide for all primitive numeric types
fix bug where methods defined in the interface surface were unavailable to methods in the methods section of trait declarations, e.g.

trait MyTrait {
  fn foo() -> u64;
} {
  fn bar() -> u64 {
     // this function should be able to use `MyTrait::foo`
    foo()
  }
}

My plan is to put this up for review now, then build a feature that allows you to include multiple files in one project (#62), and then use that to further extend the stdlib.",2,0
62,2021-05-30T15:40:54Z,2021-06-09T14:15:42Z,2021-06-09T14:15:42Z,32,762,135,"Right now, sway programs must be one file. If you want to import other shared code, it must come from a separate library project, which also must only contain one source file.
This draft PR tracks the implementation of include statements, which will allow you to declare a library within your own project and use it in your namespace.
I have chosen to use the specific wording include <name> instead of Rust's mod <name> for two reasons:

The module system in Rust is very powerful but also complicated and often complained about
We don't actually want to reimplement the Rust module system, at least I think, because it is decently complicated and unnecessary for our problem domain. Even more unnecessary for the early versions of Sway.

This feature will be used to further extend the stdlib beyond math ops, which are defined in the current stdlib main.sw file.
See this project in the test suite for some examples of using imports.",2,1
64,2021-05-31T18:34:48Z,2021-06-07T15:51:44Z,2021-06-07T15:51:44Z,5,87,3,"implemented mvprun

compile code at ""../example_project/fuel_project"" and store it as script
read --data argument from CLI and convert it to bytes and store it as script_data
create tx with these two fields
run it with Interpreter::execute_tx
output the log",3,3
72,2021-06-03T23:27:29Z,2021-06-04T14:37:25Z,2021-06-04T14:37:25Z,9,87,14,"closes #69
Also implement byte serialization for remaining literal formats, unit expressions, and add a test case for a large function application.",2,0
74,2021-06-05T08:16:32Z,2021-06-14T16:28:04Z,2021-06-14T16:28:04Z,9,555,11,,2,3
77,2021-06-11T10:01:04Z,2021-06-17T07:58:20Z,2021-06-17T07:58:20Z,4,257,34,"This initial implementation contains the types used by the Sway-DAP
implementation as compile-time generated source mappings.",3,0
