number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
6,2017-03-12T21:33:27Z,,2017-05-29T12:04:06Z,1,1,0,Another list of OSX/macOS/iOS security resources,5,5
12,2017-07-23T23:27:34Z,2017-07-25T17:36:56Z,2017-07-25T17:36:56Z,1,1,0,Very new but structured already. Are you open to add it as it is or I should wait a while?,2,0
41,2018-10-07T23:29:11Z,,2021-07-31T15:43:21Z,1,1,0,Added this resource on various heap exploitation techniques.,7,2
42,2018-10-15T22:53:28Z,2018-10-25T06:33:58Z,2018-10-25T06:33:58Z,1,4,4,Change header level 3 (###) to 2 (##),2,0
45,2018-10-31T07:17:25Z,,2018-11-07T12:06:14Z,1,1,0,Added https://github.com/jekil/awesome-hacking,2,0
48,2019-02-03T20:48:34Z,2019-02-09T09:00:42Z,2019-02-09T09:00:42Z,1,1,0,,2,1
50,2019-04-13T21:51:32Z,2019-04-26T03:31:38Z,2019-04-26T03:31:38Z,1,1,0,,3,1
52,2019-07-19T17:52:59Z,2019-07-31T16:43:23Z,2019-07-31T16:43:23Z,1,1,1,,3,1
54,2019-10-02T10:46:16Z,2019-10-03T15:22:23Z,2019-10-03T15:22:23Z,1,1,0,List of  resources which help during asset discovery phase of a security assessment engagement.,2,0
55,2019-10-02T10:57:24Z,2019-10-03T15:21:17Z,2019-10-03T15:21:17Z,1,0,1,https://github.com/seifreed/malware-scripts is returning a 404.,4,0
72,2020-01-02T14:06:37Z,2020-04-21T13:29:28Z,2020-04-21T13:29:28Z,1,1,0,Added Awesome Mainframe Hacking,4,4
74,2020-02-14T20:05:34Z,,2020-03-17T19:06:46Z,1,4,0,"Adding Pentest bookmarkz (https://github.com/SofianeHamlaoui/Pentest-Bookmarkz)
 Adding Lockdoor Framework (https://github.com/SofianeHamlaoui/Lockdoor-Framework)
 Adding CyberSec Resources (https://github.com/The-Art-of-Hacking/h4cker)
  Adding Payloads all the things (https://github.com/swisskyrepo/PayloadsAllTheThings)",3,0
96,2020-05-18T05:19:40Z,,2020-05-29T11:42:06Z,1,1,0,android hacking awesom,5,4
123,2021-03-26T23:52:18Z,,2021-07-31T15:58:11Z,1,1,0,,4,0
132,2021-12-16T12:21:21Z,2022-08-27T11:18:00Z,2022-08-27T11:18:00Z,1,2,1,,8,4
133,2022-02-05T12:34:18Z,,2024-04-13T12:06:04Z,1,2,1,Add largest Cellular Hacking resource on the Internet,16,6
134,2022-02-09T06:49:12Z,2022-08-27T11:22:09Z,2022-08-27T11:22:09Z,1,1,0,,5,3
135,2022-02-14T00:27:41Z,,2022-08-27T11:22:43Z,1,1,0,thanksk,4,0
136,2022-02-17T22:31:19Z,,2022-08-27T11:23:20Z,1,21,0,,4,2
137,2022-03-07T18:09:13Z,2023-12-10T07:24:03Z,2023-12-10T07:24:03Z,1,1,0,,9,2
138,2022-06-30T00:01:22Z,2023-12-10T07:26:11Z,2023-12-10T07:26:11Z,1,2,2,"""Other useful repositories"" --> ""Other Useful Repositories""
""Need more?""  --> ""Need More?""",12,2
139,2022-06-30T08:29:11Z,,2022-08-27T11:28:04Z,1,3,0,Added about some attacks and basic tips to prevent ourselves from hackers.,9,9
140,2022-07-01T18:42:18Z,,2022-07-03T10:53:17Z,1,0,0,,5,3
143,2022-11-07T16:35:17Z,,2023-12-10T07:26:49Z,1,13,13,I am new on github. still now i am in the process of learning. I am just practising the fork option.,5,0
145,2023-03-05T23:54:20Z,,2023-03-30T04:23:08Z,1,1,0,Added my repository with a huge list of automatically updated IP address ranges for various cloud providers and services.,3,2
149,2023-07-05T19:18:28Z,,2023-12-10T07:29:51Z,1,2,0,please ignore this PR i am just practicing the request,9,1
150,2023-07-18T13:50:04Z,,2023-12-10T07:31:15Z,1,12,10,For better understanding to users i have arrange readme properly,5,1
151,2023-07-31T14:23:14Z,,2023-12-10T07:33:24Z,1,1,0,This is a pull request to add iSpy (A project I made) to the Awesome Repositories list.,4,4
152,2023-08-08T10:17:20Z,,2024-04-13T12:11:47Z,1,1,0,Cognito Scanner is a CLI open-source tool. It enables to pentest Cognito AWS instance easily. It can be installed through a python package,9,3
153,2023-10-24T15:58:00Z,,2024-04-13T12:16:38Z,1,1,0,Nand2Tetris is a open resource that teaches about everything about a computer from the basic logic gates to Operating System,3,1
