number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
19,2023-04-02T00:52:56Z,,2023-04-02T10:34:35Z,13,175,118,"added openai model to args, modified args code, updated readme",2,5
32,2023-04-02T15:34:16Z,2023-04-02T22:52:40Z,2023-04-02T22:52:40Z,1,2,2,specifc -> specific,2,0
33,2023-04-02T17:06:08Z,2023-04-10T11:07:42Z,2023-04-10T11:07:42Z,16,84,15,"This merge request aims to improve the documentation of the functions in the project. The current documentation for the functions is either incomplete or lacks clarity, making it difficult for users to understand the functionalities of the functions.",7,13
36,2023-04-02T18:20:26Z,,2023-04-04T23:20:05Z,0,0,0,,6,6
39,2023-04-02T19:05:24Z,2023-04-02T22:41:08Z,2023-04-02T22:41:08Z,9,40,27,"Removed keys.py.
Added .env.template.
Added .env to .gitignore.
Updated various files that imported keys to use os.getenv instead.
Updated requirements.txt dependencies and move to root directory.
Updated README.md with instructions on setting up environment variables.

This change improves security, flexibility, and makes it easier to use Auto-GPT in notebooks. Environment variables are stored in .env and loaded via load_dotenv() in scripts/main.py.",3,4
41,2023-04-02T19:15:53Z,2023-04-02T22:25:01Z,2023-04-02T22:25:01Z,1,3,2,"The docs say the command to add TTS is speach-mode, while it's speak-mode. Just a small mistake, but still caused some issues.",3,2
44,2023-04-02T20:54:57Z,2023-04-02T22:21:25Z,2023-04-02T22:21:25Z,2,16,8,"hello, in order to isolate the execution, I added a simple dockerfile using py3.11 (I had to remove the pins to resolve conflicts).
docker build -t auto-gpt . && docker run --rm -it auto-gpt
I'm also happy to add a dependency manager as well so the project doest have any dep conflicts;  if thats something that might be interesting for you, let me know and I can push another pr using pip-tools or poetry or pipenv etc.",3,1
45,2023-04-02T21:42:14Z,2023-04-03T10:43:38Z,2023-04-03T10:43:38Z,21,658,168,"(This is such a neat experiment. Thanks for open-sourcing!)
Fixes #12
Fixes #40
Makes davinci-3.5-turbo the default model (faster and cheaper)
Allows for model configuration
I made JSON parsing a lot more forgiving, including using GPT to fix up the JSON if necessary.
I also improved the prompt to make it follow instructions a bit better.
I also refactored a bit.
I also made it save my inputs to a yml file by default when it runs. (This could be a LOT better - very rough, but wanted to get this in)
P.S. Mind adding an MIT license to this?",12,45
49,2023-04-02T23:08:23Z,,2023-04-14T21:27:03Z,6,540,16,"Added pip-tools functionality. Instead of adding to requirements.txt, simply add the library to requirements.in and run pip-compile after installing pip-tools
Cleaned up dockerfile to install requirements first for a quick optimization
Changed docker image from 3.8 -> 3.10
Added a proper gitignore",3,1
50,2023-04-02T23:09:10Z,2023-04-04T09:04:29Z,2023-04-04T09:04:29Z,1,2,2,"This makes the prompt path relative to the data.py path. Otherwise following the README you get:
cd Auto-GPT
python scripts/main.py
...
Enter nothing to load defaults, enter nothing when finished.
Goal 1:
Error: Prompt file not found
Error: Invalid JSON",4,0
