number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
64,2017-01-20T07:28:11Z,,2017-02-03T16:27:55Z,1,67,0,"This is program is implementing the quick sort algorithm for an array of numbers selected from a standard normal distribution and also the pivot chosen randomly between the starting element and the last element.
This program outputs the normal distribution graph of the array and also prints the number of comparisons.",2,3
72,2017-04-01T15:52:01Z,2017-04-05T06:52:56Z,2017-04-05T06:52:56Z,1,83,0,The code contains all basic operations associated with Heap Data Structure.,2,0
73,2017-04-05T06:00:35Z,2017-04-06T12:10:30Z,2017-04-06T12:10:30Z,1,11,30,,5,0
74,2017-04-07T02:25:13Z,2017-04-10T15:02:47Z,2017-04-10T15:02:47Z,1,41,12,The program now returns the entire longest increasing subsequence instead of returning only the length. Also: Code optimized and entirely explained in comments,3,0
75,2017-04-11T22:14:57Z,2017-04-13T05:57:25Z,2017-04-13T05:57:25Z,1,9,10,,3,0
84,2017-06-20T07:28:19Z,2017-06-21T07:07:35Z,2017-06-21T07:07:35Z,3,103,1,"Add the structures Binary Search Tree, code with example",2,0
99,2017-07-29T19:16:31Z,2017-08-08T08:03:37Z,2017-08-08T08:03:37Z,1,141,0,The k-means clustering is done by using tensorflow which is the vital and growing machine learning library of google.,2,0
100,2017-08-08T08:30:42Z,2017-08-13T19:12:20Z,2017-08-13T19:12:20Z,1,1,1,Fixed #91,2,1
101,2017-08-10T14:21:52Z,2017-08-13T19:11:57Z,2017-08-13T19:11:57Z,1,1,1,,2,0
103,2017-08-19T02:47:58Z,2017-09-03T07:34:33Z,2017-09-03T07:34:33Z,1,102,0,Create a playfair cipher implementation as described on https://en.wikipedia.org/wiki/Playfair_cipher#Description,2,0
106,2017-08-27T11:25:11Z,2017-09-04T15:14:44Z,2017-09-04T15:14:44Z,4,165,7,Neural Network Perceptron,2,0
107,2017-08-29T14:17:03Z,2017-09-10T08:19:00Z,2017-09-10T08:19:00Z,2,100,11,,2,0
108,2017-08-29T16:44:36Z,2017-09-03T07:34:51Z,2017-09-03T07:34:51Z,1,123,0,,2,0
109,2017-09-03T17:06:06Z,2017-09-05T09:45:21Z,2017-09-05T09:45:21Z,1,4,2,"front is added so that dequeue can be done any number of times.Without front,it displays only self.entries[0] as dequeued.",4,0
