number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
74,2017-01-06T05:00:32Z,,2017-01-06T19:20:15Z,2,15,2,:),2,1
131,2017-01-07T00:46:41Z,2017-01-07T05:51:25Z,2017-01-07T05:51:25Z,16,225,95,"I replaced all the usages of unstable features with in-house stuff. Now the only unstable bit is proc_macro, which is stabilizing in 1.15, and I didn't want to go through the effort of separating out serde types into a standalone file if it was going to be temporary.
Most of these features have no roadmap for stabilization. contains() might, but the inclusive ranges story is probably going to be redone. The step stuff is dependent on the design space being explored first, so unless someone spearheads that that will probably stay stagnant. drop_types_in_const and core_intrinsics won't stabilize, but you can push for unlikely in particular to be stabilized. If any of these features stabilize it should be relatively easy to undo these changes.",5,8
138,2017-01-07T02:08:09Z,2017-01-07T17:46:29Z,2017-01-07T17:46:29Z,5,34,6,"This allows you to configure the shell to use when alacritty starts.
cc: #122",6,3
145,2017-01-07T02:55:45Z,,2017-01-07T19:43:10Z,1,6,1,"This fixes #133.
See discussion on #133 about whether or not this is the right way to fix #133. Naturally, if it isn't feel free to close this pull request.",2,1
164,2017-01-07T08:07:21Z,2017-01-07T18:20:02Z,2017-01-07T18:20:02Z,1,38,30,"Fixed a bunch of bounds issues. Most of them were caused by input in src/term/mod.rs leaving self.cursor.col dirty after printing the last char on a line before a wrap was forced.
These changes ensure when using self.cursor.col and self.cursor.line are within sane values before using them when using them when handling other escape sequences. Care is also taken to ensure the resulting updates to self.cursor.col and self.cursorline are within proper bounds.
#63 - Fixed
#104 - Fixed
#108 - Fixed
#116 - Fixed
#133 - Fixed",3,9
216,2017-01-07T21:55:28Z,2017-01-08T05:24:55Z,2017-01-08T05:24:55Z,1,58,40,"Remove the use of limit.
Reduce the number of comparisons.

When using numbers provided by the PTY for subtractions there is a extra
step of ensuring that we won't trigger failure on testing when trying to
subtract form zero.",3,26
238,2017-01-08T21:32:48Z,2017-01-13T05:21:15Z,2017-01-13T05:21:15Z,2,4,2,as per #39,2,4
268,2017-01-10T06:11:49Z,2017-01-10T07:19:08Z,2017-01-10T07:19:08Z,1,27,14,"Checks to make sure lines count coming from the pty are within a proper
range before doing scrolling.


Sanitizes scroll region when being set.


Changes panic for unimplemented screen clear to a print statement.


The first two changes ensure scrolling won't crash us. By sanitizing the
region on set we don't have to complicate the scroll code with limits,
mins, or maxes to ensure the scroll operation is within the range.
Checking if the lines is greater than the total region allows us to
simply clear the region and avoid subtracting large numbers from small
ones.
Fixes #63",2,3
274,2017-01-10T12:16:14Z,,2017-01-24T06:46:00Z,4,92,24,"I added support for arguments to the shell option. This is convenient when debugging, e.g. shell: /bin/bash --norc --noprofile can be used to avoid loading everything when running bash.
I'm a bit of a rookie when it comes to rust so please review.
Cheers
EDIT: I've also added the -e command line argument so that you temporarily can launch alacritty with another shell.",3,9
277,2017-01-10T14:00:04Z,2017-01-13T05:19:42Z,2017-01-13T05:19:42Z,7,32,9,"Makes thin stroke rendering for darwin configurable by a new toplevel
key under font: in the config file. Defaults to false, has no impact
on non macos.",2,6
