number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
6576,2017-09-01T16:34:20Z,2017-09-08T13:10:17Z,2017-09-08T13:10:17Z,1,6,2,Fixes #6165,2,0
6728,2017-09-20T13:15:29Z,2017-11-15T17:09:20Z,2017-11-15T17:09:20Z,3,213,2,"I would like to propose the following pull request in reference to issue fixing #4862
针对问题 #4862， 我想提供一个合并请求。
Summary
概述
Rescale relevant base axis (of time and interval) to account for overflow of bars beyond chart.
伸缩相关的坐标轴（时间和区间）来解决长条溢出图表的问题
Overview of changes
修改简述
Two files edited.
共修改了两个文件
AxisHelper.js => has additional function to rescale axis
AxisHelper.js => 添加了伸缩坐标的函数
barGrid.js => export calBarWidthAndOffset
barGrid.js => 添加了calBarWidthAndOffset
Proposed changes
所做的修改

If axis is (time or interval) and has more then one bar and is a base axis
=> Recalculate axis min / max to account for bar overflow
如果坐标轴是时间或区间，并且有多个长条，并且次坐标为基本坐标，
那么伸缩坐标的最小最大值来解决长条溢出问题
Calculate physical length of current axis
计算现有坐标的物理长度
Calculate placement of bars on current axis
计算长条在坐标上的位置
Use current baseAxis to select bars on relevant axis
用当前的基本坐标来选择在相应坐标上的长条
=> If no bars on current axis return current max / min
如果，没有长条，那么返回当前的最大最小值
Rescale axis to account for overflow on each side of the chart
伸缩坐标来解决溢出问题
Return new axis min / max
返回新的最大最小值

Test
I have updated to include a test in file bar-overflow-time-plot.html
Extra
This issue also occurs with candlestick plotting on ordinal axis.
This could also be corrected with a similar function.
This can be seen in https://ecomfe.github.io/echarts-examples/public/editor.html?c=candlestick-sh",6,5
7484,2018-01-14T00:12:38Z,2018-03-05T08:08:11Z,2018-03-05T08:08:11Z,2,390,30,"when it is ready, please commit my patch.",3,0
7956,2018-03-16T08:07:38Z,2018-04-05T19:10:46Z,2018-04-05T19:10:46Z,2,134,1,,3,1
8049,2018-03-28T16:58:48Z,2020-01-09T14:22:18Z,2020-01-09T14:22:18Z,2,25,13,#4627 解决 Tooltip 被其它图形遮挡的问题,7,5
8425,2018-05-30T03:42:10Z,,2018-08-15T13:56:33Z,80,3758,1446,,6,1
8486,2018-06-07T15:14:26Z,2019-02-14T09:06:45Z,2019-02-14T09:06:45Z,1,4,2,I added a jsDelivr CDN link to your readme to make it easier to use. jsDelivr is the fastest opensource CDN available and has a big network in China too.,2,0
8490,2018-06-08T06:26:14Z,,2021-11-26T21:04:26Z,1,2,2,"The values in the valueWindow array could be null. When the toFixed function is invoked, that will cause a TypeError.
https://github.com/apache/incubator-echarts/blob/5cce1e77ee8096e32ca30654385c45d22335affd/src/component/dataZoom/AxisProxy.js#L204
https://github.com/apache/incubator-echarts/blob/5cce1e77ee8096e32ca30654385c45d22335affd/src/component/dataZoom/AxisProxy.js#L484-L485",5,6
8513,2018-06-13T03:21:11Z,,2021-09-04T05:42:39Z,1,5,3,avoid label of the pie chart out of range by the avoidLabelOverlap,5,6
8759,2018-07-26T08:37:29Z,2018-09-21T07:21:23Z,2018-09-21T07:21:23Z,1,14,4,"The value of the fan page of the pie chart is less than a certain value.  The label and labelLine of this fan page are not displayed.
Funnel plot position increase insideLeft and insideRight attributes.

Add the limitScale parameter under series. Label, and the parameter value is greater than 0 and less than 1.
To ensure that the pie chart does not show label and labelLine on the fan page that is less than a certain value.
options={
  title: {
    text: '饼图标题',
    left: 16,
    textStyle: {
      fontSize: 14
    }
  },
  tooltip: {
    trigger: 'item',
    axisPointer: {
      //坐标轴指示器，坐标轴触发有效type: 'shadow'//默认为直线，可选为：'line'|'shadow'
    },
    extraCssText: 'max-width: 300px; word-break:break-all; white-space: normal'
  },
  legend: {
    data: [
      
    ]
  },
  series: [
    {
      type: 'pie',
      label: {
        normal: {
          show: true,
          limitScale: 0.02//小于2%的，不显示
        },
        emphasis: {
          show: true,
          textStyle: {
            fontSize: '14',
            fontWeight: 'bold'
          }
        }
      },
      labelLine: {
        lineStyle: {
          color: '#D9D9D9'
        }
      },
      data: [
        
      ]
    }
  ]
};",2,26
8872,2018-08-15T06:23:12Z,,2018-08-27T04:19:55Z,1,4,0,"Issues: #8791
问题：修复极坐标因为文字长度会影响显示问题
方案： 在radiusAxis.axisLabel中新增属性：showAll，用于显示所有标签
实例如下：
var option = {
            angleAxis: {},
            radiusAxis: {
                type: 'category',
                data: ['周一11', '周二222', '周三333333333333', '周四4444444444444444444444444444'],
                z: 10,
                axisLabel: {
                    showAll: true
                }
            },
            polar: {},
            series: [{
                type: 'bar',
                data: [1, 2, 3, 4],
                coordinateSystem: 'polar',
                name: 'A',
                stack: 'a'
            }, {
                type: 'bar',
                data: [2, 4, 6, 8],
                coordinateSystem: 'polar',
                name: 'B',
                stack: 'a'
            }, {
                type: 'bar',
                data: [1, 2, 3, 4],
                coordinateSystem: 'polar',
                name: 'C',
                stack: 'a'
            }],
            legend: {
                show: true,
                data: ['A', 'B', 'C']
            }
        };",2,0
8997,2018-09-03T10:23:26Z,2019-01-09T14:10:07Z,2019-01-09T14:10:07Z,1,16,6,"The value of the fan page of the pie chart is less than a certain value. The label and labelLine of this fan page are not displayed.
options={
  title: {
    text: '饼图标题',
    left: 16,
    textStyle: {
      fontSize: 14
    }
  },
  tooltip: {
    trigger: 'item',
    axisPointer: {
      //坐标轴指示器，坐标轴触发有效type: 'shadow'//默认为直线，可选为：'line'|'shadow'
    },
    extraCssText: 'max-width: 300px; word-break:break-all; white-space: normal'
  },
  legend: {
    data: [
      
    ]
  },
  series: [
    {
      type: 'pie',
      label: {
        normal: {
          show: true,
          limitScale: 0.02//小于2%的，不显示
        },
        emphasis: {
          show: true,
          textStyle: {
            fontSize: '14',
            fontWeight: 'bold'
          }
        }
      },
      labelLine: {
        lineStyle: {
          color: '#D9D9D9'
        }
      },
      data: [
        
      ]
    }
  ]
};",3,15
9149,2018-09-29T10:16:35Z,,2019-01-14T04:02:09Z,1,4,1,"clockwise设置为false后，sector是逆时针渲染了，但是其它元素是顺时针渲染，且并没有逆时针渲染的选项
ps：for 滚成一团",2,5
9162,2018-10-03T19:26:50Z,2018-10-15T08:22:02Z,2018-10-15T08:22:02Z,1,12,1,另外：如果data中包含非Number类型，animation 过程中移动鼠标，导致连接线消失,2,5
9171,2018-10-08T06:34:32Z,2018-11-04T13:54:33Z,2018-11-04T13:54:33Z,1,20,7,fix Issue #8009 & #5969,3,8
9195,2018-10-10T19:15:37Z,2018-10-11T05:37:16Z,2018-10-11T05:37:16Z,1,4,3,As described in  #9194 - echarts ignores axisLine.show option. Support for this option added by this commit.,2,3
9210,2018-10-12T03:34:54Z,2018-10-23T05:32:28Z,2018-10-23T05:32:28Z,1,4,2,"when series[i].type is graph, series[i].label.rotate is invalid",3,9
9238,2018-10-16T08:30:34Z,2018-10-29T16:10:33Z,2018-10-29T16:10:33Z,1,8,0,"maybe a idea, check again please",3,3
9273,2018-10-24T20:56:37Z,,2021-09-10T07:07:27Z,2,969,8,"As noted in the issue #8444 the align option of the nameTextStyle seems to be ignored.
This could also be the solution to the problem reported in #8046",3,3
9296,2018-10-29T17:11:49Z,,2020-12-19T08:30:13Z,1,59,0,,2,1
9388,2018-11-12T14:06:36Z,2019-05-07T16:17:47Z,2019-05-07T16:17:47Z,1,21,5,"this.dimensions is Array. When dim is ""0"", it will be selected by numerical index.
So, I increased the type of judgment.",2,1
9421,2018-11-16T12:06:46Z,2019-05-14T07:32:39Z,2019-05-14T07:32:39Z,1,41,1,"series.label.position   Add rightTop,rightBottom,leftTop and leftBottom
     var option = {
            title: {
                text: '漏斗图',
                subtext: '纯属虚构'
            },
            tooltip: {
                trigger: 'item',
                formatter: ""{a} <br/>{b} : {c}%""
            },
            toolbox: {
                feature: {
                    dataView: {readOnly: false},
                    restore: {},
                    saveAsImage: {}
                }
            },
            legend: {
                data: ['展现','点击','访问','咨询','订单']
            },
            calculable: true,
            series: [
                {
                    name:'漏斗图',
                    type:'funnel',
                    left: '10%',
                    top: 60,
                    //x2: 80,
                    bottom: 60,
                    width: '80%',
                    // height: {totalHeight} - y - y2,
                    min: 0,
                    max: 100,
                    minSize: '0%',
                    maxSize: '100%',
                    sort: 'descending',
                    gap: 2,
                    label: {
                        normal: {
                            show: true,
                            position: 'leftTop',
                            verticalAlignment:true
                        },
                        emphasis: {
                            textStyle: {
                                fontSize: 20
                            }
                        }
                    },
                    labelLine: {
                        normal: {
                            length: 10,
                            lineStyle: {
                                width: 1,
                                type: 'solid'
                            }
                        }
                    },
                    itemStyle: {
                        normal: {
                            borderColor: '#fff',
                            borderWidth: 1
                        }
                    },
                    data: [
                        {value: 60, name: '访问'},
                        {value: 40, name: '咨询'},
                        {value: 20, name: '订单'},
                        {value: 80, name: '点击'},
                        {value: 100, name: '展现'}
                    ]
                }
            ]
        };",2,1
9424,2018-11-18T14:18:48Z,2019-02-14T08:17:24Z,2019-02-14T08:17:24Z,1,1,0,Added echarts4r to R ports of ECharts: ECharts 4 for R.,2,0
9517,2018-12-03T14:26:37Z,,2021-09-13T21:04:09Z,1,6,1,"legend: {
                        orient: 'vertical',
                        left: 'left',
                        disabled:{
                            '邮件营销':true
                        },
                        data: ['直接访问','邮件营销','联盟广告','视频广告','搜索引擎']
                    },",3,6
9641,2018-12-26T00:34:51Z,2019-01-31T03:53:58Z,2019-01-31T03:53:58Z,1,59,0,,2,1
9664,2018-12-31T02:36:09Z,2019-02-24T19:47:10Z,2019-02-24T19:47:10Z,1,10,4,"series->symbol支持函数类型
如果需要每个数据的图形不一样，可以设置为如下格式的回调函数：
(value: Array|number, params: Object) => number|Array
eg.
symbol: function (value, params) {
  return `${symbol}`;
}

注：返回的symbol支持类型同之前",3,6
9744,2019-01-13T08:26:37Z,,2020-11-07T07:56:14Z,1,14,11,@Ovilia 不好意思，分支被我弄丢了，我重新提了个PR,2,3
9750,2019-01-14T07:57:46Z,2019-01-31T06:18:06Z,2019-01-31T06:18:06Z,1,3,5,"clientWidth and clientHeight contains padding, so it should be excluded in getComputedStyle.",4,2
9799,2019-01-18T21:21:34Z,2019-01-23T09:05:34Z,2019-01-23T09:05:34Z,1,1,0,,2,1
9817,2019-01-22T09:37:30Z,2019-01-23T14:04:35Z,2019-01-23T14:04:35Z,1,4,0,,2,0
9834,2019-01-23T14:05:29Z,2019-01-23T15:14:11Z,2019-01-23T15:14:11Z,13,197,230,,2,0
9836,2019-01-23T17:41:17Z,2019-01-24T06:33:48Z,2019-01-24T06:33:48Z,28,9582,6220,,2,0
9844,2019-01-27T19:52:30Z,2019-01-28T12:55:45Z,2019-01-28T12:55:45Z,28,9585,6223,Rebase merge.,2,0
9848,2019-01-28T04:38:35Z,2019-01-28T14:18:50Z,2019-01-28T14:18:50Z,1,1,2,zrender was listed as both a dependency and a devDependency,2,0
9849,2019-01-28T04:45:19Z,,2019-01-29T02:50:21Z,1,1,1,"zrender 4.0.5 causes a npm install error.
This version upgrade fixes #9774",3,5
9876,2019-01-31T03:31:52Z,2019-01-31T06:13:43Z,2019-01-31T06:13:43Z,1,60,0,,2,0
9892,2019-02-04T13:36:16Z,2019-02-14T08:15:14Z,2019-02-14T08:15:14Z,1,2,2,"""Hence"" instead of  ""Hance"".",4,1
9897,2019-02-07T13:03:44Z,2019-02-14T08:13:25Z,2019-02-14T08:13:25Z,1,1,1,"""forbidden"" instead of ""forbinden"".",2,1
9918,2019-02-14T08:51:59Z,2019-02-15T05:34:52Z,2019-02-15T05:34:52Z,1,4,0,"#9688 was caused by clipPath angle in expansion animation being NaN due to layout value being NaN.
In this fix, data '-' is considered the same as 0, only that the label is not displayed.",3,0
9927,2019-02-17T13:48:12Z,,2019-08-01T05:16:20Z,52,2854,1474,So the legend can gets the color of line,7,4
9929,2019-02-18T02:45:04Z,2019-02-18T04:19:56Z,2019-02-18T04:19:56Z,3,13,1,"ECharts CI status can be seen at https://travis-ci.org/apache/incubator-echarts.
Notice that Apache uses .org instead of .com.
See #9850 for more discussion on CI stuff.",2,0
9931,2019-02-18T13:31:50Z,2019-07-31T06:59:18Z,2019-07-31T06:59:18Z,1,4,5,"So effect color can be configable, by default effect color is itemStyle.color
{
  type: 'effectScatter',
  rippleEffect: {
    // new option, effect color
    color: 'red',
    brushType: 'stroke'
  }
}",2,2
9940,2019-02-19T10:19:11Z,,2021-09-13T21:04:55Z,1,23,7,"Fix #9916. When itemStyle.color is a function, the legend's color may be uncontrollable.",2,6
9977,2019-02-24T09:29:44Z,,2019-04-01T03:58:56Z,1,7,0,"Adds a configurable option under axisLabel property to allow users to hideDuplicates (boolean)

Closes #9896",4,8
9981,2019-02-24T20:12:04Z,2019-02-25T04:09:53Z,2019-02-25T04:09:53Z,3,151,12,,2,1
9993,2019-02-26T09:04:56Z,2019-02-28T06:09:26Z,2019-02-28T06:09:26Z,1,1,1,#9563,2,1
9995,2019-02-26T13:05:05Z,2019-02-26T14:12:15Z,2019-02-26T14:12:15Z,2,55,66,,2,2
9996,2019-02-26T14:05:30Z,2019-02-27T18:10:17Z,2019-02-27T18:10:17Z,2,40,1,"Fix  calculate label bounding rect error when rich used
(e.g., containLabel: true while axisLabel has rich)",2,0
10002,2019-02-27T09:06:33Z,2019-02-27T15:59:09Z,2019-02-27T15:59:09Z,1,34,42,Divide the computeNodeBreadths() function in sankeyLayout.js into several small functions.,2,0
10008,2019-02-27T18:52:57Z,2019-02-28T06:41:31Z,2019-02-28T06:41:31Z,15,219,13,,2,0
10036,2019-03-04T07:11:13Z,2019-03-26T19:19:48Z,2019-03-26T19:19:48Z,1,1,1,"fix bug #9282

Add a defensive statement for axisModel.getCategories,  so axisLabel of chart radar can display correctly (cannot trigger event though, which isn't used widely).
It's a temporary solution until axisLabel of chart radar supported in the next release.",3,2
10038,2019-03-04T07:37:51Z,2019-03-06T05:29:45Z,2019-03-06T05:29:45Z,1,2,1,"Add seriesId field in pieselectchanged event.
Fix #9830 .",2,0
10051,2019-03-06T04:25:57Z,2019-03-06T06:05:16Z,2019-03-06T06:05:16Z,2,138,2,"fix: axis name align not working bug #9901
Axis name had no effect.
In this fix, option in nameTextStyle.align and nameTextStyle.verticalAlign are used to overwrite those computed automatically from endTextLayout() and innerTextLayout().",2,1
10052,2019-03-06T06:35:41Z,2019-03-25T14:58:18Z,2019-03-25T14:58:18Z,2,1371,1,"Add package-lock.json
Used npm audit fix to upgrade some npm package versions

Fix #10040",2,0
10062,2019-03-07T12:10:29Z,2019-03-08T07:18:09Z,2019-03-08T07:18:09Z,2,79,20,"Update contributing file, which will be displayed when one is opening an issue or pull request. We may add a link to it later in README.md if necessary.
@ClemMakesApps @jivanvl Please help to check.",5,3
10072,2019-03-08T07:25:00Z,2019-03-09T03:59:09Z,2019-03-09T03:59:09Z,1,7,0,,2,0
10076,2019-03-09T04:02:59Z,2019-03-09T05:07:40Z,2019-03-09T05:07:40Z,1,2,2,,2,0
10129,2019-03-19T06:45:42Z,,2019-04-22T05:03:23Z,2,2,2,,2,0
10132,2019-03-19T12:18:59Z,2019-03-25T08:30:02Z,2019-03-25T08:30:02Z,1,5,5,"We won't use $a for IE and edge. In addition, there's no document object in web worker. So we'd better don't create an element if we don't need to.
Ref: #9232",2,1
10138,2019-03-20T20:41:34Z,2019-03-21T10:24:20Z,2019-03-21T10:24:20Z,1,1,1,,2,0
10173,2019-03-27T16:46:47Z,2019-03-28T04:39:18Z,2019-03-28T04:39:18Z,4,90,9,rebase merge,3,0
10196,2019-04-02T05:06:06Z,2019-04-04T18:19:54Z,2019-04-04T18:19:54Z,1,1,0,"React component echarts. 组件式百度图表。

GitHub: https://github.com/dawiwt/react-component-echarts
Example: https://dawiwt.github.io/react-component-echarts
Tool: https://dawiwt.github.io/react-component-echarts/tools.html",2,1
10201,2019-04-02T12:01:51Z,,2021-05-12T16:41:19Z,2,72,18,fix #10191,5,10
10205,2019-04-03T07:12:56Z,2019-04-15T05:43:37Z,2019-04-15T05:43:38Z,3,185,0,"toolbox.feature.saveAsImage.connectedBackgroundColor can be used to set the background color.
Fix #10099.
Document changes are available at apache/echarts-doc@18983da , which should be merged after this PR is accepted.",2,0
10221,2019-04-04T11:40:36Z,,2020-11-12T10:10:32Z,1,6,8,Fix #10210,4,2
