number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
172,2016-03-10T06:38:58Z,2016-03-11T03:33:09Z,2016-03-11T03:33:09Z,12,22,23,"@williaster
This makes it such that we don't have to ship the whole node_modules with the python package, to do that I had to move a bunch of css html references to the js require notation. I managed to do it for everything but the font-awesome one.
This also cranks up the version to 0.8.0, I think it's ready to ship to Pypi.",3,0
1061,2016-09-02T19:34:42Z,,2017-06-12T20:46:47Z,7,355,92,"Overview
This PR address the issue #933, which is to replace the filter TextField with a FreeFormSelect to make it easier for the user to know what types of values are possible for a filter.
If their desired value is not in the list, they can still type in their custom value. (Especially common for regex operation)
The feature must be enabled on the table/datasource.
Technical Changes

Added new API endpoint /filter/<datasource_type>/<datasource_id>/<column>/
Added new function values_for_column to models.DruidDatasource and models.SqlaTable (migration script included)

values_for_column uses the same querystring as query
Currently limited to 500 values


Added new boolean column to datasources and tables to indicate allowing filter value select
add_filter in explore.jsx will now fix the filter IDs upon render instead of by prepForm on query submit

Screenshots
How filter looks:

Option on table:

TODO for Future PR

Entire filter can be redone in React
Cache filter endpoint

@mistercrunch",6,31
1074,2016-09-07T23:54:23Z,2016-09-20T20:45:27Z,2016-09-20T20:45:27Z,17,592,203,"another step towards reactifying the explore view #834
components for slice action button group
reuseable component for Button/Modal Trigger
reuseable component for copy to clipboard




todo:

 pass query code to query modal
 tests

plz review @mistercrunch @bkyryliuk @vera-liu",2,2
1078,2016-09-08T07:40:21Z,2016-09-21T16:52:05Z,2016-09-21T16:52:05Z,13,223,110,,6,25
1092,2016-09-12T05:12:19Z,,2016-09-19T19:18:11Z,40,340,194,"Modify the Travis CI tests to create a database user with a password and use these in the SQLALCHEMY_DATABASE_URI for the tests for mysql and postgres.
This is related to #1070 and I expect this PR to have failing Travis tests.
It's fine to reject this PR -- I just wanted to verify that the tests will fail.",6,12
1104,2016-09-13T23:22:08Z,2016-09-19T22:28:10Z,2016-09-19T22:28:10Z,20,382,163,,3,2
1108,2016-09-14T19:17:35Z,2016-09-21T18:38:07Z,2016-09-21T18:38:07Z,13,419,103,"Four objects in store: TimeFilter, GroupBy, Sql and Filter
For the four object-stores above, action can be fired once the query button is pressed
For the stores that are not contained in objects (datasourceId, vizType, columns, ordering, etc.) the actions will be fired once the field is changed, for instance, the user could see updated visualization once he selects a different viz_type without clicking the query button.",3,3
1122,2016-09-16T00:04:30Z,2016-09-23T23:13:18Z,2016-09-23T23:13:18Z,13,345,144,"Query search page under SQL Lab in the menu header
What's done:

Endpoint for getting all users
Endpoint for retrieving all queries with a databaseId/userId/status/string for filtering on sql
Query Search page with four fields

Made modifications based on comments, ready for second round review: @mistercrunch
Todo:
Add visualize modal triggered in action bar to QuerySearchTable as that in QueryHistory
make userId and dbId in Query result clickable links to set a specific userId or dbId in filter
Make a copy-url function beside each entry of query result, once generated the url will lead user to a specific query
Time range for searching queries
Alerts or Loading icon while queries are being fetched",4,2
1125,2016-09-16T16:45:19Z,2016-09-16T23:25:43Z,2016-09-16T23:25:43Z,4,23,22,@jefffeng @ascott @bkyryliuk,3,2
1126,2016-09-16T23:03:21Z,2016-09-21T21:41:42Z,2016-09-21T21:41:42Z,2,14,0,,2,1
