number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
366,2016-07-05T11:47:40Z,2016-08-24T16:05:26Z,2016-08-24T16:05:26Z,3,108,6,"Update documentation is specify proxy config
Support for process.env.http_proxy  / https_proxy / HTTP_PROXY / HTTPS_PROXY",4,18
452,2016-09-18T21:21:27Z,2016-10-10T16:31:44Z,2016-10-10T16:31:44Z,18,454,13,See the issue #333. The API is based on the cancelable promises proposal.,5,10
461,2016-09-29T16:15:07Z,2017-03-27T04:06:25Z,2017-03-27T04:06:25Z,3,5,1,Axios is missing OPTIONS-method as a shortcut. This PR will implement it,4,9
477,2016-10-11T01:40:09Z,,2017-04-08T11:31:54Z,2,14,2,"Instead of being joined with a comma.
Fixes
#465",3,3
483,2016-10-14T13:04:29Z,2016-10-19T09:02:42Z,2016-10-19T09:02:42Z,3,148,3,"Fixes #476.
Let me know if it sounds right to you.",4,4
547,2016-11-21T21:30:11Z,2017-04-08T11:29:38Z,2017-04-08T11:29:38Z,1,5,3,,4,2
558,2016-11-28T04:35:06Z,,2017-08-12T12:56:40Z,1,17,1,"Node ignores duplicate entries for certain HTTP headers.
It also always converts the set-cookie header into an array.
See https://nodejs.org/api/http.html#http_message_headers",4,6
565,2016-12-01T21:35:53Z,,2018-08-30T18:21:44Z,5,298,24,"As suggested by #434 the interpretation of no_proxy is implemented here.
I would be happy if axios supports no_proxy, as i would be able to use it in my company.",16,29
581,2016-12-07T01:29:51Z,2016-12-08T05:23:45Z,2016-12-08T05:23:45Z,2,11,1,"Ending slashes were always being appended to the baseURL, regardless of if the relative URL had length.
By making sure that we're supporting empty relative urls, and not appending extraneous slashes to the base url, support for absolute API endpoints becomes possible.
Added a single test spec. 📈
Closes #574",4,7
656,2017-01-18T09:04:08Z,,2020-05-22T14:00:10Z,1,10,1,"This commit should fix #265 by parsing the responseText if no response is given.
I hope it does not trigger other new issues.",4,3
680,2017-02-02T21:30:07Z,,2017-04-08T12:00:41Z,3,4,2,"Hi there,
I ran into encoding problems with binary request string data (gzipped payloads) being transformed via Buffer.toString('utf8') in transformRequest.
This PR will enable passing in node buffers directly instead of needing to create a stream or copy to an ArrayBuffer just for the sake of sending compressed data.",4,7
691,2017-02-07T23:55:41Z,2017-08-14T11:38:44Z,2017-08-14T11:38:44Z,3,19,1,"When the proxy field in configuration is === false all proxy processing is disabled. This specifically disable the 'http_proxy' environment variable handling.
It should fix #635 and possibly #434 too (That issue suggest 2 different solutions, the other being already in PR #565).
PR #565 is complementary to this one as it add handling of the no_proxy environment variable.
I created this PR to fix ionide/ionide-vscode-fsharp#272",6,8
