number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
8,2023-02-25T18:57:04Z,2023-02-26T17:31:23Z,2023-02-26T17:31:23Z,1,4,4,fixes #6,3,0
10,2023-03-01T04:29:13Z,2023-03-03T15:15:16Z,2023-03-03T15:15:16Z,1,20,1,"Hello, in case welcome I added some nice (hopefully others think so 🤣) badges to the README. They link to various parts of the repository and also back to the Base website, blog, docs and Twitter account. You can play with them using the README on my fork.
I've also included screenshots below to demonstrate the change, before and after. Each badge is its own commit in case you all would like to drop some but keep others. Cheers.
Before:

After:",2,1
11,2023-03-01T14:51:47Z,2023-03-03T22:42:52Z,2023-03-03T22:42:53Z,1,56,0,"I grabbed and copy/pasted this from https://github.com/coinbase/salus/blob/master/CONTRIBUTING.md, assuming that might already be OK to use (since this repo didn't have it).",2,0
12,2023-03-01T15:04:02Z,2023-03-03T22:39:22Z,2023-03-03T22:39:22Z,1,38,0,"Similarly to PR #11 , I grabbed this from https://github.com/coinbase/salus/blob/master/SECURITY.md thinking it would be OK to use. This template simply instructs people with reports to submit them via Coinbase's HackerOne page.",2,1
13,2023-03-02T12:35:11Z,,2023-03-03T15:24:07Z,1,15,1,Providing more information about how Base Nodes work,2,2
14,2023-03-02T19:36:54Z,2023-03-03T15:16:38Z,2023-03-03T15:16:38Z,1,1,1,make a bit less output,2,0
17,2023-03-03T06:29:07Z,2023-03-03T15:19:57Z,2023-03-03T15:19:57Z,1,7,1,Providing more information in README.md (edited),3,0
19,2023-03-03T14:07:56Z,2023-03-03T22:34:47Z,2023-03-03T22:34:47Z,2,6,6,"Due to customer confusion, I added some clarifying comments.",2,1
21,2023-03-10T13:32:57Z,2023-03-14T16:23:18Z,2023-03-14T16:23:18Z,1,18,2,"The docker compose command does not work without --build flag
Volume mapping is easy",4,1
23,2023-03-13T05:20:45Z,2023-03-14T16:24:24Z,2023-03-14T16:24:24Z,1,1,1,,3,0
24,2023-03-13T22:42:45Z,2023-03-14T16:25:20Z,2023-03-14T16:25:20Z,1,1,0,"Warn developer for missing package, as original error message does not say this straight.
Another more ""polluted"" options is
command -v jq &> /dev/null && echo Latest synced block behind by: \
$((($( date +%s )-\
$( curl -s -d '{""id"":0,""jsonrpc"":""2.0"",""method"":""optimism_syncStatus""}' -H ""Content-Type: application/json"" http://localhost:7545 |
   jq -r .result.unsafe_l2.timestamp))/60)) minutes || { echo ""mvn is not installed"" 1>&2 ; }",2,0
34,2023-03-22T22:06:23Z,2023-03-23T00:27:34Z,2023-03-23T00:27:34Z,2,2,3,"Reliability improvements, including fix for handling shapella L1 blocks (ethereum-optimism/optimism#5144).",3,2
40,2023-04-11T21:41:37Z,2023-04-12T01:29:47Z,2023-04-12T01:29:47Z,1,1,1,Onchain is the next online.,6,3
41,2023-04-12T01:32:44Z,2023-04-12T14:02:40Z,2023-04-12T14:02:40Z,1,1,1,,5,2
44,2023-04-21T16:36:36Z,2023-04-21T19:06:50Z,2023-04-21T19:06:50Z,1,2,1,,2,0
48,2023-05-04T00:55:07Z,2023-05-04T14:38:14Z,2023-05-04T14:38:14Z,1,40,0,,2,0
49,2023-05-04T18:20:21Z,2023-06-15T23:40:54Z,2023-06-15T23:40:54Z,2,3,0,"Currently geth data is stored within the container. This means all chaindata is lost whenever the container is destroyed, for example when upgrading to the latest version using docker-compose down instead of docker-compose stop. This can be prevented by volume mounting the data directory to a directory on the host machine, which this PR proposes.",5,2
