number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2,2018-01-24T07:52:49Z,2018-01-24T10:59:53Z,2018-01-24T10:59:53Z,1,1,0,It shows that you can build tracing system for distributed systems (microservices) quite easily without additional systems. It uses central logging facility built around ElasticSearch.,2,0
22,2018-10-29T11:13:06Z,2018-10-30T01:18:08Z,2018-10-30T01:18:08Z,1,3,3,,2,0
24,2019-01-02T19:13:13Z,2019-01-03T01:51:34Z,2019-01-03T01:51:34Z,1,1,1,Related to article - Go Fast or Go Home: The Process of Optimizing for Client Performance,2,0
30,2019-04-13T14:07:55Z,2019-04-18T01:23:49Z,2019-04-18T01:23:49Z,1,2,0,"It is a useful article to understand how Airbnb uses knowledge graph, API's and Convolutional Neural Networks under the hood to serve high-quality search results.",2,2
36,2019-05-18T05:24:10Z,2019-05-18T08:41:51Z,2019-05-18T08:41:51Z,1,3,0,A brilliant article explaining how Pycache is utilised to render web pages at Quora. Must read.,2,1
43,2019-09-06T10:09:11Z,2019-09-06T11:20:12Z,2019-09-06T11:20:12Z,1,1,1,,2,0
44,2019-09-16T06:21:58Z,,2020-01-10T00:02:03Z,1,1,0,,3,1
51,2020-03-18T16:49:48Z,2020-03-19T01:12:54Z,2020-03-19T01:12:54Z,1,2,1,"add link to ""code review at Netlify"" post",3,1
54,2020-05-29T18:01:17Z,,2020-05-31T14:19:49Z,1,1,1,The link to the Rackspace blog post was broken and it seems like Rackspace has actually removed some of the older blog posts like this one. Fortunately Wayback Machine had a copy of it.,3,2
55,2020-08-01T02:59:41Z,,2020-08-15T02:02:45Z,1,45,44,,3,1
59,2020-09-18T14:10:39Z,2020-09-18T23:22:07Z,2020-09-18T23:22:07Z,1,0,2,"Hey @binhnguyennus
I've found two dead links in the DB part. 💪️
Cheers!",3,2
63,2021-01-02T17:17:01Z,,2021-01-03T00:07:16Z,1,1,0,,3,1
79,2022-05-27T22:21:10Z,,2022-08-15T15:04:07Z,1,1,0,This article gives a deep explanation on how we built a distributed search engine O2 based on Apache Lucene and how the search architecture at Ozon looks like. And the best thing - it's from 2022.,2,2
95,2023-05-19T07:34:42Z,,2023-06-20T21:58:29Z,1,1,0,"High-quality learning resource about techniques to get the most out of Docker and managing applications in production.
Docker in Production - different techniques to get the most out of Docker",3,1
96,2023-05-23T12:51:19Z,,2023-05-31T10:59:00Z,1,1,1,Update the link to scalability rules: 50 principles for scaling web sites,2,0
