number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
10,2019-10-20T19:02:36Z,2019-10-21T13:36:56Z,2019-10-21T13:36:56Z,1,12,0,Adding new answers,2,1
11,2019-10-21T03:51:54Z,2019-10-21T08:16:07Z,2019-10-21T08:16:07Z,2,185,1,"Added some SQL questions to the repo.
Additionally, formatted the top part of the reamed to include a SQL Icon and the links for easy navigation.",2,2
16,2019-10-22T11:28:06Z,2019-10-22T12:59:56Z,2019-10-22T12:59:56Z,1,67,2,,2,0
18,2019-10-22T12:10:39Z,,2019-10-23T17:07:49Z,1,355,1,Beginners and Intermediate level SQL questions,3,3
19,2019-10-22T12:16:29Z,,2019-10-23T16:52:54Z,1,271,1,45 Python Question and answers,3,1
20,2019-10-22T12:23:31Z,,2019-10-23T16:21:08Z,1,147,1,18 Questions . Q13 to Q18 is advanced level.,2,0
25,2019-10-22T16:18:14Z,2019-10-22T21:09:19Z,2019-10-22T21:09:19Z,1,21,1,,4,0
45,2019-11-26T06:11:41Z,2019-11-28T12:38:46Z,2019-11-28T12:38:46Z,1,12,8,"Answered the definition questions for provider, resources and provisioner and those of terraform commands.",3,4
67,2020-01-21T22:55:29Z,2020-01-22T07:46:49Z,2020-01-22T07:46:49Z,1,25,3,"Added Answers to 6 Security Questions
Deleted a duplicate question ""Buffer Overflow"". Now it was worded different, but they both wanted the same answer.",2,0
82,2020-03-13T01:01:47Z,2020-03-16T18:41:27Z,2020-03-16T18:41:27Z,1,2,1,"Added answer ""What is a AAAA Record?"" (DNS)
And please, check my grammar.",2,0
99,2020-08-28T12:24:59Z,,2020-09-09T23:22:33Z,1,113,1,"Ansible Questions
1 Ansible  Answer updated
1 Ansible Question Added",2,0
104,2020-09-03T15:54:03Z,2020-09-07T18:05:17Z,2020-09-07T18:05:17Z,1,141,1,Adding more sections on K8s with core concepts and scheduling,2,5
106,2020-09-09T16:19:35Z,2020-09-10T02:47:28Z,2020-09-10T02:47:28Z,1,9,1,Also did a minor grammar change,2,0
108,2020-09-14T07:01:33Z,2020-09-14T14:44:48Z,2020-09-14T14:44:48Z,1,42,3,,2,0
109,2020-09-15T04:42:24Z,2020-09-15T20:04:57Z,2020-09-15T20:04:57Z,1,40,0,,2,1
115,2020-10-08T09:11:56Z,,2020-10-23T05:39:47Z,1,13,1273,"I have answered the unanswered questions of Cloud.
If there is anything to improve, do let me know",2,1
116,2020-10-23T05:41:11Z,2020-12-22T11:45:17Z,2020-12-22T11:45:17Z,1,11,7,,3,0
124,2021-01-22T11:33:11Z,2021-01-22T22:43:08Z,2021-01-22T22:43:08Z,1,28,4,"Added few answers to questions. Also, combined two questions into one, because one was almost a subset of another. (At least based on my answer)
I am new to contributing and stuff. Please let me know if I do something wrong, etc. Thanks.",2,0
159,2021-09-24T22:58:52Z,2021-09-27T08:00:16Z,2021-09-27T08:00:16Z,3,14,0,,2,0
169,2021-11-03T03:11:11Z,2021-11-03T08:55:50Z,2021-11-03T08:55:50Z,1,1,0,The Docker Image build image question is updated with the docker command along with podman,3,1
184,2021-11-17T19:59:17Z,2021-11-18T08:16:51Z,2021-11-18T08:16:51Z,2,289,0,New perl topic and questions added,2,2
191,2021-11-24T00:18:40Z,2021-11-24T19:12:25Z,2021-11-24T19:12:25Z,1,95,0,,2,0
195,2021-12-31T17:06:11Z,2022-04-26T16:05:48Z,2022-04-26T16:05:48Z,1,27,0,Here I added the appropriate answer for the question.,2,5
205,2022-01-25T05:11:37Z,,2022-04-26T04:37:15Z,1,6,0,,2,0
211,2022-03-15T04:33:42Z,2022-03-15T06:55:26Z,2022-03-15T06:55:26Z,1,56,0,"Hi, I added an answer for linux ssh-keygen question in Linux - SSH section.
I also tested changes I made :
$ sh scripts/run_ci.sh
Output :
Tests passed successfully.
PEP8 Passed

Any suggestions are appreciated.",2,0
229,2022-05-02T18:36:16Z,2022-05-22T09:57:38Z,2022-05-22T09:57:38Z,1,98,9,"Hello again @bregman-arie !
We added a few answers to already existing questions. Additionally, we created questions about software supply chain, package management and security concerns related to the topics. We are more than happy to hear your feedback and fix potential issues if there are any, and kudos to you and the other contributors in this repo!
Best regards,
@Akseluhr & @Abdullah1428",2,4
230,2022-05-02T21:12:56Z,2022-05-05T06:24:14Z,2022-05-05T06:24:14Z,1,3,0,"Question : What is the role of an SSH key?
What do you think ?",2,0
231,2022-05-02T21:36:50Z,2022-05-04T05:43:13Z,2022-05-04T05:43:13Z,1,6,0,"Question : Explain CVE and CVSS
What do you think ?",2,0
232,2022-05-03T03:35:47Z,,2022-06-29T06:10:17Z,1,32,0,"Added basic CI Workflow - Issue #182
Workflow that will run scripts/run_ci.sh every time someone submits a pull request as requested in issue #182",2,1
234,2022-05-04T20:31:25Z,2022-07-08T20:10:08Z,2022-07-08T20:10:08Z,1,14,0,I tried to sum up as much as I can and detailed a bit X.509 standard.,2,0
236,2022-05-08T01:14:13Z,,2022-05-08T15:59:06Z,1,28,0,It's a better way to calculate the mid value which can avoid overflow.,2,0
241,2022-05-13T14:38:42Z,2022-09-02T11:53:01Z,2022-09-02T11:53:01Z,1,69,0,"Hi @bregman-arie,
In this PR, I add a solution to the directories comparison shell script exercise. Please let me know if there are any changes I need to make!",2,2
242,2022-05-19T02:06:39Z,2022-05-19T06:46:40Z,2022-05-19T06:46:40Z,1,15,3,,2,0
244,2022-05-20T10:07:08Z,2022-05-30T08:40:53Z,2022-05-30T08:40:53Z,1,127,0,Adding answers to questions in #4. Also added new questions and answers,2,3
248,2022-05-30T01:19:56Z,2022-05-30T08:39:56Z,2022-05-30T08:39:56Z,1,85,2,"Hi @bregman-arie, I have updated a few answers to the GCP section.
Could you please check and accept my PR. Thanks!",2,0
260,2022-06-29T21:15:50Z,2022-06-30T04:56:48Z,2022-06-30T04:56:48Z,2,16,0,Added some frequently asked questions.,2,0
264,2022-07-12T09:23:59Z,2022-09-02T11:52:16Z,2022-09-02T11:52:16Z,1,1,1,"Related to #212.
Thanks to @bolshoytoster.",2,0
265,2022-07-13T21:33:39Z,,2022-08-25T06:02:31Z,1,5,1,,2,0
267,2022-07-30T14:17:54Z,2022-07-30T15:22:29Z,2022-07-30T15:22:29Z,1,2,0,Answered Question,2,0
269,2022-08-01T09:06:01Z,2022-08-01T10:42:16Z,2022-08-01T10:42:16Z,1,21,1,answered questions,2,0
272,2022-08-10T12:08:21Z,2022-08-10T15:17:51Z,2022-08-10T15:17:51Z,1,1,0,,2,0
