number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
228,2015-08-30T18:10:13Z,2015-09-05T20:56:23Z,2015-09-05T20:56:23Z,4,178,23,"If the password arg starts with htpasswd=, then the rest is treated as
the file name of the htpasswd file, and used for md5 and sha1 hashes.",3,5
664,2016-03-08T14:39:44Z,2016-03-14T21:25:44Z,2016-03-14T21:25:44Z,5,141,45,"As per my comment #613 (comment), checking along with the other per-server checks makes for fewer code added, but with somewhat confusing method name.
The alternative is adding a Full() method on the host, with CheckFull() function on the upstream, and do do the Full() check in basically all the same places are where the Down() check is done.",5,8
1112,2016-09-17T01:47:27Z,2016-09-25T03:02:19Z,2016-09-25T03:02:19Z,2,72,26,"This PR contains two parts:

Fix a subtle bug in TestDownstreamHeadersUpdate and TestUpstreamHeadersUpdate: wrong logic when checking Merge-Me header. Also do a minor refactor.
Don't append a predefined header: Some plugins may already set response headers(e.g. MIME plugin). I think the proxy shouldn't append them which may lead to misleading or duplication.",4,8
1115,2016-09-18T02:20:53Z,2016-09-19T22:28:55Z,2016-09-19T22:28:55Z,2,100,1,"fix issue #1026
Signed-off-by: Tw tw19881113@gmail.com",3,1
1120,2016-09-20T09:35:07Z,2016-09-20T15:06:28Z,2016-09-20T15:06:28Z,1,4,3,"This adds the multipass plugin to the Caddy's directives.
Relates to: https://github.com/caddyserver/caddyserver.com/pull/67",3,1
1125,2016-09-22T20:50:07Z,2016-09-25T03:11:30Z,2016-09-25T03:11:30Z,1,1,0,See https://github.com/caddyserver/caddyserver.com/pull/78,4,6
1127,2016-09-22T21:23:07Z,2016-09-23T22:50:39Z,2016-09-23T22:50:39Z,2,104,65,"This PR makes a number of improvements to the Linux systemd service file and instructions.

Make the caddy service file compatible with older versions of systemd so it works for more people. Accomplish this by commenting out optional directives that only work with newer versions of systemd.
Simplify the structure of the instructions.
Add much more complete step by step instructions for setting up the caddy service.

I tested this thoroughly on RedHat 7 on AWS, running systemd v219.",5,2
1129,2016-09-23T17:01:00Z,2016-09-24T05:29:23Z,2016-09-24T05:29:23Z,5,105,70,"This builds on #1087 and fixes #1123. Reconnects if required and allows a configurable number of connection to reuse in the pool.
This instructs fastcgi to attempt to persist and reuse up to 5 connections.
fastcgi / 127.0.0.1:900 php {
    pool 5
}

It is disabled by default unless the configuration is added and pool > 0.
pool 1 works fine from all my tests.
Benchmark on linux container using hey.
Persistent Connection
Caddyfile
0.0.0.0
root /src
fastcgi / fpm:9000 php {
     pool 1
}

Result
❯ hey -n 1000 -c 20 http://localhost:2015
Summary:
  Total:    8.8103 secs
  Slowest:  0.3320 secs
  Fastest:  0.0379 secs
  Average:  0.1743 secs
  Requests/sec: 113.5040

Status code distribution:
  [200] 1000 responses

Response time histogram:
  0.038 [1] |
  0.067 [4] |∎
  0.097 [20]    |∎∎∎
  0.126 [69]    |∎∎∎∎∎∎∎∎∎
  0.156 [237]   |∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎
  0.185 [293]   |∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎
  0.214 [224]   |∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎
  0.244 [99]    |∎∎∎∎∎∎∎∎∎∎∎∎∎∎
  0.273 [36]    |∎∎∎∎∎
  0.303 [14]    |∎∎
  0.332 [3] |

Latency distribution:
  10% in 0.1281 secs
  25% in 0.1482 secs
  50% in 0.1717 secs
  75% in 0.1989 secs
  90% in 0.2263 secs
  95% in 0.2460 secs
  99% in 0.2856 secs

Non-Persistent Connection
Caddyfile
0.0.0.0
root /src
fastcgi / fpm:9000 php

Result
❯ hey -n 1000 -c 20 http://localhost:2016
Summary:
  Total:    10.2372 secs
  Slowest:  0.4034 secs
  Fastest:  0.0261 secs
  Average:  0.2017 secs
  Requests/sec: 97.6830

Status code distribution:
  [200] 1000 responses

Response time histogram:
  0.026 [1] |
  0.064 [4] |∎
  0.102 [25]    |∎∎∎
  0.139 [71]    |∎∎∎∎∎∎∎∎∎
  0.177 [227]   |∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎
  0.215 [303]   |∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎
  0.252 [210]   |∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎∎
  0.290 [97]    |∎∎∎∎∎∎∎∎∎∎∎∎∎
  0.328 [48]    |∎∎∎∎∎∎
  0.366 [8] |∎
  0.403 [6] |∎

Latency distribution:
  10% in 0.1388 secs
  25% in 0.1677 secs
  50% in 0.1988 secs
  75% in 0.2340 secs
  90% in 0.2727 secs
  95% in 0.2970 secs
  99% in 0.3450 secs

Not much difference in the benchmark results and persistent connection is a bit faster.",3,3
1134,2016-09-24T22:19:39Z,2016-09-28T00:12:22Z,2016-09-28T00:12:22Z,5,184,8,"I have written test for @abiosoft s new pool directive (nicely passing) and the actual pooling -> persistent fastcgi functionality itself. The latter reveal some problems (pool > 0 does not lead to less tcp connections.)
TestPersistent tests for various pool sizes and runs some serial as well as parallel requests to stress the server. Run test -v to see the number of connections used.",5,14
1135,2016-09-24T22:39:06Z,2016-09-27T23:53:44Z,2016-09-27T23:53:44Z,3,102,43,"This PR should fix #1069 and resolve a few other outstanding irritants in proxy behavior for backends that are less-than-robust. In summary:

Proxy no longer retries by default when a request fails, because tryDuration (now a configurable value on the Upstream itself) defaults to 0. This means that, by default, the downstream client must retry their request when a host initially goes down or no hosts are available.
New configuration subdirectives: try_duration and try_interval. try_duration specifies how long to try selecting hosts (used to be 60s) until one succeeds. The introduction of try_interval (with a default of 1s) is there to prevent tight loops that spin the CPU in case all the requests fail gloriously fast; this also operates under the assumption that hosts won't likely come back up within a fraction of a second and that a client can wait 1s when an upstream host initially goes down.
fail_timeout now defaults to 0, which means that request failure counting is disabled. In other words, a failed request does not count against the upstream host's availability. Since max_fails defaults to 1 (which is sensible), a single request failure could mark the upstream host down for every client for 10 seconds. This is still the case, but now the user has to opt-in to this behavior.
max_fails can no longer be < 1. People used to set this to 0 to work around the sporadic failures or ""long-lived"" downtime (of 10 seconds) even if the actual downtime may have been a fluke or a second or two. This resulted in the CPU spinning in a loop and 10s of ""502 Bad Gateway"" even though the host came up 9 seconds earlier. Anyway, this value is now irrelevant if fail_timeout is 0. The user has to explicitly enable fail_timeout in order to count request failures.
We report the actual backend error rather than ""unreachable backend"".

I have also updated the proxy docs in an attempt to be clearer in what these parameters do.
@nemothekid: Would love to have your review/approval on this! 😄",7,21
1139,2016-09-27T04:57:35Z,,2016-09-27T23:54:26Z,2,7,3,,2,1
1140,2016-09-27T07:41:04Z,2016-09-28T01:02:28Z,2016-09-28T01:02:28Z,2,68,5,"fix issue #1131
Signed-off-by: Tw tw19881113@gmail.com",2,0
1143,2016-09-27T21:46:18Z,2016-09-28T14:07:58Z,2016-09-28T14:07:58Z,2,10,15,"This should fix #1136.
Instead of modifying the pool directly I make a copy of it and remove hosts from the copy.  I'm not sure if this is the best way to do this or not.
It's necessary to keep track of the host pool because simply decreasing the poolLen could result in traffic still being sent to the down host.",3,12
