number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
26,2017-09-10T05:01:25Z,2017-09-10T15:55:19Z,2017-09-10T15:55:19Z,7,1,0,,2,0
56,2017-09-22T07:06:50Z,2017-09-22T23:16:45Z,2017-09-22T23:16:45Z,2,2,6,,2,0
67,2017-10-04T11:31:53Z,2017-10-09T23:56:28Z,2017-10-09T23:56:28Z,8,382,0,,2,2
74,2017-10-15T06:32:52Z,2017-10-17T22:39:12Z,2017-10-17T22:39:12Z,1,5,1,,2,0
75,2017-10-16T02:06:23Z,2017-10-17T04:54:31Z,2017-10-17T04:54:31Z,1,51,31,,2,0
78,2017-10-18T08:18:36Z,2017-10-19T23:08:05Z,2017-10-19T23:08:05Z,3,110,7,,2,0
93,2017-10-31T06:58:46Z,2017-11-04T22:36:54Z,2017-11-04T22:36:54Z,2,46,13,,3,0
94,2017-11-01T05:21:22Z,2017-11-08T19:53:53Z,2017-11-08T19:53:53Z,1,8,9,Sync chapter_01/autograd,2,0
96,2017-11-02T06:45:55Z,2017-11-08T19:53:31Z,2017-11-08T19:53:31Z,2,64,15,,2,0
110,2017-11-29T22:26:27Z,2017-12-14T15:55:47Z,2017-12-14T15:55:47Z,4,40,36,,2,0
224,2018-03-14T06:47:14Z,2018-03-14T18:16:14Z,2018-03-14T18:16:14Z,2,6,6,,2,0
226,2018-03-28T18:16:05Z,2018-03-29T00:10:46Z,2018-03-29T00:10:46Z,4,72,84,"By setting epoch=30, one can achieve score ~0.49 on the leaderboard.
@astonzhang Please review.",2,4
234,2018-04-03T21:48:34Z,2018-04-03T23:22:44Z,2018-04-03T23:22:44Z,1,1,1,"Not sure how to reopen the PR, so sending a new one.",2,1
240,2018-04-11T18:57:40Z,2018-04-12T01:02:13Z,2018-04-12T01:02:13Z,1,4,3,,3,1
243,2018-05-03T05:36:03Z,2018-05-03T18:15:46Z,2018-05-03T18:15:46Z,1,15,12,,2,1
244,2018-05-03T23:37:59Z,2018-05-06T19:55:36Z,2018-05-06T19:55:36Z,7,300,337,,2,0
245,2018-05-08T05:17:12Z,2018-05-10T02:02:46Z,2018-05-10T02:02:46Z,1,26,17,"Change tokenizer to simple space based splitter to meet the efficiency
Add one more exercise about using advanced tokenizer",2,0
247,2018-05-10T22:17:36Z,2018-05-14T18:36:02Z,2018-05-14T18:36:02Z,1,4,14,add spacy in sentiment analysis exercise,2,0
260,2018-06-01T20:20:21Z,2018-06-02T16:10:40Z,2018-06-02T16:10:40Z,1,9,9,@astonzhang,2,1
263,2018-06-10T17:01:55Z,2018-06-16T23:54:14Z,2018-06-16T23:54:14Z,1,6,12,删掉了计算图这个概念。,2,0
264,2018-06-10T18:20:23Z,2018-06-28T20:45:30Z,2018-06-28T20:45:30Z,1,14,13,"在dataiter中删掉 num_examples
感觉3.2.1有点重复，特别是从前面章一直读下来。",2,0
267,2018-06-19T06:48:00Z,2018-06-27T00:13:44Z,2018-06-27T00:13:44Z,8,76,69,"Fixed several issues


Improve the writing",2,0
274,2018-07-05T00:50:24Z,,2018-07-18T23:04:02Z,4,11,0,,2,1
275,2018-07-05T19:29:04Z,2018-07-15T01:31:22Z,2018-07-15T01:31:22Z,7,1570,8,,3,3
286,2018-07-15T23:07:40Z,,2018-09-07T21:01:49Z,6,39,3,@astonzhang,2,0
301,2018-07-25T17:31:20Z,2018-07-26T20:57:59Z,2018-07-26T20:57:59Z,2,91,141,,3,0
