number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
17,2017-12-22T14:47:34Z,,2017-12-22T23:44:22Z,1,63,49,"I changed the train.py script to be able to change the source image folder. So now it is not hardcoded you can use python train.py-a imgA/ -b imgB/ or python train.py--image-a=imgA/ --image-b=imgB/
I don't know if you accept this kind of PR but I find it useful.",3,5
22,2017-12-24T13:53:14Z,2017-12-25T01:17:02Z,2017-12-25T01:17:02Z,9,73,45,"I created a single script that calls the other ones so we have a single command.
It's used like that : ./faceswap.py train or ./faceswap.py extract or ./faceswap.py convert with of course the same options as before.
I'm discovering argparse while doing it so feel free to fix my beginner mistakes.",3,4
46,2018-01-01T13:03:38Z,,2018-01-03T13:02:06Z,20,496,433,"WARNING: This is NOT to be merged, it is a draft!
Hi guys, I have a bit more time now, but I'm still not in good conditions to work on the project. I just wanted to submit you a Work In Progress for a more pluggable approach for the project.
As you know, we have a couple variants to the script that is not easy to maintain or try when we have new proposals. A plugin approach would let us have at the same time old legacy code with current official code and with new proposals without having to mess with branches and patches.
The PR here contains just 2 basic plugins, one for extract, and one for convert. I want to have one for models also, but it is much more complicated for now. They are just simple classes, and adding new plugin will just be adding new classes with the same interface. What's not decided yet is how we switch between ""plugin"", it can be done dynamically with parameterized file load but it also can be done statically if prefered.
Note that I did some changes that lead, IMHO, to a cleaner code:

TrainingProcessor has been moved to scripts/train.py along with extract.py and convert.py
I moved image_augmentation.py and 2 methods of utils.py in training_data.py
I removed the loop over images in DirectoryProcessor as the code is override in convert.py and the original code used only in extract.py. I think it is better to let a single responsibilty to the DirectoryProcessor and not use it to crop faces (At some point the crop faces may be also pluggable)
I renamed pixel_shuffler.py into PixelShuffler.py as it is a one class file

Other consideration, but not done in this PR, is:

The cli.py maybe is no more useful in lib/ maybe the scripts/ folder should be named cli/ and the DirectoryProcessor could go there

Feel free to integrate part of these changes in the next commits (it will be less modifications in my own commit), and also feel free to give me your feedback on all this.",5,21
47,2018-01-01T16:16:41Z,,2018-01-05T10:10:05Z,3,50,21,Fixes #43,3,1
50,2018-01-03T13:11:56Z,2018-01-07T19:24:17Z,2018-01-07T19:24:17Z,20,496,433,"Hi guys,
Here is a new PR for the plugin approach. It is still rough, but should already be as good as the previous version.
It features:

A plugin folder where we can put different versions of algorithm
New plugins with the align extraction and the masked merge (which are the latest AFAIK)

There is still room for improvments:

General syntax may be improved, but please provide me specific feedback if you see something (or even do a PR on my own repo if you prefer)
We can add easily the plugin choice through arguments, but its out of my scope for now
We should add arguments parsing for plugins, but this part is not clear for me
I want to add a specific support for Model plugins as well as a cleaner model loading, but I'm not sure of the consequences yet, so I let that for later",6,7
60,2018-01-08T10:50:58Z,,2018-02-02T14:59:42Z,9,508,29,This PR is specific to the GAN plugin that you can test and play with. Note that this is a Work in Progress and that latest features from the GAN repo are not totally integrated,6,70
61,2018-01-09T09:33:26Z,2018-01-31T17:56:44Z,2018-01-31T17:56:44Z,23,504,33581,"This is a new Pull request that is without the GAN plugin that is still a work in progress
This PR features a couple of refactorings and bug corrections + the models as plugins
The main new feature is the face filtering that will only extract and convert recognized faces. For that, you have to add a filter.jpg with a face of the person you want to retain in the current working dir. (An argument should be created later to specify the name of the file)",4,14
111,2018-02-04T00:44:46Z,2018-02-04T08:57:01Z,2018-02-04T08:57:01Z,1,16,4,"Updated information so that users can quickly see the available parameters for the various scripts.
Also made the section headers correspond with the actual scripts - e.g. extract, train, convert
See: #110",2,0
151,2018-02-08T11:35:05Z,,2018-03-10T09:37:22Z,4,69,69,"This creates a plugin from the GAN 128 version from @shaoanlu
This is a draft to get your feedback and no convert is possible at the moment",7,16
160,2018-02-08T20:53:04Z,,2018-02-12T22:50:09Z,12,104,19,"add configurable loss functions including SSIM (Structural Image Similarity)
written filenames now include trainer name",4,3
