number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
10,2017-03-09T10:50:34Z,2017-03-10T00:36:12Z,2017-03-10T00:36:12Z,1,2,2,"A small fix to change to drop the ""a"" in ""solving a many interview questions"".",2,1
11,2017-03-09T14:21:29Z,2017-03-10T00:37:40Z,2017-03-10T00:37:40Z,1,1,1,,2,1
13,2017-03-10T04:30:56Z,2017-03-11T02:07:51Z,2017-03-11T02:07:51Z,1,1,1,#12,2,1
14,2017-03-10T07:53:56Z,2017-03-11T02:06:35Z,2017-03-11T02:06:35Z,1,8,8,,3,1
23,2017-03-16T22:49:05Z,2017-03-19T19:23:03Z,2017-03-19T19:23:03Z,8,35,35,"Changed the links in the main README and in the readme files inside solutions/ to address #6.
Skipped the links from the files inside solutions/ to the main readme, so that they won't break if the directory structure change.",2,2
24,2017-03-18T04:17:42Z,2017-03-18T15:37:17Z,2017-03-18T15:37:17Z,3,3,3,,2,1
25,2017-03-18T16:45:40Z,2017-03-19T19:24:13Z,2017-03-19T19:24:13Z,1,1,1,"Under CDN section, change JSS to JS",2,1
26,2017-03-19T22:54:10Z,2017-03-21T11:39:11Z,2017-03-21T11:39:11Z,1,1,0,"As the variable key is not defined, the example could generate a little of confusion in my opinion.
If we don't want to add more complexity using format(), we should be also able to just do key = ""user.{user_id}.",2,1
29,2017-03-22T16:44:21Z,2017-03-23T02:53:16Z,2017-03-23T02:53:16Z,1,1,1,,3,1
33,2017-03-23T22:30:10Z,2017-03-24T02:42:03Z,2017-03-24T02:42:03Z,1,2,2,,2,1
34,2017-03-24T11:32:50Z,,2017-03-26T17:02:10Z,1,4,1,"Suggested path of #31
Update to used consul/etcd as examples of service discovery",3,4
35,2017-03-25T22:50:04Z,2017-03-29T10:19:15Z,2017-03-29T10:19:15Z,1,2,0,I think some developers get confused between PUT & PATCH. This Laracasts comment hopes to provide a clear distinction between the two.,2,2
36,2017-03-26T16:58:09Z,2017-03-28T11:45:13Z,2017-03-28T11:45:13Z,1,1,1,,5,1
50,2017-04-04T08:27:14Z,2017-04-04T09:56:39Z,2017-04-04T09:56:39Z,1,1,1,"I think that the description for AP should be changed. It currently says that the most recent version of the data might not be the latest.
The explanation of Consistency uses the same word, recent.
I have changed AP to qualify 'recent' as being the most recent data available on the node",2,1
62,2017-04-15T07:44:20Z,2017-04-15T13:32:32Z,2017-04-15T13:32:32Z,1,1797,0,"At your request (#60), we have created a new branch to squash these commits. Now there's only one commit in the history. 😜",2,4
64,2017-04-16T03:17:12Z,2017-04-16T21:49:16Z,2017-04-16T21:49:16Z,1,0,0,"🚚 The file name of Simplified Chinese translation is wrong, so I corrected it. (#62)",2,2
