number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
78,2019-07-06T14:06:55Z,,2019-08-03T06:42:11Z,1,21,0,,2,2
103,2019-09-03T12:40:01Z,2019-09-04T01:18:51Z,2019-09-04T01:18:51Z,2,81,0,增加了一篇关于微服务的文章。,1,1
113,2019-09-28T08:50:56Z,2019-09-28T10:45:56Z,2019-09-28T10:45:56Z,1,13,13,unify translation of monolithic from 「单片」and 「单块」to 「单体」,2,0
118,2019-10-30T13:34:16Z,2019-11-01T07:46:28Z,2019-11-01T07:46:28Z,1,102,0,redis and micro service,2,2
120,2019-11-08T11:21:25Z,2019-11-12T02:55:05Z,2019-11-12T02:55:05Z,3,644,3,"what's-microservice-how-to-communicate
current limiting",2,0
121,2019-11-11T16:13:22Z,2019-11-12T02:50:28Z,2019-11-12T02:50:28Z,1,5,2,增加利用定时刷新缓存的方式来应对缓存击穿的表述，并且增加各种方式的适用场景,2,1
146,2020-02-01T14:38:53Z,2020-02-02T02:47:40Z,2020-02-02T02:47:40Z,1,1,1,,2,0
152,2020-03-19T04:25:05Z,2020-03-20T00:42:29Z,2020-03-20T00:42:29Z,17,120,0,add how-eureka-enable-service-discovery-and-service-registration.md doc.,3,3
163,2020-04-29T18:35:35Z,2020-04-30T01:06:20Z,2020-04-30T01:06:20Z,2,9,9,"redis不能使用setnx和expire来实现分布式锁,应使用set命令及其nx,ex和px选项来实现",2,0
166,2020-05-09T13:24:17Z,2020-05-10T00:59:10Z,2020-05-10T00:59:10Z,7,96,0,增加了一篇关于微服务的文章 《微服务架构的优势与不足》。,1,0
171,2020-06-27T10:16:48Z,2020-06-27T14:27:26Z,2020-06-27T14:27:26Z,2,40,7,补充 分布式事务解决方案Saga,2,0
223,2021-04-08T13:17:23Z,2021-04-09T07:36:57Z,2021-04-09T07:36:57Z,3,45,0,redis-rehash,2,3
232,2021-07-24T05:00:13Z,2021-07-24T06:06:35Z,2021-07-24T06:06:35Z,2,9,0,"对于缓存穿透，增加了布隆过滤器的相关内容。
这是我的第一次pr，希望能够得到更多建议。
最近也是在学习缓存相关的内容，大家也可以一起交流学习。",2,3
260,2022-04-30T03:47:22Z,2022-04-30T06:44:28Z,2022-04-30T06:44:28Z,1,1,1,java int的长度是32bit = 4 Byte，应该还要乘上4，2.5 亿个整数占的最少内存大小为：2.5e8/1024/1024/1024 * 4=3.72G,2,0
