number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
28,2020-01-02T09:09:11Z,2020-01-02T13:58:25Z,2020-01-02T13:58:25Z,1,43,2,Fixes #12,2,1
29,2020-01-02T11:45:28Z,2020-01-02T15:37:14Z,2020-01-02T15:37:14Z,1,33,19,Fixes #11,2,3
30,2020-01-02T11:49:50Z,2020-01-02T14:46:31Z,2020-01-02T14:46:32Z,2,10184,0,For .gitignore I have used this one.,2,0
52,2020-01-02T22:55:33Z,,2020-01-06T01:40:09Z,1,185,155,"Resume of the changes:

Migrated the elements array to the react scope.
Refactored some functions to be inside the react scope aswell.

@vjeux this probably need some tests of the latest features, since i had to refactor some functions and i'm still not fully integrated on the features we currently have.
This is a ground work for the issue #36",3,5
53,2020-01-02T23:08:31Z,2020-01-03T17:12:37Z,2020-01-03T17:12:37Z,1,33,0,"Save current canvas to local storage when something change
Restore saved canvas when page load

Closes #17",5,7
55,2020-01-02T23:41:52Z,,2020-01-05T00:58:52Z,1,45,17,This implements undo,4,6
56,2020-01-03T00:30:06Z,2020-01-03T15:47:34Z,2020-01-03T15:47:34Z,2,33,13,"Adds support for deleting elements by pressing the 'delete' key
Assigns 'magic numbers' and key names to named variables/properties",5,2
66,2020-01-03T16:02:35Z,,2020-01-12T05:25:09Z,17,15804,11129,"Part of #63
Right now, no actual tests are written, just some proof of concept.
We need to figure out:

 how do we assert on the canvas? Visual diffs? How do we diff fuzzily-drawn elements which will change on every render (is there a support to supply custom seed?). We could turn of roughness, but for some elements (Ellipse...), it seems not to turn it 100% off.
 at the moment, server must be started manually before tests",7,5
69,2020-01-03T16:46:04Z,2020-01-03T20:53:37Z,2020-01-03T20:53:37Z,3,11,1,Fixes #68,3,10
74,2020-01-03T20:31:46Z,2020-01-03T22:06:54Z,2020-01-03T22:06:54Z,1,154,34,"Fixes #14

 scrolling with onWheel event

I don't like the frame rate of updates caused by setState. Maybe we shall try request animation frame loop to draw and update canvas instead of using setState and redrawing on componentDidUpdate phase


 draw scrollbars
 drag scrollbars",3,4
75,2020-01-03T20:40:28Z,2020-01-03T22:18:43Z,2020-01-03T22:18:43Z,5,14816,25,,3,10
83,2020-01-03T21:57:19Z,2020-01-03T23:29:13Z,2020-01-03T23:29:14Z,1,40,0,"This PR adds a minimal readme
#61",2,1
103,2020-01-04T08:10:35Z,2020-01-04T18:56:12Z,2020-01-04T18:56:12Z,1,234,25,"Fixes #20
It is an initial code, should work in some things, feel free to help or suggest.

The handler ""click"" is not pixel perfect;
Is not working on Ellipsis and Text;
Is working an arrow, but is showing all the handlers, I guess we only need 2;
How should be the behavior for resizing with shift pressed?",3,11
108,2020-01-04T12:00:55Z,2020-01-04T14:20:53Z,2020-01-04T14:20:53Z,2,25,0,"Right now, since we auto-save to localStorage, there's no way to easily start a new canvas. This PR adds support for clearing it.
Technically, one could select all elements and hit delete, but suppose the elements are all over the place (some out of visible area), or there's a bug like the one that didn't clear selections.",3,10
142,2020-01-05T02:25:32Z,2020-01-05T03:33:21Z,2020-01-05T03:33:22Z,1,8,2,"And reset it back to default on mouse up.
Fixes #102",2,3
145,2020-01-05T02:45:25Z,2020-01-05T22:26:01Z,2020-01-05T22:26:01Z,4,115,7,,4,12
159,2020-01-05T17:56:17Z,2020-01-05T23:10:36Z,2020-01-05T23:10:36Z,2,79,1,This PR adds diamond shape,3,7
181,2020-01-05T23:49:31Z,,2020-03-09T14:22:59Z,20,323,69,"This PR addresses issue #173 .
The logic behind grouping is that you can move elements as one module, without having to select them every time.
Grouping Cmd + G

When grouping two or more elements that aren't in a group, then they form a group.
When grouping two or more elements that are already in a group, then their groups get merged.


Ungrouping Cmd + Shift + G

When ungrouping all elements, they stop behaving as a group.
When ungrouping some but not all elements, they get removed from the group but the group still exists.
In order to ungroup the selected elements, they all have to be in the same group. Otherwise, the operation fails (should that be changed?).


All the groups are stored as an array of sets internally, which can be useful if we want to visualize every group in a future layer panel.",7,21
183,2020-01-05T23:56:41Z,,2020-01-08T22:22:18Z,2,222,95,"Add a generic component ElementOption who simple provide an label/input
Add handler and render for update text/fontsize and re-measured content",5,11
184,2020-01-06T00:00:49Z,2020-01-06T01:38:20Z,2020-01-06T01:38:20Z,1,79,30,Fixes #163,2,2
205,2020-01-06T12:55:44Z,2020-01-06T18:06:54Z,2020-01-06T18:06:54Z,1,2,2,Ellipse hit test function is not working properly if width or height of ellipse is negative,2,2
210,2020-01-06T16:55:22Z,2020-01-06T20:19:22Z,2020-01-06T20:19:22Z,1,19,5,Closes #186,3,1
216,2020-01-06T20:09:54Z,2020-01-07T02:57:38Z,2020-01-07T02:57:38Z,1,10,6,"As mentioned in #141 (comment), the ⌘ Cmd keyboard shortcuts don't work on Windows/Linux/others. We can use the Ctrl key for these devices.",3,5
232,2020-01-07T13:08:25Z,2020-01-09T16:37:09Z,2020-01-09T16:37:09Z,7,89,11,"Adds support to export canvas to clipboard, for browsers that support it (Chrome, Edge...).
This allows to copy/paste the canvas into apps such as:

many desktop apps
websites (GitHub, Trello, StackOverflow etc.)
Electron Apps (Slack, Skype...)

Potentially very useful feature, but lacking wide support so far, and sometimes buggy, so maybe this is ahead of its time.

Problems:

Browser support. For browsers that (likely) don't support it, the button isn't shown at all.
Even Chrome is buggy (the bg is sometimes black, at least for alpha pngs).

Uses navigator.clipboard.write and ClipboardItem. See https://web.dev/image-support-for-async-clipboard/#images for intro.",3,9
233,2020-01-07T13:32:42Z,2020-01-07T15:04:52Z,2020-01-07T15:04:52Z,14,206,184,"Remove generateDraw from element object. Add renderer function that renders the element
 Replace getElementAbsoluteXY functions with a single getElementAbsoluteCoords

Note: To be honest, I did not understand the reasoning behind adding a function to render the element. Based on my basic experience with game development, typically, the actual rendering stuff (e.g fillRect in context2d) are rendered by the renderer. If we compare this functionality to React, this is also how React works. In other words, React returns JS objects during the render function while the actual rendering happens in ReactDOM, which is the renderer.
I am not familiar with roughjs; so, if you want to move the shapes within the element, I can move the shape object into the element and let the renderer only do the context calls etc.",3,5
236,2020-01-07T15:14:22Z,2020-01-07T19:49:40Z,2020-01-07T19:49:40Z,6,21,1,#235,3,6
239,2020-01-07T15:52:00Z,2020-01-08T21:06:37Z,2020-01-08T21:06:37Z,7,190,130,"This PR adds a new feature to collapse contents of a panel.
Referencing issue: #237",4,10
248,2020-01-07T18:57:55Z,2020-01-09T11:34:46Z,2020-01-09T11:34:47Z,4,75,29,Fixes #164,4,12
255,2020-01-08T13:39:32Z,2020-01-08T16:03:14Z,2020-01-08T16:03:14Z,1,20,2,"Issue #165
By pressing the alt key while clicking an element it duplicates it.
Here is how it behaves:",4,7
261,2020-01-08T17:27:41Z,2020-01-08T18:54:43Z,2020-01-08T18:54:43Z,3,20,8,"Ok, making this PR a draft to ensure this one is done right :).
I've made a helper for duplicating elements. Technically, object spread won't be enough in case we add non-primitive members to elements in the future, so not sure about using that one.",2,1
278,2020-01-08T22:20:40Z,2020-01-09T01:29:42Z,2020-01-09T01:29:42Z,3,67,2,"@vjeux @paulomenezes
New PR from the last master.
Add editable font size and font familly on select text",2,2
280,2020-01-09T01:31:16Z,2020-01-09T02:56:36Z,2020-01-09T02:56:36Z,4,104,57,"Fixes #250
Now, the cursor should change accordingly if the user hovers over the elements without having any mouse button depressed.
Additionally:

Refactors the resizing test logic so that resizeTest is not invoked again after the selected element has been found.
Adds a viewportCoordsToSceneCoords to replace the proper x and y coords calculation relative to the drawing canvas that was done in most event handlers.",2,6
283,2020-01-09T08:58:43Z,2020-01-09T15:22:04Z,2020-01-09T15:22:04Z,11,239,157,"In this PR, I am making all the operations on elements array (not the actual elements within them) immutable. Now, all the functions return values instead of mutating the array directly. Some of the functions to mutate the array directly but currently, those functions accept a copy of the elements array instead of the actual array ([...elements]). Those functions are:

clearSelection
setSelection
moveAllLeft / Right
moveOneLeft / Right

We can also slowly make these functions immutable.
After this PR, I am planning on moving elements array into state as nothing is really dependent on it except for the App component.",6,21
286,2020-01-09T11:48:02Z,2020-01-09T15:30:19Z,2020-01-09T15:30:19Z,1,9,3,Fixes #267,3,3
295,2020-01-09T21:41:50Z,2020-01-10T14:00:20Z,2020-01-10T14:00:20Z,4,312,252,"I am separating side panel from app component to make it easier navigating the codebase. SidePanel component's props is a bit messy now but the the extraction is 100% working. I am going to spend some time trying to clean up the API, hence the Draft PR.",2,3
300,2020-01-10T19:35:04Z,2020-01-10T21:45:59Z,2020-01-10T21:45:59Z,1,36,15,Fixes #272,2,4
304,2020-01-10T21:57:55Z,2020-01-11T22:58:45Z,2020-01-11T22:58:45Z,4,51,13,"Covers #262.
Thinking about the comment by @vjeux about using different color palettes for each type of color in the app, I thought it would make great sense to use one same palette with different levels of lightness to reinforce their role.
So I took the schemeTableau10 color palette from d3 palettes as @pshihn suggested and modified it based on lightness to have light pastel-like colors for the canvas background (so we easily add on top with contrast), saturated and clean colors for the elements background (so they catch eyes as they are the main elements) and dark colors for strokes (so they highlight elements more effectively).
Canvas background:

Element background:

Element stroke:

I have played a bit around, I feel like I can almost select any color on top of any other and it will look pretty decent. That said, I'm definitely open for suggestions or any ideas you might have. Colors are pretty hard and subjective 😄
Regarding the code, I did it in the more straightforward way. An object with array of colors as values that we select based on a type property that is an enum. Let me know if you want to reorganize it in some other way 👍",2,8
309,2020-01-11T17:43:19Z,2020-01-22T20:32:44Z,2020-01-22T20:32:44Z,2,34,9,"Covers #259 as described in the issue.
I have only picked the viewBackgroundColor property, let me know if we want to record any other 👍
cc @vjeux",3,17
