number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
1,2019-03-01T00:13:44Z,2019-03-01T04:57:43Z,2019-03-01T04:57:43Z,2,49,3,"Add Kudos idea and update app description in README.md
Resolves: N/a
See also: N/a",2,0
3,2019-03-03T00:00:45Z,2019-03-03T20:36:22Z,2019-03-03T20:36:22Z,2,46,0,Add string art application specification,2,1
4,2019-03-03T21:07:33Z,2019-03-04T05:09:58Z,2019-03-04T05:09:58Z,2,38,0,Added Timezone Slackbot idea,2,0
5,2019-03-03T21:56:57Z,2019-03-04T18:55:42Z,2019-03-04T18:55:42Z,3,74,0,"Add Windchill application specification
Resolves: N/a
See also: N/a",2,0
6,2019-03-03T22:59:21Z,2019-03-04T18:58:11Z,2019-03-04T18:58:11Z,2,33,2,"Add Ripple Lights application specification
Resolves: N/a
See also: N/a",2,0
8,2019-03-06T02:02:56Z,2019-03-07T19:14:10Z,2019-03-07T19:14:10Z,2,39,0,"Add Bin2Dec application specification
Resolves: N/a
See also: N/a",2,0
9,2019-03-06T15:14:22Z,2019-03-07T19:13:37Z,2019-03-07T19:13:37Z,2,38,0,"Add TrueOrFalse app specification
Resolves: N/a
See also: N/a",2,0
10,2019-03-07T13:29:50Z,2019-03-07T19:12:50Z,2019-03-07T19:12:50Z,2,37,0,"Add Flip Image App specification
Resolves: N/a
See also: N/a",2,0
11,2019-03-09T16:31:06Z,2019-03-10T19:59:57Z,2019-03-10T19:59:57Z,2,41,0,"Add Color Cycle application specification
Resolves: N/a
See also: N/a",2,1
12,2019-03-14T01:01:39Z,2019-03-14T20:10:08Z,2019-03-14T20:10:08Z,2,65,0,Add CauseEffect application specification,2,0
15,2019-03-15T23:01:26Z,2019-03-16T21:03:53Z,2019-03-16T21:03:53Z,2,42,0,"Add spell-It app specification
Resolves: N/a
See also: N/a",2,0
18,2019-03-17T20:51:08Z,2019-03-18T12:34:18Z,2019-03-18T12:34:18Z,23,104,27,"Add application summary information

Add app description and tier at the top of each application specification
Change the app table in README.md to contain description and tier
Add definition of the experience required for each tier

Resolves: #17
See also: N/a",2,1
20,2019-03-20T21:28:35Z,2019-03-21T12:38:30Z,2019-03-21T12:38:30Z,2,46,0,"Add Sport Bracket Generator app specification
Resolves: N/a
See also: N/a",2,0
21,2019-03-22T09:43:53Z,2019-03-25T17:38:01Z,2019-03-25T17:38:01Z,1,49,0,"Hi @florinpop17,
Please see this app request, not sure if would fit the standards, but just came into my mind. Most of the content I copied from the wikipedia but I checked that is correct.
The idea is that the user is able to create a Roman to Decimal converter.
Regards,
Victor",2,3
23,2019-03-26T00:41:38Z,2019-03-26T05:16:15Z,2019-03-26T05:16:15Z,2,112,7,,2,0
25,2019-03-28T00:55:21Z,2019-03-29T12:39:49Z,2019-03-29T12:39:49Z,4,49,7,"Add RegExp Helper app specification
Resolves: N/a
See also: N/a",2,0
26,2019-03-29T00:47:27Z,2019-03-29T02:59:41Z,2019-03-29T02:59:41Z,1,3,4,"Update project documentation to match FCC article
Resolves: N/a
See also: N/a",2,0
27,2019-03-31T13:38:16Z,2019-03-31T19:34:04Z,2019-03-31T19:34:04Z,2,55,0,"Add JSON2CSV app specification
Resolves: N/a
See also: N/a",2,2
28,2019-04-02T00:41:20Z,2019-04-02T17:42:50Z,2019-04-02T17:42:50Z,2,59,0,"Add CSV2JSON app specification
Resolves: N/a
See also: N/a",2,1
29,2019-04-02T22:22:25Z,2019-04-03T19:54:57Z,2019-04-03T19:54:57Z,3,52,0,"Add HighStriker app specification
Add CSV2JSON as a bonus feature of the JSON2CSV app",2,1
30,2019-04-05T00:07:26Z,2019-04-05T01:12:27Z,2019-04-05T01:12:27Z,2,65,0,"Add Elevator app specification
Resolves: N/a
See also: N/a",2,0
31,2019-04-06T16:42:53Z,2019-04-06T20:43:24Z,2019-04-06T20:43:24Z,2,83,0,"Add FastFood simulator app specification.
Resolves: N/a
See also: N/a",2,0
35,2019-04-08T00:33:24Z,2019-04-08T04:53:06Z,2019-04-08T04:53:06Z,2,54,0,"Add Shell game app specification
Resolves: N/a
See also: N/a",2,0
37,2019-04-09T00:54:50Z,2019-04-09T04:40:41Z,2019-04-09T04:40:41Z,2,57,0,"Add Typing Practice app specification
Resolves: N/a
See also: N/a",2,0
41,2019-04-10T22:16:33Z,2019-04-11T20:02:25Z,2019-04-11T20:02:25Z,2,54,2,"Add Recipe app specification
Resolves: N/a
See also: N/a",2,1
42,2019-04-11T22:37:15Z,2019-04-12T04:09:40Z,2019-04-12T04:09:40Z,3,79,0,"Add Simple Online Store app specification
Resolves: N/a
See also: N/a",2,2
43,2019-04-13T23:17:16Z,2019-04-14T09:53:38Z,2019-04-14T09:53:38Z,2,61,0,Add event countdown timer application specification,2,0
44,2019-04-14T18:53:13Z,2019-04-15T07:59:22Z,2019-04-15T07:59:22Z,1,1,1,"I guess the double ""carnival"" is not necessary.
Thank you for the repo, it's awesome :)",2,1
45,2019-04-15T01:36:23Z,2019-04-15T08:00:26Z,2019-04-15T08:00:26Z,2,51,0,"Add Calorie Counter app specification
Resolves: N/a
See also: N/a",2,0
46,2019-04-15T10:12:22Z,2019-04-15T12:30:46Z,2019-04-15T12:30:46Z,2,38,1,"Hey Florin,
I recently started doing an Instagram clone on my YouTube channel and thought that it is a great learning experience.
I thought that it would be great for your app ideas repo.
Let me know your thoughts :)",2,1
47,2019-04-16T00:12:00Z,2019-04-16T19:52:21Z,2019-04-16T19:52:21Z,2,41,0,Add Key Value app specification,2,0
48,2019-04-17T00:13:53Z,2019-04-17T04:15:51Z,2019-04-17T04:15:51Z,2,55,0,"Add GitHub Status app specification
Resolves: N/a
See also: N/a",2,0
