number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
123,2015-01-15T23:12:00Z,,2015-01-16T18:34:17Z,1,1,1,"https://github.com/git/git/edit/master/Documentation/everyday.txto doesn't show where to find the link it discusses.
linkgit:giteveryday[1] doesn't seem to mark up, or anything.",2,1
189,2015-11-25T16:24:10Z,,2019-06-07T13:39:53Z,1,15,15,,6,11
243,2016-05-24T12:11:50Z,,2023-02-19T16:08:19Z,1,21,1,"Hi,
I extended the git svn rebase command to support autostash.
It would be nice if this feature would be integrated in git soon.
Please review my changes.
Regards
René Link",5,13
284,2016-08-04T19:01:42Z,,2019-11-25T13:52:27Z,1,0,2,"seeing as this is simply an alias to --depth, it is unexpected that this would throw a fatal error when --depth does not",2,8
291,2016-08-31T23:27:41Z,,2016-10-21T19:25:07Z,1,1,0,,6,4
294,2016-09-19T15:22:10Z,,2019-06-19T11:44:28Z,1,16,12,"…ge cleanly
During a rebase or cherry-pick of multiple commits, the error message will now
correctly tell you to run  --continue rather than just 'git commit'.
Signed-off-by: Stephen Morton stephen.morton@nokia.com",5,4
297,2016-10-04T11:21:40Z,,2019-07-05T15:07:23Z,2,47,3,"…moved outside of working tree with enabled sparse-checkout.
It's a very unexpected behaviour when a user sees a deleted file after a merge with enabled sparse-checkout. Moreover, when the user resolves merge conflicts and commits the changes with the command ""git commit -am xxx"", a repository can be broken because all the moved files will be deleted. Finally, it's really hard to find a user who deleted these files because ""git log file"" doesn't show any merge commits by default. I'm not sure that my fix is correct but I checked all tests and I didn't find a better way to prevent files deleting.",6,10
319,2017-01-21T11:37:12Z,,2019-03-01T13:24:49Z,1,1,1,"When running git-p4 on Windows, with multiple git-p4.mapUser entries in
git config - no user mappings are applied to the generated repository.
Reproduction Steps:

Add multiple git-p4.mapUser entries to git config on a Windows
machine
Attempt to clone a p4 repository

None of the user mappings will be applied.
This issue is actually caused by gitConfigList, using
split(os.linesep) to convert the output of git config --get-all into
a list. On Windows, os.linesep is equal to '\r\n' - however git.exe
returns configuration with a line seperator of '\n'. This leads to
the list returned by gitConfigList containing only one element - which
contains the full output of git config --get-all in string form, which
causes problems for the code introduced to getUserMapFromPerforceServer
in 10d08a1.
This issue should be caught by the test introduced in 10d08a1, however
would require running on Windows to reproduce.
Using splitlines solves this issue, by splitting config on all
typical delimiters ('\n', '\r\n' etc.)
Signed-off-by: George Vanburgh gvanburgh@bloomberg.net",5,4
338,2017-03-11T16:41:16Z,,2019-05-11T11:52:30Z,4,39,68,,4,0
343,2017-04-12T02:26:06Z,,2018-01-12T18:13:57Z,2,43,0,"It's possible that exec'd commands may change the TODO.  Prior to 2.12, this was the behavior, but the changes to sequencer.c made it clobber any changes instead of picking them up.",4,11
355,2017-05-15T17:41:55Z,,2019-07-12T10:33:07Z,1,7,2,for external tools compatibility (such as gollum wiki),3,4
