number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
9,2017-11-03T05:29:59Z,2017-11-03T15:28:15Z,2017-11-03T15:28:15Z,1,1,1,"I believe it should be ""Even worse"", not ""Even worth"".",3,1
10,2017-11-03T10:53:36Z,2017-11-03T15:31:24Z,2017-11-03T15:31:24Z,1,1,1,,3,1
14,2017-11-03T14:26:53Z,2017-11-03T15:32:48Z,2017-11-03T15:32:48Z,1,2,2,"Fixing typo.

Docker-compos => Docker-compose",3,1
16,2017-11-03T20:06:10Z,,2019-04-04T07:50:50Z,7,131,137,Skeleton for translate the project to Spanish language,6,20
20,2017-11-04T12:01:21Z,2017-11-05T21:19:01Z,2017-11-05T21:19:01Z,1,43,42,Fixed some typos in the main README file,3,3
23,2017-11-04T17:33:15Z,2017-11-04T21:00:51Z,2017-11-04T21:00:51Z,1,4,4,"Format js code
Quote the remaining paragaph from the blog post
Remove unecessary text 'Close GIST window Skip to toolbar About WordPress'",3,1
24,2017-11-04T21:57:40Z,2017-11-05T15:49:28Z,2017-11-05T15:49:28Z,1,1,1,,3,0
29,2017-11-06T18:24:01Z,2017-11-09T20:21:00Z,2017-11-09T20:21:00Z,22,27,27,,3,5
35,2017-11-08T06:20:46Z,2017-11-08T19:54:03Z,2017-11-08T19:54:03Z,1,6,6,"explictly -> explicitly
interpeter -> interpreter
Prefering -> Preferring
asyncronous -> asynchronous
Nowdays -> Nowadays
extremly -> extremely",2,1
39,2017-11-08T13:39:48Z,,2018-09-19T08:36:36Z,2,7,3,,5,7
48,2017-11-09T14:54:00Z,2017-11-09T20:45:13Z,2017-11-09T20:45:13Z,1,2,2,,2,1
52,2017-11-10T04:59:56Z,2017-11-14T19:23:55Z,2017-11-14T19:23:55Z,1,7,15,"The mentioned article is only talking about nsp and not snyk.
I thought of maybe adding this article as well -
https://www.smashingmagazine.com/2016/01/eliminating-known-security-vulnerabilities-with-snyk/
And maybe this quote -

Running untrusted code inside your system poses a broad security risk. Tackling it isn’t simple, but a good place to start is by addressing known vulnerabilities. These are publicly disclosed security bugs, typically found and logged by users, or intentionally found and reported by security researchers. Being public makes these issues the easiest ones for attackers to find and exploit, and so very important to address.


Right now, roughly 14% of the top npm packages carry known vulnerabilities. The stats are far worse for full applications: over 80% of Snyk users find vulnerabilities when testing their applications.

The only issue with it it's seem like a promotional peace for snyk and was written by one of their co-founders",3,4
56,2017-11-10T08:29:49Z,2017-11-11T10:03:38Z,2017-11-11T10:03:38Z,1,2,2,This PR proposes a small syntax fix for section 3.3 Start a Codeblock's Curly Braces in the Same Line,2,1
57,2017-11-10T09:20:14Z,2017-11-11T20:16:36Z,2017-11-11T20:16:37Z,2,3,3,"Fix ""SyntaxError: Unexpected token throw""
Update Joi example

Fixes #43",2,0
58,2017-11-10T13:52:12Z,2017-11-11T10:00:52Z,2017-11-11T10:00:52Z,1,1,1,"Fixes a typo:
callbabk => callback",2,1
60,2017-11-11T15:22:36Z,,2018-05-08T07:21:29Z,2,25,0,"This piece of advice isn't exactly node specific, but since Node is often deployed in a microservice environment, I think it's absolutely crucial to expose system health to all dependent systems. Even if you're not in a microservice environment, being able to view system health at a glance can be a tremendous relief.
I work in a company with a fleet of 100+ services across thousands of instances. We have developed a schema that all our services have to adhere to. Part of it is to expose a healthcheck endpoint that tells you the overall health of the system, as well as information about each individual check - including dependencies. This allows us to create a graph of connected services so that if there's an outage in one system, we can see which other systems will be affected by it. It can also help us discover bottlenecks where one system may affect many others, in which case we should strive to provide fallback behaviors that allow us to at least partially function.
For the record, I'm the developer of express-physical, which I linked to in the ""read more"" section. We use that library across all of our node services, and it has worked well for us so far.",3,5
61,2017-11-12T14:53:13Z,2017-11-14T19:18:38Z,2017-11-14T19:18:38Z,2,17,1,"I noticed there was an image of some code that would be nicer as an actual code block, so I just transcribed what was in the image, and deleted the image from the repo.",3,2
62,2017-11-13T00:56:37Z,2017-11-14T13:00:45Z,2017-11-14T13:00:45Z,1,5,5,Just cleaned up some of the grammar,2,0
64,2017-11-14T09:33:28Z,2017-11-14T12:49:17Z,2017-11-14T12:49:17Z,1,1,1,"An hierarchical JSON files that is grouped into section can overcome this issue to:
A hierarchical JSON file that is grouped into section can overcome this issue.",3,4
65,2017-11-14T17:38:30Z,2017-11-14T19:17:15Z,2017-11-14T19:17:15Z,1,2,2,change the plural conjugation ease to the correct singular conjugation eases,2,3
70,2017-11-15T09:33:23Z,2017-11-15T10:47:48Z,2017-11-15T10:47:48Z,1,1,1,,2,0
76,2017-11-15T17:20:21Z,2017-11-16T16:08:03Z,2017-11-16T16:08:03Z,1,5,0,,3,0
81,2017-11-23T17:53:28Z,,2017-12-03T08:08:38Z,1,4,4,Fixes #72,3,3
89,2017-11-26T09:05:29Z,2017-12-02T21:20:44Z,2017-12-02T21:20:44Z,1,5,3,,3,2
97,2017-12-04T03:43:52Z,2017-12-05T03:20:56Z,2017-12-05T03:20:56Z,2,41,0,,2,0
99,2017-12-04T21:19:23Z,2017-12-04T22:36:39Z,2017-12-04T22:36:39Z,2,4,3,,2,4
102,2017-12-06T14:18:56Z,2017-12-09T13:32:08Z,2017-12-09T13:32:08Z,1,1,1,,2,1
106,2017-12-08T01:13:01Z,2017-12-11T18:50:40Z,2017-12-11T18:50:40Z,1,2,2,,2,0
108,2017-12-11T22:15:42Z,2017-12-12T16:15:21Z,2017-12-12T16:15:21Z,1,4,2,The current link does not actually link to a video. This commit will add a direct link to the video as well as a link to the slide deck.,2,1
109,2017-12-12T01:48:25Z,2017-12-12T13:48:18Z,2017-12-12T13:48:18Z,2,41,11,,3,0
111,2017-12-22T09:01:11Z,2017-12-27T13:35:06Z,2017-12-27T13:35:06Z,1,9,13,,2,1
116,2017-12-26T14:57:10Z,2017-12-27T11:51:43Z,2017-12-27T11:51:43Z,9,77,68,"self explanatory
Regards,
Allen",2,2
117,2017-12-27T14:37:23Z,2017-12-28T21:46:42Z,2017-12-28T21:46:42Z,23,118,99,,2,1
118,2017-12-29T16:52:42Z,2018-01-01T00:06:48Z,2018-01-01T00:06:48Z,1,1,1,This code is not Nginx but Express,2,2
123,2018-01-02T08:45:27Z,2018-01-02T12:23:03Z,2018-01-02T12:23:03Z,1,1,1,,2,1
132,2018-01-29T21:55:16Z,2018-02-06T16:22:13Z,2018-02-06T16:22:13Z,1,31,0,"@BrunoScheufler kindly revise? no need to perform vast editing, only bold grammar/language issues",2,2
140,2018-02-15T07:35:05Z,2018-02-15T13:06:56Z,2018-02-15T13:06:56Z,2,4,3,,2,2
142,2018-02-16T10:09:45Z,2018-02-19T09:10:21Z,2018-02-19T09:10:21Z,2,47,1,"I would like to contribute to this project, so I have added to the security section with some information around leaving session middleware to it's default config.
Let me know any feedback or where else I can contribute! Thanks",3,9
151,2018-03-10T05:48:30Z,2018-03-13T08:03:45Z,2018-03-13T08:03:45Z,1,9,1,,3,5
152,2018-03-10T06:27:48Z,2018-03-10T09:31:03Z,2018-03-10T09:31:03Z,1,4,5,,2,1
153,2018-03-11T08:03:21Z,,2018-03-17T21:45:56Z,3,88,3,,3,5
159,2018-03-19T05:58:12Z,2018-03-23T09:16:52Z,2018-03-23T09:16:52Z,9,133,11,"6.1: Embrace linter security rules
6.2: Limit concurrent requests using a balancer or a middleware
6.7: Constantly and automatically inspect for vulnerable dependencies
6.20: Hide error details from client (e.g. default Express behaviour)",3,2
161,2018-03-25T03:55:30Z,2018-03-28T14:09:24Z,2018-03-28T14:09:24Z,4,70,11,,3,2
162,2018-03-25T11:11:32Z,2018-04-05T21:20:16Z,2018-04-05T21:20:16Z,2,64,3,,3,3
165,2018-03-27T12:56:46Z,2018-04-02T08:23:47Z,2018-04-02T08:23:47Z,2,68,4,cc @lirantal  @js-kyle,4,1
166,2018-03-31T04:33:08Z,2018-04-11T09:07:43Z,2018-04-11T09:07:43Z,2,31,3,,3,0
171,2018-04-09T05:20:26Z,2018-04-09T08:24:45Z,2018-04-09T08:24:45Z,1,2,1,,3,2
174,2018-04-18T08:44:21Z,2018-04-24T14:24:23Z,2018-04-24T14:24:23Z,2,49,19,@lirantal @js-kyle @BrunoScheufler,4,2
175,2018-04-22T11:29:07Z,2018-04-22T19:45:22Z,2018-04-22T19:45:22Z,39,265,296,,2,2
