number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2112,2015-07-19T12:23:19Z,,2018-06-27T16:14:40Z,27,1160,51,"Abstract
goal of this PR is to replace
byte[] buf = new byte[BUF_SIZE];
ByteArrayOutputStream baos = new ByteArrayOutputStream();

with
Buffers.Lease<byte[]> lease = Buffers.leaseByteArray();

try{
   byte[] buffer = lease.getBuffer();
} finally {
    lease.returnLease();
}

Buffers.Lease<ByteArrayOutputStream> lease = Buffers.leaseByteArrayOutputStream();

try{
   ByteArrayOutputStream baos = lease.getBuffer();
} finally {
    lease.returnLease();
}



in all cases where byte-array or ByteArrayOutputStreams are used method-internal, this way avoiding unneccessary memory allocation, increasing performance and enhancing the memory profile.
Implementation
[ThreadLocalBuffers](https://github.com/berndhopp/guava/blob/master/guava/src/com/google/common/io/
Buffers.java) is the manager of thread-local byte-arrays and FastByteArrayOutputStreams. It uses SoftReferences or WeakReferences to store buffers, this way enabling Garbage Collection to collect the buffers when the system runs low on memory. All allocations of byte[] or ByteArrayOutputStream in where the allocated byte[]/BAOS is not the returned value of the method have been replaced with calls to ThreadLocalBuffers.
ByteSource.contentEquals was challenging, because it used not one but two byte-arrays for buffering, so I used two ByteBuffers that wrap around the upper and lower part of the thread-local buffer, thereby mimicking the two buffers.
Results
The microbenchmarks show that avoiding buffer allocation yields a significant performance boost. Tests that did not show significant differences are left out. There have been no tests where performance dropped more than 2.00%.



tested method
bytes copied
runtime w/ TL buffers
runtime w/out TL buffers
performance increase in %




ByteStreams.copy
10
105569
681130
545,2


ByteStreams.copy
100
107411
698152
549,98


ByteStreams.copy
10000
840354
1186307
41,17


ByteStreams.readBytes
10
68917
633365
819,03


ByteStreams.readBytes
100
69802
660336
846,01


ByteStreams.readBytes
10000
360357
934588
159,35


ByteStreams.toByteArray
10
122681
750095
511,42


ByteStreams.toByteArray
100
131705
773561
487,34


ByteStreams.toByteArray
10000
1962961
4962929
152,83


ByteSource.contentEquals
10
647140
3614650
458,56


ByteSource.contentEquals
100
685559
647694
453,81


ByteSource.contentEquals
10000
5987317
9460941
58,02



you can find the results here:
ByteStreamsBenchmark w/ ThreadLocal
ByteStreamsBenchmark w/out ThreadLocal
ByteSourceBenchmark w ThreadLocal
ByteSourceBenchmark w/out ThreadLocal",8,25
2544,2016-08-08T13:42:33Z,,2018-07-10T19:39:29Z,2,34,15,"The implementation of the method indexOf(Object o) in the AbstractList iterates over the iterator. In the case of Cartesian list, the index can be computed instead.",6,4
2581,2016-09-29T02:14:08Z,,2016-09-29T18:44:11Z,4,13,20,"All code which initializes an IOException with a cause exception now uses the appropriate constructor (which was introduced in Java 6), rather than initCause. Since Guava now depends on Java 6, this (as far as I can tell) is a safe change to make.
A change was made from using an Iterator to an enhanced for-loop for (arguably) improved readability and, by my understanding, no performance impact.
All other changes should hopefully be self-explanatory. :)",3,3
2627,2016-11-04T05:28:53Z,,2018-02-19T19:41:12Z,3,63,0,"Added lastIndexOf(byte[] array, byte[] target) method to Bytes primitive class and its corresponding tests.
It is a fix for the issue #2617 .",4,6
2637,2016-11-11T12:50:51Z,,2019-10-25T18:11:07Z,3,71,0,"Some times, we need events to be executed by specified executor.",7,9
2649,2016-11-17T23:08:10Z,,2017-02-22T16:59:06Z,2,68,4,fixes #2648 .,5,15
2673,2016-12-06T02:11:41Z,,2017-01-09T20:04:52Z,3,76,0,…tive iterators #2666,9,5
2676,2016-12-06T18:36:55Z,,2023-06-26T13:02:46Z,4,102,0,Code and test in Sets and Maps instead.,7,1
2682,2016-12-13T12:13:15Z,,2017-01-09T20:04:52Z,2,294,0,Random string generator and unit tests,9,8
2761,2017-03-13T22:36:48Z,,2017-05-04T14:10:07Z,4,236,54,"Previously, the BloomFilter wasn't thread-safe and required external locking to ensure safety. Now, it's thread-safe and lock-free through the use of atomics and compare-and-swap.
This PR introduces no API changes beyond an extra @ThreadSafe annotation on the BloomFilter class. It should also be entirely backwards (and forwards) compatible with the serialization format because that too isn't being changed.
Please extend extra scrutiny to the LockFreeBitArray.putAll() method because it's not present in our internal fork of the BloomFilter class and has thus not gone through our integ tests or has seen prod (I wrote it for this PR).
Fixes #2748.",6,25
