number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
1,2023-06-11T01:59:32Z,,2023-06-15T20:17:35Z,17,958,99,"Thank thank you thank you Anton. You won. My dream of building ComputaCode is probabbly over. lol. It's okay. I'm happy for everyone else.
For reproducibility purposes, I recommend using poetry since it records package versions. Also it simplifies building wheels and publishing.
I've updated the configured for poetry, reorganized some files to follow the pythonic conventions, and updated referenced. Please see my fork.",3,8
27,2023-06-14T11:38:15Z,2023-06-15T18:00:53Z,2023-06-15T18:00:53Z,1,1,1,This PR fix a small typo in the README (for those of us following along the demo). Really cool project 🚀 !,3,1
28,2023-06-14T12:25:33Z,,2023-06-15T18:02:24Z,1,14,8,Just adding the comments in the code for people to understand what exactly is going on,4,3
29,2023-06-14T13:15:17Z,,2023-06-15T18:05:28Z,5,45,3,"1, Use dotenv to init env variables
2, Support custom openai base URL
3, Tested locally
4, Update readme",6,6
43,2023-06-15T07:41:29Z,,2023-06-15T18:08:33Z,1,4,1,added how to add key configurations both in Windows and Linux to avoid confusion,5,2
48,2023-06-15T13:19:55Z,,2023-06-15T19:22:01Z,1,21,0,,4,16
60,2023-06-15T22:48:41Z,2023-06-16T11:25:30Z,2023-06-16T11:25:30Z,8,59,23,"Feature
Make it easy to run
pip install .  # eventually pip install gpt-engineer
gpt-engineer <PATH> # or gpt-engineer --help
Changeset

improve pyproject.toml with project configs
make gpt_engineer/ directory and move python files
Fix paths in source code.",3,4
61,2023-06-16T01:14:26Z,2023-06-17T11:38:01Z,2023-06-17T11:38:01Z,5,145,1,"Closes #57
Please find the necessary changes to setup pre-commit in the project.
Also, I added the .github/CONTRIBUTING.md file where the installation and usage of pre-commit is explained in detail along side some other information regarding contributions.",2,4
63,2023-06-16T04:12:43Z,,2023-07-02T14:54:48Z,10,303,160,"This PR build off of #60, it will be easier to read once it's merged.

Improvements

Basic, extendable support to use any LLM model you like
Better typing, structs, enums etc. to make the code more understandable.
Better package layout",4,16
75,2023-06-16T12:24:02Z,,2023-06-16T13:24:21Z,1,13,10,"update on next function:  List[Dict[str, str]]",3,2
92,2023-06-17T01:19:07Z,,2023-06-18T13:19:50Z,1,2,2,"We should fall back to gpt-3.5-turbo-16k-0613 instead of the default gpt-3.5-turbo model, as it can handle larger code outputs.
Using the gpt-3.5-turbo-16k-0613 as a fallback means we can also implement functions in the future.",5,11
93,2023-06-17T02:03:42Z,,2023-06-17T21:02:09Z,32,585,46,Created the CODE_OF_CONDUCT and added anton.osika@gmail.com as the point of contact for any issues.,3,3
94,2023-06-17T08:44:03Z,,2023-06-20T11:28:24Z,1,84,1,,4,19
96,2023-06-17T08:54:55Z,,2023-06-17T16:33:14Z,1,13,0,"This optional PR would make it possible to install the dependencies through poetry. Please feel free to suggest improvements, or simply close the PR if not helpful. Many thanks for your consideration.",3,1
97,2023-06-17T09:26:03Z,2023-06-17T16:11:15Z,2023-06-17T16:11:15Z,1,2,2,,4,1
118,2023-06-17T17:42:20Z,2023-06-19T15:33:53Z,2023-06-19T15:33:53Z,2,28,1,,4,7
120,2023-06-17T17:52:23Z,2023-06-18T12:10:08Z,2023-06-18T12:10:08Z,2,201,11,"This fixes compatibility issues in PR #87 that have arisen from recent changes to the repository.
Additionally, an improvement to the parser unit tests has been done.
The goal of the this parser is to make sense of what the LLM has provided without requiring another inference call which adds time and cost overhead. My remarks on this matter were stated in #35.
Further debate has been conducted in PR #94",5,6
128,2023-06-17T20:40:17Z,2023-06-23T09:50:34Z,2023-06-23T09:50:34Z,1,126,14,,3,5
129,2023-06-17T21:03:40Z,,2023-06-18T01:31:40Z,35,608,56,Moved the CODE_OF_CONDUCT.md out of the main directory and into the correct .github directory,3,6
188,2023-06-19T06:48:18Z,2023-06-19T11:26:56Z,2023-06-19T11:26:56Z,4,9,10,4 File changed with 9 Additions and 10 deletions,4,1
214,2023-06-19T18:29:02Z,,2023-06-22T22:42:52Z,2,16,16,"Although the OPENAPI key was previously registered, it was getting an error and I could not find the solution. Now, with a small change, the problem has completely disappeared and now it works flawlessly.",4,1
257,2023-06-20T17:19:01Z,,2023-06-20T23:05:14Z,1,7,3,Closes #225,3,3
276,2023-06-21T03:55:16Z,,2023-06-21T12:25:17Z,3,19,9,"…uming the module name.
Also adjusted the temperature settings to be '0' so test results are more deterministic",2,0
299,2023-06-21T15:06:00Z,2023-06-21T16:25:50Z,2023-06-21T16:25:50Z,1,2,2,"Hello there👋
I have made a pull request to fix a small typo in the ""fix_code"" function",2,0
301,2023-06-21T15:22:20Z,,2023-06-29T20:45:22Z,1,10,0,,3,4
308,2023-06-21T19:42:33Z,,2023-06-22T17:44:53Z,10,79,57,Refactor all .md files in accordance with markdownlint,2,1
310,2023-06-21T23:10:45Z,,2023-06-25T18:56:11Z,2,5,0,"Add https://github.com/BerriAI/reliableGPT to gpt-engineer to handle the following errors:

OpenAI APIError, OpenAI Timeout, OpenAI Rate Limit Errors, OpenAI Service UnavailableError / Overloaded
Context Window Errors
Invalid API Key errors

gpt-engineer users can specify fallback strategies for error handling - eg. if GPT-4 is overloaded use GPT 3.5 Turbo, Anthropic etc
cc @patillacode @AntonOsika",4,3
