number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
1725,2016-10-12T18:02:04Z,,2016-12-06T10:38:32Z,1,1,1,fix engine version which could make more compatibility to new node version,2,0
1950,2017-07-28T03:57:31Z,,2018-03-22T23:10:01Z,1,16,5,"I had this code in my slide:
```elixir
defmodule YouTube do
  def search_videos(query) do
    Repo.all(from video in Video,
    where: query in video.search_terms)
  end
end
```

Before:

After:

Similar to #1847 and #1831",1,1
2121,2018-03-10T15:01:29Z,2018-03-22T10:06:19Z,2018-03-22T10:06:19Z,1,58,50,New overrideLayout option (if true) will prevent h/w calcs.,2,3
2171,2018-06-04T20:53:23Z,2018-08-01T08:36:07Z,2018-08-01T08:36:07Z,1,1,1,,3,2
2300,2019-01-15T12:22:50Z,2019-01-31T19:09:46Z,2019-01-31T19:09:46Z,2,17,0,"Resize Event
When reveal.js changes the scale of the slides it fires an resize event. You can subscribe to the event to resize your elements accordingly.
Reveal.addEventListener( 'resize', function( event ) { /* console.log(event.scale,event.oldscale,event.size); */ } );",4,1
2312,2019-01-30T16:42:12Z,2019-02-18T14:14:40Z,2019-02-18T14:14:40Z,1,3,2,"I've noticed Math.random() used to generate a secret. However, its values are not safe against prediction, so if I understand the context correctly, it's probably preferable to use Window.crypto instead.
Full disclosure: I noticed this using LGTM.com, a code analysis platform which I also work for.",3,2
2338,2019-03-03T03:33:45Z,,2023-02-19T10:25:13Z,2,16,0,"Fixes #2126
Since inline elements don't get transform scale effects, if the grow or shrink fragment class is applied to a span, nothing happens currently. Changing the font-size instead gives the expected result.",2,0
2368,2019-04-06T13:03:27Z,,2019-04-06T15:11:37Z,39,7066,313,,7,0
2387,2019-04-30T18:53:49Z,,2019-05-06T22:57:19Z,1,94,47,"Currently, the background videos/iframes added via the data-background-[video|iframe] are lazy loaded correctly the first time when in the viewDistance of the current slide (and the data-preload attribute has been added for the specific case of the iframes). However, if we get out of the viewDistance distance, the background content lazy loaded is not unloaded like what happens for regular lazy loaded content on the main slides. This means that for example an iframe in the background content will still use the browser ressources even though it should have been unloaded.
This PR fixes this problem.",1,0
2400,2019-05-09T22:58:29Z,2019-05-27T06:11:43Z,2019-05-27T06:11:43Z,2,37,4,"The current pacing timer, introduced in 715cf0b (#1564), operates on the assumption that there is a default amount of time to be allocated to each slide, and that individual slides can deviate from that default by specifying their own data-timing attribute.
This patch introduces an alternate pacing method: by specifying the totalTime configuration option, the presenter can set the total time available to present. The pacing timer will then continue to allocate the exact pacing time for slides that do have data-timing set, as before. However, rather than applying the defaultTiming constant to all others, it will

Add up the time already allocated to slides via data-timing;
subtract that from totalTime;
divide the difference by the number of slides without data-timing set;
apply the thus-calculated average to those slides.

totalTime has no default, and if both defaultTiming and totalTime are set, totalTime wins. This preserves backward compatibility: if a presenter has set defaultTiming and updates reveal.js, totalTime will be null and defaultTiming is still applied to all slides without a data-timing attribute. The presenter can then switch to the automatic calculation, if desired, by setting a value for totalTime.",3,13
