number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
400,2016-03-11T17:27:13Z,,2017-02-11T23:08:36Z,19,943,0,"Hi, I finalized issue #381 . I would appreciate it if somebody would review it. Thanks!",6,32
483,2016-08-08T22:35:58Z,2016-10-18T04:43:01Z,2016-10-18T04:43:01Z,17,1038,1,Hey @iluwatar . Let me know if there are any issues with the implementation of the new pattern. Thanks.,3,22
500,2016-10-04T12:37:44Z,2016-10-18T18:01:59Z,2016-10-18T18:01:59Z,2,13,0,"Fixes #436, #437.
Lists drawbacks of the Service Locator and Singleton patterns.",3,6
504,2016-10-11T10:27:06Z,,2016-11-26T13:16:15Z,34,2003,5,I closed previous Index table push because I hadn't updated the pom.xml file in it.,3,8
512,2016-10-27T10:33:41Z,2016-12-01T18:53:12Z,2016-12-01T18:53:12Z,12,755,0,Pull request for Module pattern #62,3,8
521,2016-11-20T11:05:54Z,2016-11-28T17:04:31Z,2016-11-28T17:04:31Z,16,776,5,"I have completed coding, design (UML), README.md. jUnit tests.
This is my first code submission for open source.
Please review and let me know the issues.
I have one question,
In the README.md file we have to generate the ""pumlid"". I don't know how to generate the same.
As of now I have left it blank. Let me know how to generate the same.",2,16
526,2016-12-08T16:04:35Z,2017-01-13T11:18:06Z,2017-01-13T11:18:06Z,6,83,1,"I have added blog for Queue-Based Load Leveling Pattern. Please review the same.
There is one problem with images. I have added images to assets directory but still the images are not getting resolved. Please let me know how to resolve this issue.",3,13
529,2016-12-16T10:44:19Z,2017-04-01T09:29:03Z,2017-04-01T09:29:03Z,13,929,2,"Example for using a ThreadLocal variable in a Runnable object. To show the problems when not using the Thread Local Storage pattern a second app named AppUgly is added. This second app does not use the Thread Local Storage pattern and produces exeception and / or bad results. For AppUgly no JUnit tests are provided because these would neither surely fail nor surley succeed. Both apps are described in the code (javadoc).
I could not find a way to check the rendering of the READMD.md.",2,9
532,2016-12-24T21:53:46Z,2017-01-23T06:21:08Z,2017-01-23T06:21:08Z,13,31,20,Adding noninstantiable class instead of interface constant idiom.,2,9
533,2016-12-26T17:37:38Z,2017-01-21T11:24:13Z,2017-01-21T11:24:14Z,3,67,0,,2,1
535,2017-01-05T21:04:02Z,,2017-04-22T11:58:12Z,18,545,0,,2,4
536,2017-01-06T00:32:54Z,2017-03-26T12:00:22Z,2017-03-26T12:00:22Z,11,415,0,Pull request for Balking Pattern issue #66,2,4
537,2017-01-06T00:35:27Z,2017-03-12T08:36:28Z,2017-03-12T08:36:28Z,9,300,1,pull request for guarded suspension pattern,2,6
538,2017-01-25T22:11:55Z,,2017-04-22T11:58:36Z,14,631,0,,2,3
544,2017-03-05T18:57:08Z,2017-04-22T12:17:32Z,2017-04-22T12:17:32Z,19,894,0,See issue #467,2,7
546,2017-03-11T12:07:20Z,2017-04-01T11:17:38Z,2017-04-01T11:17:38Z,14,560,4,"My purpose of a Converter being a generic class instead of an interface was to enable very simple creation of an instance, providing only two converters as Java8 lambdas - very clean solution (example usage here: https://github.com/iluwatar/java-design-patterns/compare/master...Crossy147:converter?expand=1#diff-a47ad9e33423d70a452559b5562b8548R44)",2,4
548,2017-03-21T17:21:29Z,2017-04-01T11:45:52Z,2017-04-01T11:45:53Z,105,575,282,"Added JavaDocType Rule
Updated JavaDoc Comments
Removed AvoidStarImport

Please review.",2,0
565,2017-04-12T16:02:04Z,2017-04-16T05:17:57Z,2017-04-16T05:17:57Z,1,1,1,"available.size() < 0 is impossible, so it has sense only in case available.size() = 0, and it means that collection is empty, besides function isEmpty() is faster, than checking of the size.",2,1
566,2017-04-24T07:59:23Z,2017-05-16T18:59:50Z,2017-05-16T18:59:50Z,14,517,18,"The Event Queue is one of the Game Programming Patterns, it provides an asynchronous communications protocol, meaning that the sender and receiver of the event/message do not need to interact with the queue at the same time. I implemented in this PR a sound playing queue using this pattern.",2,10
569,2017-04-28T10:04:33Z,2017-05-21T06:02:18Z,2017-05-21T06:02:18Z,3,133,11,"There are two types of dependency injection: Constructor dependency injection and Setter Dependency Injection. Both types have pluses and minuses and wide used (f.e. in Spring Framework). This patch describes second type of DI - Setter Dependency Injection.
Class AdvancedSorceress is constructed by analogy with AdvancedWizard. Difference between them is in the way of dependency injection. Tests attached.",2,7
571,2017-04-30T07:24:44Z,2017-05-15T05:13:29Z,2017-05-15T05:13:29Z,1,5,2,"The original code use PropertiesFeatureToggleVersion(), but for Block 3 case, it should use TieredFeatureToggleVersion().",2,1
573,2017-05-03T19:25:37Z,2017-06-11T16:26:48Z,2017-06-11T16:26:48Z,25,676,0,Pull request for issue #541,2,5
575,2017-05-07T08:00:16Z,2017-05-21T06:11:01Z,2017-05-21T06:11:01Z,1,16,0,Added few more points in applicability and also some use cases and consequences.,2,2
576,2017-05-14T21:47:10Z,,2017-08-12T13:53:37Z,8,388,0,"Many Java applications have serious performance problems that can all be traced to one source - the use of double buffered graphics. Double buffered graphics is the trick of drawing into a off-screen buffer in main memory, and then copying the final image from the off-screen buffer to the screen. This trick has become part of the folklore of Java programming. How can you do flicker-free screen updates? The usual answer - use double buffered graphics. This is unfortunate. Double-buffered graphics are a massive performance hit for Java applications.",2,3
