number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
23,2022-10-26T03:23:09Z,2022-10-26T05:00:34Z,2022-10-26T05:00:34Z,11,228,28,"Add support for huggingface hub
I could not find a good way to enforce stop tokens over the huggingface hub api - that needs to hopefully be cleaned up in the future",2,0
31,2022-10-27T13:33:00Z,,2023-04-12T00:36:50Z,19,602,36,"Major changes:

Expose a ""generate"" method to permit sampling / n-best list generation
Expose ability to return logprobs of the generated tokens. Add to cohere and OpenAI llms
Add example prompts from paper https://arxiv.org/pdf/2203.11171.pdf
Add self-consistent chain-of-thought prompt logic to a chain

I don't like a lot of the overloading int he chain I made so will clean things up. Pubbing for initial feedbak",2,1
33,2022-10-27T19:12:22Z,2022-10-28T01:17:04Z,2022-10-28T01:17:04Z,1,1,1,Currently the cohere module uses a non-supported model. Updating this to use the default model if one is not specified.,3,1
44,2022-10-31T01:21:57Z,2022-10-31T05:48:52Z,2022-10-31T05:48:52Z,1,25,0,@sjwhitmore anything you think would have been helpful to know?,2,0
48,2022-11-01T04:33:38Z,2022-11-02T04:29:40Z,2022-11-02T04:29:40Z,19,427,5,also adds embeddings and an in memory docstore,2,5
49,2022-11-01T04:58:32Z,2022-11-05T19:43:22Z,2022-11-05T19:43:22Z,3,219,2,Checking that this structure looks generally ok -- going to sub in logic where the TODO comment is then add a test.,2,2
60,2022-11-03T21:47:38Z,2022-11-04T15:42:45Z,2022-11-04T15:42:45Z,4,32,6,,2,0
62,2022-11-05T01:37:14Z,2022-11-10T19:24:12Z,2022-11-10T19:24:12Z,5,191,0,,2,0
64,2022-11-05T21:22:45Z,2022-11-06T23:40:33Z,2022-11-06T23:40:33Z,20,414,254,,2,0
67,2022-11-05T23:51:39Z,2022-11-08T15:01:42Z,2022-11-08T15:01:42Z,5,221,4,woo!,2,2
68,2022-11-06T16:18:27Z,2022-11-07T13:46:44Z,2022-11-07T13:46:44Z,3,86,0,Add support of HuggingFace embedding models,2,3
79,2022-11-07T18:11:09Z,2022-11-07T21:34:45Z,2022-11-07T21:34:46Z,7,67,36,"Addresses the issue in #76 by either using the relevant environment variable if set or using a string passed in the constructor.
Prefers the constructor string over the environment variable, which seemed like the natural choice to me.",2,1
81,2022-11-08T03:15:24Z,2022-11-08T14:24:23Z,2022-11-08T14:24:23Z,4,149,1,"lots of kwargs! generation docs here: https://docs.nlpcloud.com/#generation
This somewhat breaks the paradigm introduced in LLM base class as the stop sequence isn't a list, and should rightfully be introduced at the time of initialization of the class, along with the other kwargs that depend on its presence (e.g. remove_end_sequence, etc.) curious if you'd want to refactor LLM base class to take out stop as a specific named kwarg?",2,1
91,2022-11-08T23:08:31Z,2022-11-10T05:15:42Z,2022-11-10T05:15:42Z,3,371,3,certainly broken atm but pushing for visibility while afk,2,1
92,2022-11-09T01:15:14Z,2022-11-09T02:19:39Z,2022-11-09T02:19:39Z,6,29,9,,2,0
99,2022-11-09T13:54:03Z,2022-11-10T16:12:29Z,2022-11-10T16:12:29Z,2,142,0,"Integrate AI21 /complete API into langchain, to allow access to Jurassic models.",2,2
102,2022-11-09T18:25:13Z,2022-11-09T21:23:17Z,2022-11-09T21:23:17Z,2,2,1,"change requirements.txt to fix Issue #101
update .gitignore to support VSCode dev environment",2,0
103,2022-11-09T19:37:58Z,2022-11-10T04:45:30Z,2022-11-10T04:45:30Z,4,118,16,"This PR is for Issue #88

 make format
 make lint
 make tests",2,1
105,2022-11-09T20:07:48Z,2022-11-09T21:44:27Z,2022-11-09T21:44:27Z,3,101,1,Add support for cohere embeddings,2,0
106,2022-11-09T20:24:17Z,2022-11-09T21:26:58Z,2022-11-09T21:26:58Z,2,5,1,"This fixes Issue #104
The tests for HF Embeddings is skipped because of the segfault issue mentioned there. Perhaps, a new issue should be created for that?",2,0
113,2022-11-10T07:11:04Z,2022-11-10T15:53:45Z,2022-11-10T15:53:46Z,2,1,9,i dont think either of these variables are used?,2,0
119,2022-11-11T23:03:28Z,2022-11-21T00:23:58Z,2022-11-21T00:23:58Z,7,146,15,"this will break atm but wanted to get thoughts on implementation.

should add() be on docstore interface?
should InMemoryDocstore change to take a list of documents as init? (makes this slightly easier to implement in FAISS -- if we think it is less clean then could expose a method to get the number of documents currently in the dict, and perform the logic of creating the necessary dictionary in the FAISS.add_texts method.",3,0
125,2022-11-12T22:30:26Z,2022-11-27T08:25:00Z,2022-11-27T08:25:00Z,7,148,4,"Main design q is whether this should be consolidated with HuggingFaceEmbeddings, could be confusing to have 2 separate huggingface embedings classes. Will add unit tests and docs once that's decided.
Closes #86",2,0
127,2022-11-13T18:25:41Z,2022-11-13T21:15:30Z,2022-11-13T21:15:30Z,3,25,0,"This is a simple proof of concept of using external files as templates.
I'm still feeling my way around the codebase.
As a user, I want to use files as prompts, so it will be easier to manage and test prompts.
The future direction is to use a template engine, most likely Mako.",2,0
128,2022-11-13T20:05:35Z,2022-11-13T21:16:19Z,2022-11-13T21:16:19Z,2,6,10,Fix a few typos and wrapped f-strings,2,0
135,2022-11-14T07:24:47Z,2022-11-14T16:34:02Z,2022-11-14T16:34:02Z,15,51,59,"fixes the Jupyter environment variable issues mentioned in issue #134
fixes format/lint issues in some unrelated files (from make format/lint)",2,1
