number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
79,2018-11-14T09:30:55Z,2018-11-14T11:35:16Z,2018-11-14T11:35:16Z,1,163,171,,2,0
142,2020-04-10T15:12:35Z,,2020-11-10T11:23:46Z,1,10,3,This is in reference to this issue where I proposed for adding top 3 category. This PR is specific to the JavaScript Engines section however I will add these feature to the other sections as well if you agree.,3,0
184,2021-10-17T16:36:19Z,2021-10-18T11:30:11Z,2021-10-18T11:30:11Z,1,5,1,"Leonardo Maldonado,
Kindly review the PR, though there is a minor addition to the video links.
This is my first PR for Hacktoberfest. Please guide if this is as per the requirements.",2,0
224,2022-07-30T07:17:02Z,2023-10-06T16:57:10Z,2023-10-06T16:57:10Z,1,1,0,"The article from digital ocean 'Dealing With Objects in JavaScript With Object.assign, Object.keys, and hasOwnProperty' returned a 404 status error. So the external link was being updated with a new link to the same page.",3,0
285,2022-10-14T06:20:34Z,2023-10-02T12:15:36Z,2023-10-02T12:15:36Z,1,1,0,,3,0
288,2022-10-15T07:16:54Z,,2022-11-09T17:07:24Z,1,0,0,added a code of conduct file in English,2,0
290,2022-10-15T14:05:31Z,,2022-10-20T12:27:52Z,1,70,69,Add Bengali or Bangla Translation of this Repository - resolve #289 - Modified README.md file.,2,5
291,2022-10-16T18:15:16Z,,2022-11-03T10:46:33Z,1,10,2,,2,5
293,2022-10-18T09:51:45Z,,2022-12-05T16:43:07Z,1,3,2,,3,1
332,2023-05-24T09:32:37Z,2023-06-20T11:25:34Z,2023-06-20T11:25:34Z,1,13,14,Fixed gramatical errors and made some minor improvements to ensure clarity and consistency.,3,0
334,2023-06-12T15:01:37Z,,2023-06-20T11:25:10Z,1,1,0,,3,0
364,2023-10-01T13:49:23Z,,2023-10-25T10:55:35Z,1,3,0,"This link redirect to the 15 JavaScript concepts that every JavaScript Programmer must know.
HactoberFest 🔥🔥",3,2
