number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2745,2016-10-20T15:39:34Z,2016-10-20T19:03:13Z,2016-10-20T19:03:13Z,2,6,6,,2,5
2794,2016-11-06T22:55:50Z,2016-11-07T00:43:26Z,2016-11-07T00:43:26Z,2,15,3,"This is WIP for issue #723
Added tests for both pick and omit.
Implemented for _.pick at the moment.
Would like some guidance / ideas on how to implement it for _.omit.
the 'cloneDeepWith' suggestion on issue #723 will not work because it miss the prototype's properties.",2,2
2849,2016-11-24T20:09:28Z,2016-11-24T21:12:14Z,2016-11-24T21:12:14Z,1,1,1,Fixes #2848,3,3
2932,2017-01-13T18:51:25Z,2017-01-16T00:27:42Z,2017-01-16T00:27:43Z,85,85,16,"Would this be helpful?
We can add more of these if this is approved.
This could really help people discover functions in Lodash, that they didn't know about before.",2,8
2986,2017-02-09T10:58:22Z,2017-02-09T16:19:32Z,2017-02-09T16:19:32Z,1,5,5,👍,3,2
2987,2017-02-09T12:40:14Z,,2017-02-09T16:18:21Z,3,3,3,"It's a style matter, but reasonable to use parentheses when you use function body.
So use var => fn(var) or (var) => {  fn(var) }, what do you think?",3,5
2996,2017-02-11T16:24:13Z,2017-02-11T19:42:20Z,2017-02-11T19:42:20Z,1,1,1,"isSymbol.js#L20
When isKey function checks types, isSymbol function checks type of value.",3,2
3264,2017-07-16T22:16:42Z,2017-07-17T01:11:00Z,2017-07-17T01:11:00Z,1,1,1,"""that accepts"" -> ""that it accepts""",3,4
3308,2017-08-08T19:42:34Z,,2017-08-10T14:30:35Z,1,1,2,Checking the 0th position of the string should be quicker than a regular expression,3,3
3332,2017-08-23T15:43:53Z,,2017-08-23T16:52:19Z,1,1,1,"This PR extend sorting
Now available only lower case sorting 'asc' || 'desc'
And after this PR will be  'asc' || 'desc' || 'ASC' || 'DESC'
Actual Result
 const users = [
    { 'user': 'fred',   'age': 48 },
    { 'user': 'barney', 'age': 34 },
    { 'user': 'fred',   'age': 40 },
    { 'user': 'barney', 'age': 36 }
  ]
  // Sort by `user` in ascending order and by `age` in descending order.
 _.orderBy(users, ['user', 'age'], ['asc', 'desc'])
 // => objects for [['barney', 36], ['barney', 34], ['fred', 48], ['fred', 40]]


Now will we can use
  // Sort by `user` in ascending order and by `age` in descending order.
 _.orderBy(users, ['user', 'age'], ['ASC', 'DESC'])
 // => objects for [['barney', 36], ['barney', 34], ['fred', 48], ['fred', 40]]",4,2
3417,2017-10-09T15:26:55Z,,2017-10-09T16:36:30Z,1,4,1,Even if func is object it will pass the if condition. So i guess we need to explicitly check whether func is present and  it is a function.,3,2
3465,2017-11-01T22:24:22Z,,2017-11-02T17:49:53Z,1,8,3,"Recently we got several complains from our users about process crash due to OutOfMemory error. We've figured out, that the leak happens when one truncates a long string and passes it to the logger. More details here appium/appium#9543
And this Chromium bug report contains more detailed description of what is happening under the hood.
So, since we use _.truncate method to perform strings truncation, it might be a good idea to incorporate the fix/workaround here as well, so other module users don't suffer from this problem anymore.",7,17
3479,2017-11-07T06:13:40Z,2017-11-07T14:28:18Z,2017-11-07T14:28:18Z,1,2,1,"New version is constantly faster both in Firefox Nightly and Chromium Nightly: https://jsfiddle.net/dzym8svy/
Some projects call this function very often and performance hit can be significant in that case.",4,2
