number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2,2019-05-06T23:33:59Z,2019-05-09T15:53:16Z,2019-05-09T15:53:16Z,1,1,1,Just a few typos I noticed while reading through the ReadMe.,4,1
9,2019-05-07T03:37:11Z,2019-05-09T15:57:30Z,2019-05-09T15:57:30Z,1,1,1,,3,1
201,2019-09-05T18:47:24Z,2019-09-06T17:02:33Z,2019-09-06T17:02:33Z,2,26,26,"Update the links in the backlog documentation

PR Checklist

 CLA signed.
 I've discussed this with core contributors already.",2,0
240,2019-09-06T11:54:46Z,,2019-09-06T17:18:45Z,1,1,1,Fixed a typo,3,1
242,2019-09-06T13:09:15Z,,2019-09-06T17:19:45Z,1,1,1,"Typos

Summary of the Pull Request
 
References

PR Checklist

 Closes #xxx
 CLA signed. If not, go over here and sign the CLA
 Tests added/passed
 Requires documentation to be updated
 I've discussed this with core contributors already. If not checked, I'm ready to accept this work might be rejected in favor of a different grand plan. Issue number where discussion took place: #xxx


Detailed Description of the Pull Request / Additional comments

Validation Steps Performed",3,1
251,2019-09-06T14:16:20Z,,2019-09-06T17:23:06Z,1,1,1,"Summary of the Pull Request
Fix a typo in README.md
References
None",3,1
258,2019-09-06T15:18:56Z,2019-09-06T17:42:58Z,2019-09-06T17:42:58Z,1,5,5,"Minor typos and more concise language.

Summary of the Pull Request
More concise language and fixed typos.
 
References
No other ref.

PR Checklist

 Closes #xxx
 CLA signed. If not, go over here and sign the CLA
 Tests added/passed
 Requires documentation to be updated
 I've discussed this with core contributors already. If not checked, I'm ready to accept this work might be rejected in favor of a different grand plan. Issue number where discussion took place: #xxx


Detailed Description of the Pull Request / Additional comments

Validation Steps Performed
Used spellchecking software",3,1
273,2019-09-06T21:01:28Z,2019-09-09T16:19:17Z,2019-09-09T16:19:17Z,3,19,33,"Summary of the Pull Request
This PR changes the installer to use an advertised shortcut. It also enables the MSI Customize dialog, so that as we add more features to the MSI, the user can choose to install or not install the new features.
PR Checklist

 Closes #182
 CLA signed.
 I've discussed this with core contributors already. Issue number where discussion took place: #182.

Validation Steps Performed
Build the PR, and run the installer. I have tested initial installation, uninstallation, Customize and Repair (from Apps & Features in Windows), as well as shortcut self-healing.",2,4
280,2019-09-06T23:38:59Z,2019-09-09T11:47:19Z,2019-09-09T11:47:19Z,10,35,64,"Very minor code cleanup relating to HTML/JS/TS: add and remove empty lines where appropriate, replace double quotes in JS with single quotes, adjust vertical alignment, space out React lifecycle functions and move the opening curly braces to the same line as the function name.",4,4
318,2019-09-09T08:59:01Z,2019-09-09T13:13:22Z,2019-09-09T13:13:22Z,3,1,1,"Summary of the Pull Request


 I've discussed this with core contributors already.


Detailed Description of the Pull Request / Additional comments
Update the CI pipeline settings to use Visual Studio 2019.
Move the CI pipeline files from the build/ folder to the .pipelines/ci folder.

Validation Steps Performed
Tested on Azure.",2,0
323,2019-09-09T15:11:26Z,2019-11-15T23:28:19Z,2019-11-15T23:28:19Z,1,0,0,"Summary of the Pull Request
Added Hi-res logo (4k PNG)
 
References

PR Checklist

 Closes #xxx
 CLA signed. If not, go over here and sign the CLA
 Tests added/passed
 Requires documentation to be updated
 I've discussed this with core contributors already. If not checked, I'm ready to accept this work might be rejected in favor of a different grand plan. Issue number where discussion took place: #xxx


Detailed Description of the Pull Request / Additional comments
I've added a 4k logo since the one in the repo is a super-compressed .jpg

Validation Steps Performed
/",2,1
327,2019-09-09T16:41:44Z,2019-09-13T16:07:16Z,2019-09-13T16:07:16Z,4,34,4,"Summary of the Pull Request
This PR changes the license dialog to display the license, but not require the user to agree to it, as pointed out in #298. I also took the opportunity to edit the license RTF to use the Segoe UI font, rather than the ugly-looking Courier.
PR Checklist

 Closes #298
 CLA signed
 I've discussed this with core contributors already. If not checked, I'm ready to accept this work might be rejected in favor of a different grand plan. Issue number where discussion took place: #298

Detailed Description of the Pull Request / Additional comments
The PTLicenseDlg.wxs file was copied and modified from WiX3. I assume that since the PTInstallDirDlg has the same license header, that this is OK.
Validation Steps Performed
Build the installer, run the installer. Observe the license page.",3,5
