number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
60,2017-05-12T18:27:51Z,,2017-05-13T09:52:13Z,1,1,1,,4,2
111,2017-07-12T17:57:23Z,,2017-09-12T11:18:22Z,1,2,2,…ts-node up to ~3.2.0 from ^2.0.0,4,4
120,2017-07-23T09:37:31Z,2017-09-12T11:12:53Z,2017-09-12T11:12:53Z,285,19530,1010,"async components & providers & factories & middlewares,
guards feature,
pipes & filters for microservices & websockets,
e2e testing utilities, better unit test utils",8,16
123,2017-07-26T15:12:28Z,,2017-09-12T11:16:54Z,1,2,2,From '...could not resolves...' to '...could not resolve...',4,3
137,2017-08-20T12:51:22Z,,2017-09-12T11:16:11Z,1,2,0,Add some starters,4,6
202,2017-10-23T03:56:58Z,,2017-10-31T12:06:53Z,16,11872,23,"This PR will use lerna for managing the monorepo. This addresses #68. I have mapped the npm publish command to lerna publish, so there should not be much difference.
Important note: I have mapped lerna to src. I don't have a valid build command on the current repo, so change the property in lerna.json to whatever the build directory is.",5,10
207,2017-10-25T18:26:15Z,2017-10-30T19:54:20Z,2017-10-30T19:54:20Z,1,1,1,Small fix. This typo occurs on https://docs.nestjs.com as well.,4,3
225,2017-11-02T19:11:25Z,2017-11-03T14:33:06Z,2017-11-03T14:33:06Z,48,203,221,,3,4
240,2017-11-11T19:28:11Z,2017-11-22T19:19:19Z,2017-11-22T19:19:19Z,0,0,0,"This PR allows creating and using custom decorators in controller's routes (methods).
No breaking changes. Test coverage.
Usage:
create your decorator somewhere in your project
// decorators/user-param.decorator.ts

import { createRouteParamDecorator } from '@nestjs/common';

export const User = createRouteParamDecorator((data, req) => req['user']);
in your controller
// controller.ts

import { Controller, Get } from '@nestjs/common';
import { User } from './decorators/user-param.decorator'; // import decorator

@Controller()
export class UserController {
  @Get()
  async getUser(@User() user) { // use your decorator
    return user;
  }
}",4,5
246,2017-11-14T22:29:36Z,2017-11-19T19:01:26Z,2017-11-19T19:01:26Z,1,46,0,,4,5
