number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
44,2016-12-08T06:49:53Z,,2016-12-08T20:14:42Z,4,28,27,"Solution for #43.  Added an option so that you can have your files located somewhere other the root of your project.
const { resolve } = require('path')

module.exports = {
  srcDir: resolve('./src'),
  head: {
    title: 'nuxt',
    meta: [
      { charset: 'utf-8' },
      { name: 'viewport', content: 'width=device-width, initial-scale=1' },
      { hid: 'description', content: ""Nuxt.js project"" }
    ],
    link: [
      { rel: 'icon', type: 'image/x-icon', href: 'favicon.ico' }
    ]
  },
  css: ['~assets/main.css']
}
Now you can move all your files to a src folder:",3,4
279,2017-02-18T01:17:27Z,,2017-03-01T12:54:03Z,2,2,10,"This refers to #25 and will allow you to use CDN's like cloudfront by setting the build.publicPath, it will also allow you to use nuxt with platforms like cordova because in dev mode you need to point to the full internal ip path like http://${host}:${port}/_nuxt/ to run on emulators or connected devices.",4,5
456,2017-03-26T15:01:30Z,2017-04-06T10:33:29Z,2017-04-06T10:33:29Z,4,5,5,Fix for using for exapmle Axios promises in nuxtServerInit() without wrapping it to HTML5 Promise,7,7
854,2017-06-07T17:07:07Z,,2017-06-16T19:40:50Z,6,18,16,"Release notes: https://github.com/webpack/webpack/releases
(Some improvements inspired by https://jsmantra.com/faster-leaner-and-better-next-js-ea40afb94907)",4,3
914,2017-06-17T11:55:59Z,,2017-07-29T01:09:35Z,6,44,9,"This adds a full feature of typescript.
The idea is adding a new flag in build config, to rename the app .js files to .ts and update all the webpack entry.
Should fix: #800 , #262, #653",5,6
1025,2017-07-03T18:00:55Z,,2017-07-09T09:40:52Z,19,4656,3,"I want to be able to set headers on the webpack dev server, and use other options from the devServer config header to adjust how the dev middleware behaves.  #762 is solved by this mechanism (I think, anyway).",3,2
1136,2017-07-21T23:45:13Z,2017-07-22T13:06:31Z,2017-07-22T13:06:31Z,3,7,2,Belongs to issue #375 (comment),4,16
1221,2017-07-31T03:49:55Z,2017-08-01T15:45:02Z,2017-08-01T15:45:02Z,3,4,1,"add chunk in nuxt.config.js to config webpack chunk file name

build: {
   filenames: {
     app: 'app.[chunkhash].js',
     // this is the new introduced config
     chunk: 'chunk[id].[chunkhash].js'
   }
}",4,2
1447,2017-08-22T22:52:58Z,2017-08-24T13:49:11Z,2017-08-24T13:49:11Z,7,90,12,Resolves #1288,5,3
1491,2017-08-27T01:22:07Z,2017-08-27T21:13:59Z,2017-08-27T21:14:00Z,1,3,3,"The nuxt loading component uses the css class progress which is pretty generic. It was conflicting with a css framework I was using and causing style issues (top margin added by framework).
Since this is a pretty common class name in many css frameworks (eg bootstrap), I think it would cause less issues for users if it was renamed.
Pretty trivial, but a good first PR!",5,3
1517,2017-08-29T12:23:04Z,2017-08-29T15:55:29Z,2017-08-29T15:55:29Z,1,1,1,"When compiling with babel as middleware the scrollBehavior function was transpiling in
incorrect way. Double function function
fixes #1516",5,2
1531,2017-08-30T09:33:51Z,2017-08-30T10:38:19Z,2017-08-30T10:38:19Z,2,1,2,,5,3
1539,2017-08-31T03:03:35Z,2017-08-31T06:27:53Z,2017-08-31T06:27:53Z,1,1,1,,4,2
1586,2017-09-06T02:54:56Z,2017-09-07T11:37:51Z,2017-09-07T11:37:51Z,1,3,0,"Provide the ability to modify resources before use. eg: set runtime publicPath
__webpack_require__.p = window.__NUXT__ && window.__NUXT__.publicPath || `${defaultPublicPath}`
const publicPath = `${runtimePublicPath}`

nuxt.renderer.plugin('resourcesLoaded', function (resources) {
  resources.clientManifest.publicPath = publicPath

  const serverBundle = resources.serverBundle.files['server-bundle.js']
  resources.serverBundle.files['server-bundle.js'] = serverBundle.replace(/__webpack_require__\.p = ""[^""]+""/, `__webpack_require__.p = ""${publicPath}""`)
})

nuxt.renderer.plugin('ready', function (renderer) {
  const originRenderToString = renderer.bundleRenderer.renderToString
  renderer.bundleRenderer.renderToString = function (context) {
    return originRenderToString.apply(this, arguments).then((d) => {
      context.nuxt.publicPath = publicPath
      return d
    })
  }
})",5,2
1620,2017-09-08T17:14:38Z,2017-09-12T11:36:53Z,2017-09-12T11:36:53Z,15,219,4,This PR introduces layout transitions (#1519). It would be great to get some feedback/input to get them sorted.,7,19
1673,2017-09-17T10:12:53Z,2017-09-17T18:23:18Z,2017-09-17T18:23:18Z,1,6,4,"Hi, it seems that error handler is prone to errors itself :)
This happens if it receives an exception with a readonly message as DOMException for example.
Thanks for the maintainers .",3,1
1723,2017-09-24T10:42:30Z,2017-09-25T08:24:30Z,2017-09-25T08:24:30Z,4,15,14,,4,1
1757,2017-09-29T10:24:52Z,2017-10-13T08:18:37Z,2017-10-13T08:18:37Z,2,35,34,ref: vuejs/vue-loader#971,3,2
1784,2017-10-05T03:26:37Z,,2018-01-05T11:57:55Z,8,94,2,"Requires one change to include a new mode option of 'ssr' which does
only SSR, no universal app (i.e. no inserted script tags).
AMP example that has required head elements, style/noscript tags, etc.
to pass validation.
Fixes #878

Notes:
The most controversial/needs-discussion change required to fully pass the AMP validator was the addition of a new mode value for nuxt.config.js of ssr, which when detected prevents the insertion of any <script> tags into the body of the rendered page.
In order to allow re-using the exact same Nuxt.js routes for both AMP and non-AMP uses, it may be more useful to have that calculation performed during SSR (e.g. passing a query flag to the URL ""http://mysites/dogs?amp=true"", etc). I'm new to the Nuxt.js codebase, and didn't see an obvious way to support that in lib/core/renderer.js so I'm happy to dive into that if folks would like.
Thanks, and happy #hacktoberfest!",4,5
1787,2017-10-05T14:06:43Z,,2017-10-09T09:27:04Z,1,1,2,Added some comments,4,1
1840,2017-10-13T03:52:17Z,2017-10-13T08:32:10Z,2017-10-13T08:32:10Z,1,11,3,"Adds --version flag support (with alias -v) for the nuxt binary; will always output version from package.json and exit with status 0. This is in the default command, nuxt-dev.
Addresses issue #1839.",3,2
1846,2017-10-13T12:24:37Z,2017-10-27T09:49:43Z,2017-10-27T09:49:43Z,1,6,3,,4,5
1874,2017-10-17T01:59:12Z,,2017-10-20T09:20:06Z,1,6,0,"Related to : #1793
There are situations where data might need to be redacted from generated html.  By adding a configuration property to the generate option we can allow the user to configure a function that has access to modify the context prior to serialization.
generate: {
    nuxtContextHook: function(context) { return context.nuxt.myAppVersion = '1.1.0'; }
  }",4,2
1890,2017-10-19T08:58:50Z,2017-10-23T08:36:57Z,2017-10-23T08:36:57Z,5,73,30,,4,6
1891,2017-10-19T09:26:07Z,2017-10-20T07:26:57Z,2017-10-20T07:26:57Z,3,9,13,,3,1
1892,2017-10-19T09:42:17Z,2017-10-20T07:27:30Z,2017-10-20T07:27:30Z,2,4,2,"Open message will be show before building completed, how you think to put below codes into server.js ?
nuxt.showOpen = () => {
    console.log('\n' + chalk.bgGreen.black(' OPEN ') + chalk.green(` http://${_host}:${port}\n`))
}",3,1
