number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
561,2016-10-03T04:35:00Z,2016-10-07T08:35:34Z,2016-10-07T08:35:34Z,3,37,1,"This detects when ag suggests the -Q option, and adds it.",4,6
563,2016-10-05T16:06:58Z,2017-03-13T12:39:24Z,2017-03-13T12:39:24Z,60,174,173,,4,23
613,2017-03-14T23:02:43Z,,2021-07-29T20:13:18Z,1,1,1,,5,4
657,2017-06-05T21:31:02Z,2017-06-19T21:12:47Z,2017-06-19T21:12:47Z,3,15,9,"This changed in git v2.13.1, see
gitster/git@6c48686#diff-081cf476dd9ac3b05c183570de47cb23",3,2
703,2017-10-05T17:15:05Z,2017-10-15T15:30:29Z,2017-10-15T15:30:29Z,3,52,0,This will probably fix #652,3,5
706,2017-10-08T23:36:10Z,2017-10-09T16:47:14Z,2017-10-09T16:47:14Z,2,10,6,"Do not require git in the script
Replace the first single occurrence of delete",3,1
722,2017-10-31T16:58:18Z,2017-11-01T13:42:53Z,2017-11-01T13:42:53Z,2,14,4,"git version 2.15.0 has updated wording that we need to account for.
See git/git@2a5aa82",2,1
729,2017-11-07T01:13:54Z,2017-11-09T23:42:23Z,2017-11-09T23:42:24Z,3,68,0,Closes #728,2,1
751,2017-12-31T16:06:22Z,2018-01-02T00:45:46Z,2018-01-02T00:45:46Z,2,12,4,@josephfrazier this should cover all of the corner cases for #745,2,1
752,2017-12-31T23:58:42Z,2018-01-01T17:53:35Z,2018-01-01T17:53:35Z,1,1,1,"TO DO:

 Wait to the next year (100% done, depends on timezone)
 Merge!",2,2
753,2018-01-01T14:58:17Z,2018-01-03T04:14:02Z,2018-01-03T04:14:02Z,2,28,7,This should fix #727.,4,5
760,2018-01-02T23:18:06Z,2018-01-04T16:40:02Z,2018-01-04T16:40:02Z,2,48,35,This should fix #600.,3,3
763,2018-01-03T22:24:06Z,2018-01-05T21:25:08Z,2018-01-05T21:25:09Z,2,18,10,"This fixes #762.
Once again, shell.quote does not seem appropriate - since it creates a quoted string which neither the shell nor git can comprehend.
I wonder whether a new function is required to translate these instances, since I suspect git also allows for double-quotes (and probably other bizarre characters) in branch names.",3,1
764,2018-01-03T22:43:57Z,2018-01-05T21:24:44Z,2018-01-05T21:24:44Z,3,37,0,Added proposal for feature request #664 (I use this a lot at work!).,3,0
765,2018-01-03T23:54:23Z,2018-01-05T21:20:03Z,2018-01-05T21:20:03Z,3,96,0,New feature; fix misspelled Android ADB commands.,3,0
770,2018-01-08T21:31:16Z,2018-01-10T20:31:39Z,2018-01-10T20:31:39Z,1,6,0,misc/thefuck has recently been committed to the FreeBSD ports tree (https://svnweb.freebsd.org/ports?view=revision&revision=458123).,3,1
773,2018-01-14T22:11:19Z,2018-01-17T01:03:56Z,2018-01-17T01:03:57Z,3,38,0,"From https://git-scm.com/docs/merge-options#merge-options---allow-unrelated-histories

By default, git merge command refuses to merge histories that do not
share a common ancestor. This option can be used to override this safety
when merging histories of two projects that started their lives
independently.",2,0
778,2018-01-25T17:35:15Z,2018-01-29T07:46:19Z,2018-01-29T07:46:19Z,2,10,4,Fixes #776.,3,2
794,2018-03-22T17:53:06Z,2018-04-01T20:25:10Z,2018-04-01T20:25:10Z,1,53,43,Reworded several sentences and paragraphs for clarity and concision. All original information was maintained.,4,5
812,2018-05-09T23:36:20Z,2018-05-11T09:36:25Z,2018-05-11T09:36:25Z,1,5,0,,3,2
814,2018-05-12T12:25:53Z,2018-05-13T13:28:39Z,2018-05-13T13:28:39Z,1,4,4,,3,1
823,2018-07-07T09:41:23Z,2018-07-09T22:51:43Z,2018-07-09T22:51:43Z,3,40,0,"Examples
$ cat /etc
cat: /etc: Is a directory
$ fuck
ls /etc  [enter/↑/↓/ctrl+c]
*snip*
$ cat tests
cat: tests: Is a directory
$ fuck
ls tests [enter/↑/↓/ctrl+c]
*snip*",4,10
826,2018-07-10T21:06:57Z,,2018-07-10T22:42:15Z,3,67,16,See #823 (comment) and following comments.,2,7
849,2018-10-13T05:34:30Z,,2023-09-06T02:38:33Z,1,1,1,"--yeah is in the version. I also added --you for debug, because if I'm debugging thefuck, then fuck --you the fuck :)",3,1
868,2018-12-26T21:32:13Z,2019-01-04T19:35:28Z,2019-01-04T19:35:28Z,1,3,2,,3,3
870,2019-01-02T10:03:40Z,2019-01-04T19:54:04Z,2019-01-04T19:54:05Z,2,4,3,"This prevents initialisation and consequentially a recursive loop.
Fix #869
Ref oh-my-fish/plugin-thefuck#11",2,0
877,2019-01-16T23:30:04Z,2019-01-19T23:24:09Z,2019-01-19T23:24:09Z,2,4,3,This way it's ensured that whatever is used as cache key is always ordered. Sets are unordered collections.,2,0
886,2019-02-23T23:19:45Z,2019-02-25T22:24:17Z,2019-02-25T22:24:17Z,3,37,0,"If you git commit but decide that you want to revert back to the last commit, the fuck will help you roll back to the last commit.",4,1
892,2019-03-26T10:28:53Z,,2019-12-23T06:35:22Z,3,43,0,Add rule and tests for command 'bc' (basic calculator).,2,0
