number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
281,2015-07-21T08:25:05Z,,2018-06-11T09:28:19Z,9,1791,0,"This is a continuation of #135 updated to latest imgui master

Standalone samples that require no GLFW / GL3W
Works on Windows and OSX
Support for High DPI Displays",5,10
883,2016-10-22T09:43:23Z,,2016-11-12T20:07:34Z,7,66,57,,6,14
1017,2017-02-11T11:23:11Z,2017-05-01T13:27:40Z,2017-05-01T13:27:40Z,1,5,4,,3,1
1775,2018-04-25T15:49:32Z,2018-04-26T07:51:46Z,2018-04-26T07:51:46Z,1,6,6,A couple of additional static analyzer fixes.,2,3
1961,2018-07-22T21:07:13Z,,2019-09-20T13:49:16Z,1,5,2,"Use an un-flipped coordinate system in the window (Y increasing from top to bottom).
Tell OSX we want mouseMoved and mouseDragged events.
Pass mouseMoved and mouseDragged events to imgui handler.",4,5
2002,2018-08-04T14:14:00Z,,2018-08-28T14:10:23Z,4,67,22,"This is not ready to merge yet, but I'm opening this PR so we can discuss changes related to #2001.
For now I've only added the glad backend for glfw+opengl3. I believe sdl+opengl3 will be the only other example needing a custom OpenGL loader.
I'll start with gl3w/glad/glew for now, as they are the more popular. Then we may add other loaders from this list, but honestly I'm not sure which one are popular enough so they should be added outside of this 3.",2,3
2032,2018-08-19T21:04:26Z,,2023-04-07T15:31:17Z,5,515,0,"I've been using different flavors of Gtk3 bindings on Desktop/Linux so that I can have some level of integration with the window manager (i.e client side decoration on Wayland, retina displays, etc...).
I figured somebody might want to reuse that, so here is a PR that reuses the existing OpenGL3 rendering implementation and just sets up the window system through GTK+.
The makefile only supports Linux but I'm pretty sure someone could add support for MacOS/Windows in a few lines (unfortunately I don't have such systems).",4,16
2112,2018-10-03T23:28:53Z,2018-10-07T16:14:25Z,2018-10-07T16:14:25Z,1,4,4,"I'm using an OpenGL binding that is quite strict about type safety (glbinding) and does not allow comparisons between GLints and GLbooleans. The OpenGL 3 example wouldn't compile before changing the status variable (in CheckShader/``CheckProgram) to a GLboolean`.
Since this is a trivial fix I'm not including the error log for now, however if you have any doubts or would like more detailed information I can provide a full log.",4,6
2289,2019-01-16T19:01:44Z,,2019-01-17T05:03:15Z,1,2,0,"Already explained in the issue #2288.
Fixes for Direct3D 9.
Need to have a look at Direct3D 10 and 11 now.",2,3
2347,2019-02-13T23:11:30Z,,2019-02-14T19:30:34Z,4,47,23,"Adds an optional parameter to Selectable that allows clients to specify the text alignment within the Selectable, and adds a section in the demo to demonstrate text alignment support:

In terms of implementation, this is extremely simple: Selectable was already calling an API that supports text alignment, but had hard-coded it to top-left. This adds a text_align parameter on the Selectable function and just passes that straight through to RenderTextClipped instead of the hard-coded (0, 0). Backwards-compatibility is preserved by defaulting the text_align parameter to (0, 0), i.e., top-left.
A video of the demo in action:

Works on #1260",2,10
