number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
1,2022-05-31T21:06:15Z,2022-06-03T00:05:29Z,2022-06-03T00:05:29Z,28,61151,11,,2,0
2,2022-06-09T21:29:18Z,2022-06-10T00:32:27Z,2022-06-10T00:32:27Z,1,1,1,"Nit - fix link in Readme.
I tested it locally in VSCode, link now works.",3,1
3,2022-06-10T00:46:56Z,2022-06-10T02:08:07Z,2022-06-10T02:08:08Z,1,3,3,,2,0
26,2022-10-20T22:47:29Z,2022-10-27T00:50:50Z,2022-10-27T00:50:50Z,5,2950,0,"I've made two examples of transaction classification using GPT-3, one with multiclass classification and one using clustering on an unlabelled dataset.
I've also included the source dataset used in the multiclass classification notebook, plus a set of labelled examples I made based on it.
I added a .gitignore to the repo as well",2,0
36,2022-11-18T17:29:15Z,2022-12-12T19:24:06Z,2022-12-12T19:24:06Z,1,1,1,Fixing issue encountered when using this in some contexts (like virtual environments in notebooks). @sorinsuciu-msft FYI,2,0
40,2022-12-10T00:18:14Z,2022-12-12T19:22:42Z,2022-12-12T19:22:42Z,1,3,3,,2,0
46,2022-12-23T20:30:48Z,2023-01-09T00:07:43Z,2023-01-09T00:07:43Z,1,1,1,"fd181ec updated what was previously two different get_embedding() calls w/ different models to be two identical calls. Rather than doing the same API call twice in a row, we can now just set the second variable to be equal to the first one.",2,1
47,2022-12-23T20:46:49Z,,2023-01-10T18:47:20Z,1,2,1,"The github UI doesn't allow you to horizontally scroll code blocks, and this one is too long to display even with a maximized window.
Let's line-wrap the comment for readability.",3,2
50,2022-12-27T08:57:09Z,2023-01-14T03:57:21Z,2023-01-14T03:57:21Z,3,355,55,"Updated api_versions to 2022-12-01 (GA)
Added completions notebook
Adjusted fine-tuning and embedding example",3,2
54,2023-01-04T03:00:25Z,2023-01-09T00:06:09Z,2023-01-09T00:06:09Z,1,0,7,,2,0
56,2023-01-05T09:56:40Z,2023-02-06T17:20:01Z,2023-02-06T17:20:01Z,3,905,0,This PR contains a notebook running through an example of using our embeddings to embed Simple Wikipedia and then indexing and searching it in both Weaviate and Pinecone.,5,5
81,2023-01-18T10:24:09Z,2023-01-19T17:37:38Z,2023-01-19T17:37:38Z,2,318,1,"I added Qdrant vector database to the notebook using the same approach as you did for Pinecone and Weaviate. Due to some rate limits and other issues, I could not create the embeddings for all the documents so it may require relaunching. However, all the required logic is already in place, with a corresponding docker-compose.yaml file to run Qdrant in a container.",2,1
84,2023-01-19T02:23:26Z,2023-01-19T18:32:00Z,2023-01-19T18:32:00Z,1,278,0,,2,3
93,2023-01-29T16:56:39Z,2023-02-05T18:51:14Z,2023-02-05T18:51:14Z,1,1,1,,3,1
97,2023-01-30T15:10:22Z,2023-02-09T10:35:42Z,2023-02-09T10:35:42Z,7,1981,93,,4,4
