number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
41,2021-10-29T19:15:23Z,2021-10-29T22:39:36Z,2021-10-29T22:39:36Z,1,1,1,"Before:
export BUN_INSTALL=""/Users/mike/.bun
After:
export BUN_INSTALL=""/Users/mike/.bun""
P.s. Thank you for bun, I'm PSYCHED! 🚀",3,0
65,2021-11-11T19:02:36Z,2021-11-24T00:35:46Z,2021-11-24T00:35:46Z,14,1960,193,"Add typed polyfills for URL & TextEncoded/Decoder
Add prettier to root
Adds some boilerplate for executing actions on GH
Adds Next & Typescript as DevDeps for bun-framework-next (Next remains a peer dependency as well)
Consolidate empty files / references to a single empty.js",2,5
76,2021-12-12T02:39:34Z,,2023-07-31T13:39:26Z,2,37,0,"As discussed in the discord, this PR adds experimental Nix support via a default.nix file and a small note in the README. While this is great and all, it still leaves many unanswered questions:

Should we be building from source instead? (Currently unfeasible for multiple reasons, but good long term)
How should we handle updating versions?

Should we just use the latest version at all times?
Should use/update check-sums?
As mentioned in the discord by @Jarred-Sumner

There have been a couple cases where I had to re-upload the version after some build issue
so it might make sense to forgo the checksum for now


Should we dynamically update the default.zig file upon each new release with the Makefile?


Should we provide more detailed instructions on how to install with Nix?
When is the right time to submit to nixpkgs?
How should we handle configuring Bun's cache directory?

and the list goes on.
There are definitely a few things that should be fixed here, this is a decent starting point to build upon.",8,7
124,2022-03-09T18:09:42Z,,2023-03-29T21:10:34Z,1,48,0,"Update using bun with an existing CRA instructions in README to include a few caveats I ran into.
https://discord.com/channels/876711213126520882/887787428973281300/951179760988459048",6,3
141,2022-04-12T19:30:13Z,2022-04-14T02:08:57Z,2022-04-14T02:08:57Z,2,18,5,,2,0
150,2022-04-19T06:05:24Z,,2023-07-31T13:39:26Z,1,359,535,"Refactoring the code and adding improvements
Autocomplete for --define flag

Reads the environment variables and autocomplete them in json format
Autocomplete the environment variable
process.env.NODE_ENV


Autocomplete for --load flag
Auto complete file extensions with valid loaders

Fixed bug when autocompleting recent packages
Previously, when adding multiple packages in the same command, the autocomplete did not work well.
bun add react vite esbuild nanoid
Before:

After:
Segmentation in

recent
popular


Autocomplete for remove command
Segmentation in

Dependencies
Dev Dependencies
Optional Dependencies
Peer Dependencies


Segmentation for the run command
Segmentation in

files
binaries
scripts",3,6
184,2022-05-29T13:28:15Z,,2022-05-30T10:52:11Z,1,2,1,"This commit adds the bun dev step in creating a new Next.js app example in the README
fixes: #183",2,3
189,2022-06-15T07:15:52Z,2022-07-11T23:20:10Z,2022-07-11T23:20:10Z,1,1,1,Just a small typo fix,2,0
203,2022-07-05T15:26:50Z,2022-07-05T16:26:59Z,2022-07-05T16:26:59Z,11,310,0,,2,0
221,2022-07-06T01:49:45Z,,2022-07-13T21:10:15Z,1,3,7,"fix #210
remove useless nodes (and duplicated by id)",3,2
228,2022-07-06T03:24:32Z,2022-07-06T11:12:45Z,2022-07-06T11:12:45Z,1,3,0,Add Bun logo at the top of README,3,2
264,2022-07-06T13:40:36Z,2022-07-07T05:03:07Z,2022-07-07T05:03:07Z,1,1,1,"Just a very simple fix for an issue I noticed on the landing page where a space was not applying to the text:
Before

After",2,0
274,2022-07-06T17:12:29Z,2022-07-07T09:46:32Z,2022-07-07T09:46:32Z,1,1,1,occurences -> occurrences,3,0
280,2022-07-06T18:40:37Z,2022-07-14T18:20:43Z,2022-07-14T18:20:43Z,3,6,6,"Congratulations on the launch, much excited for this project.
Fixed a punctuation on home page.",5,6
281,2022-07-06T18:43:34Z,,2022-07-08T01:56:45Z,1,3,3,,6,0
289,2022-07-06T19:34:06Z,2022-07-08T09:32:55Z,2022-07-08T09:32:55Z,3,18,0,I created this simple template when people want to start from scratch so that they at least have package.json,6,4
305,2022-07-06T21:53:34Z,2022-07-08T01:36:41Z,2022-07-08T01:36:41Z,1,28,0,"This adds the ""Unzip is required"" section to the ReadMe. This section is linked when the installation of bun is failing and unzip is not installed. There are instructions for a variety of Linux distributions (shamelessly stolen from https://www.tecmint.com/install-zip-and-unzip-in-linux/). After applying this the link in the installation process will scroll down the page to that section as intended:
https://github.com/MoritzLoewenstein/bun#unzip-is-required",4,0
324,2022-07-07T03:31:35Z,,2022-07-08T19:59:29Z,10,167,81,fix: add the favicon. fixes #262,5,4
330,2022-07-07T05:34:10Z,2022-07-08T13:13:50Z,2022-07-08T13:13:50Z,2,106,115,"This PR improves the following potential accessibility pitfalls on the site:

Adds lang=""en"" to <html> which helps screenreaders correctly identify the site's language.
Adds a <ul> element to the navbar so their children <li>s have valid semantic meaning.
Removes <li> elements from benchmarks tabbar as ARIA requires the tablist role's direct children to have tabitem roles, making them redundant and potentially harmful to screenreaders. This also inadvertently fixes a regression with some missing selection styling introduced by #225.
Adjusts the text color of tag links to better contrast against their respective backgrounds.
Refactors InstallBox to not use IDs since it's used multiple times for mobile/desktop, resulting in invalid (well, more unorthodox) HTML, that could behave strangely.
Removes the unselectable class repetition from CodeBox and just slaps a user-select: none; on it's base element to simplify things CSS-wise.
Iterates over the copy button to ensure that all instances get the listener (unsure if this is required since mobile removes hides the second potential instance.)",3,5
342,2022-07-07T09:33:33Z,,2022-07-07T11:36:55Z,1,3,3,"Corrected the use and spelling of  ""builtin"" to ""built-in"", then corrected its use to ""inbuilt"". I also added the link to the JavaScript Core documentation by Apple to the appropriate anchor text. All these changes aim to improve the overall readability of the documentation.",3,0
346,2022-07-07T10:03:52Z,2022-07-11T22:36:51Z,2022-07-11T22:36:51Z,1,3,0,Mentions AVX2 and Intel SDE in the README.md as mentioned in #181.,5,0
367,2022-07-07T15:28:16Z,2022-07-07T18:52:27Z,2022-07-07T18:52:27Z,1,13,21,"fix #226

Before:

After:",3,1
