number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
36,2017-07-11T03:56:03Z,2017-07-11T14:07:37Z,2017-07-11T14:07:37Z,1,4,0,,2,0
37,2017-07-12T23:53:49Z,2017-07-13T03:41:54Z,2017-07-13T03:41:54Z,1,1,0,,2,0
38,2017-07-13T09:37:03Z,2017-07-14T00:41:40Z,2017-07-14T00:41:40Z,1,1,0,,2,0
56,2018-04-17T04:09:04Z,2018-04-17T15:36:03Z,2018-04-17T15:36:03Z,1,1,0,,1,0
61,2018-04-19T06:10:23Z,2018-04-20T04:17:17Z,2018-04-20T04:17:17Z,1,4,0,"Full title: ""Vue 2 + Firebase: How to build a Vue app with Firebase authentication system in 15 minutes""",1,0
67,2018-04-20T14:28:10Z,2018-04-27T17:25:36Z,2018-04-27T17:25:36Z,1,2,1,"Add link to the official site of the Handmade Hero video game creation video tutorial series to the C++ OpenGL subsection.
Sort C++ OpenGL subsection tutorials alphabetically.",2,0
69,2018-04-21T09:53:13Z,2018-04-21T18:36:37Z,2018-04-21T18:36:37Z,1,3,0,,2,0
70,2018-04-21T18:50:39Z,2018-04-22T00:50:01Z,2018-04-22T00:50:01Z,1,1,0,,2,0
71,2018-04-22T07:51:45Z,2018-04-24T18:59:37Z,2018-04-24T18:59:37Z,1,10,0,,2,1
72,2018-04-25T16:54:43Z,2018-04-26T21:39:59Z,2018-04-26T21:39:59Z,1,6,0,,2,0
73,2018-04-29T05:39:21Z,2018-04-30T10:33:04Z,2018-04-30T10:33:04Z,1,6,0,,2,0
75,2018-05-09T09:59:37Z,2018-06-14T15:34:39Z,2018-06-14T15:34:39Z,1,17,6,"Add additional sub-section in C/C++ section about network programming.
Move ""Let's Code a TCP/IP Stack"" tutorial series in it.
Add series of tutorials about writing concurrent servers by Eli Bendersky.",2,2
77,2018-05-23T07:30:00Z,2018-05-24T19:47:44Z,2018-05-24T19:47:44Z,1,6,0,,2,1
79,2018-05-25T07:49:16Z,2018-05-27T23:16:00Z,2018-05-27T23:16:00Z,1,5,0,,2,1
81,2018-05-27T18:07:34Z,2018-05-27T23:17:54Z,2018-05-27T23:17:54Z,1,1,0,Add tutorial about writing a Tetris game by Javier López.,2,0
82,2018-05-27T18:08:07Z,2018-05-30T04:11:35Z,2018-05-30T04:11:35Z,1,1,0,Add tutorial about writing of a high performance matrix multiplication in C++ by Jean Guegant.,2,0
84,2018-05-28T19:43:39Z,2018-06-03T19:33:21Z,2018-06-03T19:33:21Z,1,1,0,,1,0
85,2018-05-29T13:28:33Z,2018-06-03T19:32:58Z,2018-06-03T19:32:58Z,1,5,1,,2,1
110,2018-08-30T07:53:43Z,2018-09-09T07:01:29Z,2018-09-09T07:01:29Z,1,5,0,Add Erlang and one tutorial,2,0
116,2018-09-22T07:37:56Z,2018-09-25T03:52:30Z,2018-09-25T03:52:30Z,1,1,0,How to create an OS from scratch : https://github.com/cfenollosa/os-tutorial,2,0
119,2018-10-04T02:46:24Z,2018-10-07T08:02:58Z,2018-10-07T08:02:58Z,1,1,0,"Added Hack Club Workshops!
Hack Club Workshops are a collection of workshops written by an international open-source student non-profit. It contains a series of guides and tutorials for students to start learning to build or to code via creating various projects.",2,0
131,2018-10-25T15:38:35Z,2018-10-28T03:40:58Z,2018-10-28T03:40:58Z,1,1,0,Added an intuitive Python based ML tutorial that I've referred to in the past.,2,0
141,2018-11-05T00:43:52Z,2021-08-28T05:42:32Z,2021-08-28T05:42:32Z,1,1,1,"Rewrote introduction paragraph in the README.md file to increase conciseness and remove ambiguities.
Description
Changed ""learners"" to ""aspiring software developers"". ""Learners"" might be confusing.
Motivation and Context


How Has This Been Tested?



Types of changes


 Content Update (change which fixes an issue or updates an already existing submission)
 New Article (change which adds functionality)
 Documentation change

Checklist:



 My code follows the code style of this project.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have made checks to ensure URLs and other resources are valid",2,0
177,2019-09-19T11:02:16Z,,2021-08-26T10:08:34Z,1,4,0,"Description

Motivation and Context


How Has This Been Tested?



Types of changes


 Content Update (change which fixes an issue or updates an already existing submission)
 New Article (change which adds functionality)
 Documentation change

Checklist:



 My code follows the code style of this project.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have made checks to ensure URLs and other resources are valid",3,1
178,2019-09-25T20:13:29Z,2020-02-18T19:18:45Z,2020-02-18T19:18:45Z,1,1,0,"Description

Motivation and Context


How Has This Been Tested?



Types of changes


 Content Update (change which fixes an issue or updates an already existing submission)
 New Article (change which adds functionality)
 Documentation change

Checklist:



 My code follows the code style of this project.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have made checks to ensure URLs and other resources are valid",2,0
182,2019-10-06T16:31:11Z,2019-10-14T15:15:07Z,2019-10-14T15:15:07Z,1,5,0,"Description

Added F# section and a tutorial which learns how to write a simple Excel in 100 lines of F#
Motivation and Context


F# was not on the list. Now it is.
How Has This Been Tested?



Test what?
Types of changes


 Content Update (change which fixes an issue or updates an already existing submission)
 New Article (change which adds functionality)
 Documentation change

Checklist:



 My code follows the code style of this project.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have made checks to ensure URLs and other resources are valid",2,0
183,2019-10-10T04:54:03Z,2019-10-12T02:07:44Z,2019-10-12T02:07:44Z,1,3,1,"Description

I was going to add a good Angular 8 tutorial that uses firebase and several design components, but I noticed that the tutorial was included under the Angular 6 version. Since that entry was submitted, the tutorial has been updated to Angular 8 and a second edition has been released.
Motivation and Context


Issue #28 was addressed
How Has This Been Tested?



I checked the links to make sure they linked to the proper pages
Types of changes


[ x] Content Update (change which fixes an issue or updates an already existing submission)
[ x] New Article (change which adds functionality)
 Documentation change

Checklist:



[ x] My code follows the code style of this project.
[ x] I have updated the documentation accordingly.
[ x] I have read the CONTRIBUTING document.
[ x] I have made checks to ensure URLs and other resources are valid",3,0
184,2019-10-10T06:45:32Z,2019-10-11T20:17:48Z,2019-10-11T20:17:48Z,1,1,0,"Description
Added a beginner-friendly Ruby tutorial - a step-by-step walkthrough on how to build a Rails application that lets users post information about sharks and their behavior.",2,0
186,2019-10-13T04:38:24Z,,2021-08-26T08:36:39Z,1,1,0,"Description

I add tutorial to make game in c++
Motivation and Context

this to make game in c++

How Has This Been Tested?

I haven't tested before but I see the tutorial is good


Types of changes


 Content Update (change which fixes an issue or updates an already existing submission)
 New Article (change which adds functionality)
 Documentation change

Checklist:



 My code follows the code style of this project.
 I have updated the documentation accordingly.
 I have read the CONTRIBUTING document.
 I have made checks to ensure URLs and other resources are valid",3,1
