number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
17,2017-06-19T21:43:22Z,2017-06-19T22:58:31Z,2017-06-19T22:58:31Z,3,14,4,R: @aslushnikov,2,1
23,2017-06-19T23:50:38Z,,2017-07-11T23:43:43Z,3,897,88,"this is the launcher module from lighthouse that we maintain.
https://www.npmjs.com/package/chrome-launcher
it defaults to an open port
addresses #21",4,4
24,2017-06-20T01:04:02Z,2017-06-20T21:54:54Z,2017-06-20T21:54:54Z,6,59,81,Need your help debugging tests!,3,2
25,2017-06-20T02:17:49Z,2017-06-20T18:32:21Z,2017-06-20T18:32:21Z,1,49,28,"R: @aslushnikov
Just some cleanup and added links. Nothing much yet.",2,0
29,2017-06-20T22:29:42Z,2017-06-21T00:04:25Z,2017-06-21T00:04:25Z,3,606,5,"Mostly molded after lighthouse's travis config, but I've left out the xvfb setup we have, as puppeteer is designed for the headless case. And the phantom tests tests pass in headless (and fail in xvfb).
A few annoying lint errors right now in master.
But the jasmine tests all fail on travis. Unclear why..",3,0
32,2017-06-20T23:58:00Z,2017-06-21T20:44:12Z,2017-06-21T20:44:12Z,2,103,11,,2,1
37,2017-06-21T21:33:17Z,,2017-07-18T01:57:50Z,3,1439,32,,2,1
38,2017-06-23T00:53:27Z,2017-06-28T21:39:37Z,2017-06-28T21:39:37Z,5,203,28,"Changes network idle promise to wait for 2 or fewer network requests for at least idleTime (defaults to 5s) before resolving.
Add timer cleanup to failure navigation case.
Add handling of webSocketClosed.
Ignore unrecognized requestIds to avoid negative inflight requests.
Fixes default options for Navigator to allow 0",3,7
45,2017-06-27T22:50:02Z,2017-06-28T01:27:23Z,2017-06-28T01:27:23Z,4,139,0,"#43
Adds
.click(selector)
.focus(selector)
.type(text)",2,0
46,2017-06-28T00:08:16Z,2017-06-28T05:02:46Z,2017-06-28T05:02:46Z,4,106,0,This patch adds a test to verify the fancy networkidle logic in navigator.,2,0
47,2017-06-28T02:34:01Z,2017-07-07T16:36:45Z,2017-07-07T16:36:45Z,11,1715,61,"Documentation Linter
This is a work-in-progress patch that implements documentation linter.
How it works
The linter works by parsing the lib/ folder with esprima, parsing docs/api.md with markdown-parser, and making sure that classes defined in the lib/ are getting described in the docs/api.md.
The linter describes a bunch of jasmine tests in lint.js.
It could be run via jasmine test/doclint/lint.js
Challenges

It turned out to be difficult to find a nice markdown parser that doesn't pull in a whole universe as a dependency. The currently-used chjj/marked is a compromise: it hasn't been updated for a while and doesn't yield token positions in text.

Room for improvement

 the ESTreeWalker.js is taken from devtools front-end and should be moved under third_party
or substituted with some zero-dependency estree walker. Note though that ESTreeWalker.js walks nodes in the same order as they appear in text
 method arguments are not getting checked
 we should check for table-of-contents to be up-to-date (and ideally being able to generate it; probably requires a separate script with --fix argument)
 it would be nice to ckeck that methodы have consistent and up-to-date argument description
 events should be linted as well

References #14.",4,10
58,2017-07-07T20:36:04Z,,2017-07-12T22:17:05Z,28,1428,468,,9,4
59,2017-07-07T20:49:37Z,2017-07-07T22:39:03Z,2017-07-07T22:39:03Z,4,104,0,Bug: #42,3,0
61,2017-07-08T00:54:01Z,2017-07-10T18:21:47Z,2017-07-10T18:21:47Z,8,75,8,#54,3,0
62,2017-07-08T02:14:27Z,2017-07-10T17:09:59Z,2017-07-10T17:09:59Z,3,67,2,#50,2,0
69,2017-07-11T00:00:07Z,,2017-07-21T21:16:03Z,6,177,20,"I don't think this is going to be the final API, but it's a start. #40",3,2
70,2017-07-11T18:03:31Z,2017-07-11T23:27:46Z,2017-07-11T23:27:46Z,1,11,0,"This is meant more to start a conversation about how to ""market"" puppeteer more. The readme is pretty thorough but it doesn't feel apparent to a first-time reader why they should use Puppeteer.  Right now, it's mostly focused on why someone might migrate from Phantom to Puppeteer but I think there's a large swath of Javascript developers who aren't familiar with Phantom (even though they might be pulling it in as an indirect npm module).
What do you think?",2,0
72,2017-07-11T22:38:04Z,2017-07-18T01:13:04Z,2017-07-18T01:13:04Z,9,1430,41,,2,0
73,2017-07-12T00:51:09Z,2017-07-12T04:52:09Z,2017-07-12T04:52:09Z,1,2,5,,2,0
74,2017-07-12T19:27:55Z,2017-07-18T01:49:53Z,2017-07-18T01:49:53Z,11,576,38,"I haven't looked over the patch yet, but what do you think of the API?",2,3
75,2017-07-12T22:23:10Z,2017-07-18T01:56:56Z,2017-07-18T01:56:56Z,8,158,9,This version of the patch uses document.querySelector instead of DOM.querySelector,4,5
94,2017-07-18T19:09:35Z,2017-07-19T01:54:25Z,2017-07-19T01:54:25Z,5,74,35,,2,0
98,2017-07-19T22:28:55Z,2017-07-22T03:00:09Z,2017-07-22T03:00:09Z,4,31,66,This leaves type and press on the page.,2,0
101,2017-07-21T21:15:47Z,2017-07-22T03:29:31Z,2017-07-22T03:29:31Z,17,458,55,#40,2,1
123,2017-07-25T07:32:52Z,2017-07-26T00:03:14Z,2017-07-26T00:03:14Z,1,9,3,#122,2,1
125,2017-07-25T08:27:38Z,2017-07-25T18:37:46Z,2017-07-25T18:37:46Z,3,109,34,"Closes #113
addScriptTag
focus
injectFile
title",2,1
128,2017-07-25T18:59:28Z,2017-07-25T21:30:05Z,2017-07-25T21:30:05Z,3,88,357,,3,0
135,2017-07-25T23:27:39Z,2017-07-27T19:23:42Z,2017-07-27T19:23:42Z,6,62,36,closes #118,4,1
141,2017-07-26T09:18:07Z,2017-07-26T18:48:41Z,2017-07-26T18:48:41Z,1,1,1,"Method names could be symbol or number, and then startsWith would throw.",2,2
160,2017-07-28T00:04:18Z,2017-07-28T18:45:05Z,2017-07-28T18:45:05Z,2,25,3,"This prints events when debugging, and ensures that events are fired and listened for in the tests.
closes #50",2,0
162,2017-07-28T17:17:58Z,2017-07-28T18:48:41Z,2017-07-28T18:48:41Z,1,3,3,"slashes were the wrong direction, so the test failed on windows.",2,0
171,2017-07-31T17:09:40Z,2017-08-01T01:18:16Z,2017-08-01T01:18:16Z,3,27,5,"Closes #156
This lets you easily simulate a long press of a key or mouse press, or a user typing at a normal speed.",4,0
172,2017-07-31T17:41:11Z,2017-07-31T19:05:46Z,2017-07-31T19:05:46Z,3,19,3,"Repeat works a little bit different than I thought it did. When you hold down a key, it sends multiple keydown and input events, but no keyup. This patch automatically sets repeat to the right value.
Closes #157",2,0
173,2017-07-31T20:55:03Z,2017-08-01T01:47:57Z,2017-08-01T01:47:57Z,5,22,8,Throttles the protocol to run tests in slow mode.,3,4
174,2017-07-31T23:37:32Z,,2017-08-01T22:19:58Z,5,153,10,,4,1
176,2017-08-01T06:52:19Z,,2017-08-01T19:14:39Z,4,96,30,"This patch implements Page.setIgnoreHTTPSErrors method.
Fixes #84.",2,4
181,2017-08-02T01:07:39Z,2017-08-02T17:45:12Z,2017-08-02T17:45:12Z,5,148,0,#179,4,1
184,2017-08-02T08:51:50Z,,2017-08-08T06:06:53Z,3,119,60,References #121,2,1
186,2017-08-02T17:38:31Z,2017-08-02T20:24:35Z,2017-08-02T20:24:35Z,1,33,24,"If the evaluation is not awaited for, then the page might be
closed before it's finished, and an exception will be thrown.",2,0
187,2017-08-02T18:30:50Z,2017-08-02T20:12:45Z,2017-08-02T20:12:45Z,3,6,9,"This revision includes @pavelfeldman upstream changes to make dialogs
work in headless.
References #13",4,3
189,2017-08-02T19:11:30Z,2017-08-02T22:02:42Z,2017-08-02T22:02:42Z,2,4,2,This fixes the comments @a1ph on #181 about JSDOC.,2,0
190,2017-08-02T19:20:52Z,2017-08-02T22:03:27Z,2017-08-02T22:03:27Z,10,191,198,#178,2,0
192,2017-08-02T21:26:38Z,2017-08-02T22:41:05Z,2017-08-02T22:41:05Z,3,19,17,,2,0
196,2017-08-03T17:51:51Z,2017-08-03T20:37:21Z,2017-08-03T20:37:21Z,3,166,9,"This patch adds sanity tests to make sure Page.pdf() produces
sane results.
Fixes #166.",2,1
197,2017-08-03T18:20:02Z,2017-08-03T20:35:32Z,2017-08-03T20:35:32Z,4,19,155,"The current implementation of page.$ and page.$$ conflicts with
the elemnts handle implementation.
This patch removes functions in favor of future implementation.
References #111.",2,0
204,2017-08-04T02:00:21Z,,2017-08-09T01:30:43Z,7,230,193,"What do you think?
closes #111",2,3
209,2017-08-04T06:01:51Z,2017-08-04T07:23:04Z,2017-08-04T07:23:04Z,1,1,1,,2,0
