number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
36,2016-09-15T22:55:49Z,2016-09-27T21:55:04Z,2016-09-27T21:55:04Z,13,576,64,,5,7
44,2016-09-21T01:26:33Z,2016-09-30T20:23:43Z,2016-09-30T20:23:43Z,5,246,108,RFC: here's what the dataloader looks like to support multiprocess the way we discussed. It's a tad ugly. There might be a better way to deal with the multiprocess coordination and cleanup on exit.,5,0
52,2016-09-25T19:39:12Z,2016-09-26T00:21:14Z,2016-09-26T00:21:14Z,8,77,81,"Prior to this change, there was a circular reference between Leaf and
Variable. This means that the objects (and referenced Tensors) are not
collected as soon as they go out of scope, which lead to higher memory
usage and out-of-memory errors.
This is basically what @apaszke and I discussed on Friday, but now Variable no longer extends Function. This makes more sense to me, since it a Variable isn't a Function, and shouldn't have all the methods Function provides. Instead they both provide a few common functions/field (_do_backward, previous_functions)",3,0
58,2016-09-27T00:04:06Z,2016-09-28T01:12:02Z,2016-09-28T01:12:02Z,0,0,0,Do not merge. This PR is only for review and test purposes.,4,0
61,2016-09-28T04:14:03Z,2016-09-28T15:58:00Z,2016-09-28T15:58:00Z,7,39,24,fixes #60,2,0
62,2016-09-28T17:42:33Z,,2016-09-29T16:36:16Z,13,279,7,"Do not merge. This PR is only for review and test purposes.
This change depends on the upcoming changes to torch.cuda (right now tests and ffi utils always import and use this module).
Example:
# build_ext.py
import glob
from torch.utils.ffi import compile_extension
compile_extension('ext.my_lib', 'src/exported_api.h', glob('src/*.c'))
# main.py
import torch
from ext import my_lib
my_lib.my_fn(torch.randn(5, 5))",3,2
64,2016-09-28T20:49:56Z,2016-09-28T23:29:53Z,2016-09-28T23:29:53Z,20,170,157,"The torch.cuda package can now be loaded even if the pytorch installation isn't build with CUDA support. This is particularly useful for packages that work with CUDA and non-CUDA, because you can do proper Python type checking (isinstance(tensor, torch.cuda.FloatTensor)).",2,3
71,2016-09-29T20:34:10Z,2016-09-30T18:04:53Z,2016-09-30T18:04:53Z,7,62,56,,2,0
78,2016-09-30T23:42:09Z,2016-10-14T21:44:11Z,2016-10-14T21:44:11Z,6,376,3,,2,0
79,2016-10-01T19:13:38Z,2016-10-01T23:32:55Z,2016-10-01T23:32:55Z,4,44,70,"Adds the optional ""device"" keyword argument to Tensor and Storage
constructors and .new methods.",3,1
90,2016-10-01T22:41:17Z,2016-10-02T01:18:53Z,2016-10-02T01:18:53Z,4,56,21,"modules(): returns an iterator over all modules in the network
children(): returns an iterator over immediate children
Also fix getitem in Sequential",3,0
99,2016-10-04T18:56:18Z,2016-10-05T01:11:42Z,2016-10-05T01:11:42Z,12,479,17,"save all data in little endian order
allow to remap storage locations at load time
add parameter_dict() method that returns all model parameters in a dict (using dot notation as keys)

Do not merge. This PR is only for review and test purposes.",3,0
105,2016-10-05T17:47:43Z,2016-10-06T21:12:58Z,2016-10-06T21:12:58Z,7,137,48,Do not merge. This PR is only for review and test purposes.,3,1
106,2016-10-05T21:07:47Z,2016-10-06T19:59:12Z,2016-10-06T19:59:12Z,6,43,27,,2,1
110,2016-10-07T19:17:21Z,2016-10-07T21:56:22Z,2016-10-07T21:56:22Z,1,7,8,Fixes #109,2,0
115,2016-10-11T18:51:20Z,2016-10-14T00:19:26Z,2016-10-14T00:19:26Z,28,1513,233,This is a huge modification to autograd. All core functions and types are moved to C (however they can still be used in python using the same interface - see BasicEngine). This improves RNN training speed on Penn Treebank more than 2x (and can actually saturate a GPU with a small RNN during backward).,3,0
116,2016-10-11T21:40:59Z,,2016-12-20T10:55:26Z,33,2073,20,"TODOs:

 spmm
 sspmm
 spadd
 Transpose
 Concat?
 Narrow and other reshaping ops?",4,4
129,2016-10-17T04:29:14Z,2016-10-24T19:00:02Z,2016-10-24T19:00:03Z,15,1422,17,,3,8
133,2016-10-17T19:33:46Z,2016-10-18T16:15:57Z,2016-10-18T16:15:57Z,9,347,1,,3,2
135,2016-10-17T22:02:52Z,2016-10-22T03:54:16Z,2016-10-22T03:54:16Z,4,222,182,"The multi-process data loader now preserves the order of the sampler. So if the sampler and dataset are deterministic, the loader is deterministic too.
cc @adamlerer, @apaszke",3,3
136,2016-10-18T03:39:24Z,2016-10-18T21:34:20Z,2016-10-18T21:34:20Z,3,51,18,"For example:
  self.linear = nn.Linear(10, 20)
  self.weight = torch.autograd.Variable(torch.Tensor(10, 20))
I did not add logic for assigning Tensors to _buffers -- not sure if it's worth it.
Fixes #89",2,2
137,2016-10-18T16:13:18Z,2016-10-18T21:27:11Z,2016-10-18T21:27:11Z,2,6,5,,2,0
161,2016-10-24T08:45:25Z,2016-10-24T21:16:46Z,2016-10-24T21:16:46Z,19,205,90,"python2.7 compatibility and cffi version checks in torch.utils.ffi (#156, #157)
platform checks in torch.cuda (failed on macOS)
don't build nccl on macOS
bugs in torch.legacy.nn
.train() and .evaluate() for modules and containers
0-based random (#123)
stateless functions no longer print ""type type doesn't implement stateless methods"" when a method resolution fails
added torch.from_numpy (#159)
fixed clang warnings
tests are now deterministic (#125)
added tensor values buffering when constructing CUDA tensors from sequences (#158)
show exponent when printing vectors (#147)",5,3
167,2016-10-25T16:17:52Z,2016-10-26T23:51:48Z,2016-10-26T23:51:48Z,24,1112,160,"The Python ctypes bindings overhead was high enough that it slowed down
multi-gpu training when using 4+ Maxwell GPUs.",4,5
169,2016-10-25T20:28:02Z,2016-10-25T22:19:33Z,2016-10-25T22:19:33Z,1,7,4,,2,0
170,2016-10-26T13:31:50Z,2016-10-27T20:31:36Z,2016-10-27T20:31:36Z,7,59,15,"After this change assigning Variables as attributes doesn't add them as parameters. To do so, one needs to create them as torch.nn.Parameter instances.",3,0
177,2016-10-28T18:49:02Z,2016-10-31T21:47:10Z,2016-10-31T21:47:10Z,19,273,119,"Also, implement variable.no_grad() that returns a new variable with the same data, but with requires_grad == False (#166).",4,3
179,2016-10-28T22:25:45Z,2016-10-31T16:12:22Z,2016-10-31T16:12:22Z,10,207,232,"I changed the semantics of THPTensor_(New)(THTensor *ptr) slightly to simplify error handling in calling code. Previously, the function ""stole"" the reference to ptr on success but left the refcount unchanged on error. Now the refcount is decremented when NULL is returned.",2,0
180,2016-10-28T22:32:25Z,2016-10-31T16:12:29Z,2016-10-31T16:12:29Z,3,31,14,,2,0
185,2016-10-31T13:51:18Z,,2016-11-01T19:55:12Z,2,19,14,"@soumith, here are the changes I made to get ccache working with nvcc:

Install ccache 3.3
Create a nvcc ccache symlink (/usr/local/lib64/ccache/nvcc -> ../../bin/ccache)
Set the environment variables CUDA_TOOLKIT_ROOT_DIR=/usr/local/cuda/ and CUDA_NVCC_EXECUTABLE=/usr/local/lib64/ccache/nvcc",3,1
192,2016-11-01T12:25:27Z,2016-11-01T18:31:53Z,2016-11-01T18:31:53Z,5,60,28,"Fix segfaults when deserializing variables (#188)
Improve Parameter's __repr__ (#182)
Accept file paths in torch.save and torch.load (#190)
Fix a bug in criterion's backward (#184).",3,0
194,2016-11-01T22:20:49Z,2016-11-02T14:25:58Z,2016-11-02T14:25:58Z,2,71,70,"adds CUDA multiple types for almost all torch.* functions.
Only things missing now are LAPACK and Random.
Progress being tracked here: torch/cutorch#529
Fixes #186",2,0
195,2016-11-02T08:25:29Z,2016-11-02T23:36:10Z,2016-11-02T23:36:10Z,4,56,19,Fixes #153.,3,1
196,2016-11-02T15:19:00Z,2016-11-07T21:50:56Z,2016-11-07T21:50:56Z,14,614,23,The tests check convergence on the Rosenbrock function and compare steps with legacy implementations. (#175),4,2
197,2016-11-02T19:28:18Z,2016-11-02T22:50:56Z,2016-11-02T22:50:56Z,9,3744,3727,"This should make TensorMethods.cwrap more readable.
Syntax is inspired from https://github.com/claylo/yaml-include",3,4
198,2016-11-02T20:37:46Z,2016-11-02T21:44:36Z,2016-11-02T21:44:36Z,4,30,11,"You can test this by adding the following at the top of
test_multiprocessing.py:
  if __name__ == '__main__':
     import multiprocessing
     multiprocessing.set_start_method('spawn')",2,3
200,2016-11-03T15:34:15Z,2016-11-03T20:29:14Z,2016-11-03T20:29:14Z,5,110,58,"The __getstate__ and __setstate__ functions are called from copy.copy as
well as pickling. The source code inspection currently slows down the
data parallel code because it makes a copy of the object every
iteration.",3,0
