number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
25,2010-11-11T22:43:05Z,,2024-03-06T12:27:10Z,3,70,6,"Although the work to use the zsets order in the sort command works for the basic case.  I had a need to be able to use the full capabilities of the ZRANGEBYSCORE and ZREVRANGEBYSCORE commands while fetching associated keys.
I basically exposed the lookupKeyByPattern and createSortOperation commands from sort.c and reused the same based code as sort.c within the genericZrangebyscore function.  I also added a few simple test cases that basically match the sort GET test cases.",1,0
654,2012-08-30T07:08:32Z,,2024-03-06T11:03:36Z,1,55,44,"I can't split the commits into two pull requests, so put them in a single one.
What the first commit does:
Insert the timer event in sorted order, so it's O(1) to get
the nearest timer. Insert and delete a timer is O(N).

And the second:
When system time changes back, the timer will not worker properly
hence some core functionality of redis will stop working(e.g. replication,
bgsave, etc). 

The patch saves the previous time and when a system clock skew is detected,
it will force expire all timers.

See issue #633 for details of the second commit.",4,7
803,2012-12-01T12:19:42Z,,2021-06-01T06:25:32Z,2,58,1,"It's now possible to use ~ or environmental variables like $HOME in
the config file (where appropriate).",3,4
1339,2013-10-21T21:53:57Z,,2021-06-30T12:18:49Z,2,24,9,"Using accept4 on linux lets us skip the two calls to fcntl() to set a socket as non-blocking. This saves two system calls on linux. A corresponding issue was filed at #1332.
A few other reasons to justify this change (as pointed by @moreaki):
http://article.gmane.org/gmane.linux.kernel/758201
http://lwn.net/Articles/281965/
http://udrepper.livejournal.com/20407.html
http://danwalsh.livejournal.com/53603.html
Accept4 was in Linux 2.6.28 (Dec 2008) and support in GLIBC is available starting with version 2.10 (May 2009). We could also add support for older GLIBC versions if the maintainers think it would be useful.",4,5
1482,2013-12-25T13:10:12Z,,2024-03-12T11:10:57Z,1,30,10,"Hi, this is a demo of concept, use code to discuss the concept.
When we have content need to be written to TCP buffer, instead of

register AE_WRITABLE event
get notified that the TCP buffer has space
write the buffer
deregister‎ AE_WRITABLE event

We can first try 3, if all the content get copied to TCP buffer, then we save at least 2 system calls. If not, follow the original path.
Benchmark shows, even under heavy load of redis-benchmark, the latter happens rarely. So, most of the time, we can save two system call(two epoll_ctl on linux, which is O(n)), and less latency, since we do not need to wait until the next round, aeProcessEvents get called.
Only commands handing modified, we may need to modify replication logic too.
With this patch, /src/redis-benchmark -t get -n 500000 can get 2%-3% faster.
You can see from a profile without the patch, epoll_ctl cost ~8%  of the CPU time.",2,0
1690,2014-04-15T18:51:52Z,2020-08-12T14:58:57Z,2020-08-12T14:58:57Z,8,306,0,"This is a Linux-specific feature, sorry, but it's still a useful one.
When Linux runs out of memory the kernel's OOM killer chooses which processes are going to be killed based on various parameters.  By tuning the oom_score_adj parameter (in /proc), it's possible to hint the kernel what processes should be killed first.
The oom-score-adj configuration parameter allows Redis processes to tune their own oom_score_adj value depending on their current state/role and thus implement policies such as:

Kill bgsave/bgrewriteaof childs before anything else
Kill slaves before masters",5,6
1727,2014-05-07T13:42:02Z,,2024-03-01T04:37:29Z,6,40,25,"We use redis to store raw, unaggregated data in our database.
The database is snapshotted every night before aggregation, and kept for 30 days. So the algorithm can be re-run on old data if a bug is discovered in the algorithm.
When loading old dumps we encountered the problem that the ttls of those keys have already expired, and we ended up with an empty database.
This parameter option allows one to disable ttl checking in these cases.",5,6
1973,2014-08-28T13:15:02Z,,2023-11-29T15:07:11Z,2,4,4,,2,0
2046,2014-10-06T14:37:21Z,,2022-04-07T09:39:27Z,2,16,9,"Don't change dirty or notify for a change when we set the same bit twice with setbit.
setbit should work like sadd which also doesn't mark anything dirty or send any notification when nothing changes.",3,2
2080,2014-10-20T01:12:54Z,2021-06-30T13:46:06Z,2021-06-30T13:46:07Z,1,1,1,Adds call to intrev16ifbe to ensure ZIPLIST_LENGTH is compared correctly,4,4
