number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
61,2017-06-17T05:22:19Z,2017-06-18T14:12:20Z,2017-06-18T14:12:20Z,1,14,14,,2,0
67,2018-02-20T02:43:53Z,2018-02-20T15:32:32Z,2018-02-20T15:32:32Z,1,1,1,,2,0
73,2018-03-06T15:33:00Z,2018-05-22T18:50:56Z,2018-05-22T18:50:56Z,4,21,26,"I’m not 100% sure on the wording for errorsn.rs but it kind of sounds understandable? Feel free to apply your native speaker super powers. :)
I also took the liberty to update the links to the second edition of the book.
Fixes #64",1,0
93,2018-10-11T08:56:19Z,2018-10-11T12:04:08Z,2018-10-11T12:04:08Z,1,5,2,,1,2
102,2018-11-26T15:50:30Z,2018-11-26T21:35:55Z,2018-11-26T21:35:55Z,13,26,4,"Sub READMEs contain the relevant resources from the main
README of the web version. All second edition Rust Book links
were updated to the 2018 edition.
Fixed to typos in main README.md.",1,0
106,2019-01-10T00:26:09Z,2019-01-23T21:04:02Z,2019-01-23T21:04:02Z,75,541,586,"this replaces old rustlings with a cli-based version that runs on the same exercises

 finish up readme
 improve exercise structure (add little ""test exercises"" after a couple of chapters)
 go over every book link and update it
 refactor that one us-centric exercise",4,0
112,2019-01-29T20:20:10Z,2019-01-29T22:49:41Z,2019-01-29T22:49:41Z,2,0,0,Two readme files where badly spelled.,2,1
115,2019-02-17T05:05:29Z,2019-02-17T11:38:40Z,2019-02-17T11:38:40Z,1,1,0,Add missing entrypoint.,2,0
119,2019-03-13T14:29:18Z,2019-03-17T12:27:48Z,2019-03-17T12:27:49Z,1,15,1,,2,0
120,2019-03-13T20:54:50Z,2019-03-16T11:54:10Z,2019-03-16T11:54:10Z,2,19,6,"When in watch mode, it's a pain to have to wait for all previous exercises to compile before the one you just saved compiles...so now it skips compiling any files up and to the one most recently saved.",3,0
123,2019-03-17T02:18:07Z,2019-03-17T21:28:04Z,2019-03-17T21:28:04Z,1,9,0,"Before, rustlings would panic if it wasn't in the right directory. It
took me a minute to figure out why, and this wasn't my first intro to
Rust. It would probably help new users if they saw a helpful message
instead of a stack trace.",2,2
124,2019-03-17T02:23:21Z,2019-03-17T12:19:58Z,2019-03-17T12:19:58Z,1,1,1,,2,0
131,2019-03-20T11:20:18Z,2019-03-20T20:22:05Z,2019-03-20T20:22:05Z,1,52,0,"This addresses issue #128.
I would have liked to write some tests for the vercomp function I
introduce, but there doesn't seem to be any CI setup yet?",2,1
133,2019-03-23T20:20:53Z,2019-03-24T14:44:35Z,2019-03-24T14:44:35Z,43,0,0,Many of the source files under /exercises were executable.,2,1
143,2019-04-11T23:12:09Z,2019-04-13T16:39:07Z,2019-04-13T16:39:07Z,6,161,128,"This PR should fix #126. The main solution to the issue was using canonicalize() on the paths we create for the exercises from info.toml and any user-specified paths, so that path ends_with matching will work correctly.
As adding calls to the canonicalize function everywhere requires unwrapping, I also decided to extract a struct representing an exercise and use serde to deserialize the paths from the info.toml file up front. I also tried to move the path handling out into the exercise.rs file and down into main.rs so that it doesn't create as much clutter. There was already a lot of unwrapping and path handling in the other files and I felt like it was getting a bit too repetitive.
If the approach is going too far (too many changes etc.) I'm happy to try to produce a smaller PR that fixes the bug without any refactoring.",3,5
144,2019-04-21T22:15:47Z,2019-04-22T01:57:15Z,2019-04-22T01:57:15Z,2,8,2,"Hi !
I played a bit with rustlings, and I felt that some exercises were incorrect because they passed the tests without me needing to edit the files!
This gave me the feeling that the exercise was skiped! Especially when I use rustlings watch, it is easy to miss an exercise because the compilation error that is displayed is the one of the next exercise ...
It is easy to identify ""broken"" exercises with:
% find exercises -name ""*.rs"" | xargs -n 1 rustlings run
...
✅ Successfully ran exercises/move_semantics/move_semantics4.rs
✅ Successfully tested exercises/test2.rs
My suggestion is to make sure that these files trigger a compilation error by adding a simple syntax error (e.g. with ??? in the code that must change) so that our Rustacean can then play with it!",3,4
154,2019-05-09T17:19:17Z,2019-05-22T08:53:47Z,2019-05-22T08:53:47Z,2,14,0,A previous version didn't run tests inside exercises. This pull request introduces one more test to cover such situation,2,0
157,2019-05-12T12:59:18Z,2019-05-22T08:53:19Z,2019-05-22T08:53:19Z,1,1,1,"Add Result type signature as it is difficult for new comers to understand Generics and Error all at once.
At first, I tried Result<String, Error> and got this.
error[E0412]: cannot find type `Error` in this scope
 --> exercises/error_handling/errors1.rs:9:62
  |
9 | pub fn generate_nametag_text(name: String) -> Result<String, Error> {
  |                                                              ^^^^^ not found in this scope
help: possible candidates are found in other modules, you can import them into scope
  |
1 | use std::error::Error;
  |
1 | use std::fmt::Error;
  |
1 | use std::io::Error;
  |
In the book, it talks about std::io::Error with Result which is a bit confusing. See https://doc.rust-lang.org/book/ch09-02-recoverable-errors-with-result.html
It took me a long time to understand that Result can take whatever type as a second argument.
Let me know your thoughts on how to improve this.",2,0
163,2019-05-25T11:41:17Z,2019-05-25T14:00:14Z,2019-05-25T14:00:14Z,3,59,0,Thanks for rustlings! Here's a small contribution in return.,6,24
164,2019-05-26T12:47:21Z,2019-05-26T14:16:18Z,2019-05-26T14:16:18Z,1,1,1,,3,4
165,2019-05-26T13:00:10Z,2019-05-26T14:07:16Z,2019-05-26T14:07:16Z,2,3,3,The links had the 2018 book in them and they were outdated.,3,4
170,2019-06-07T02:13:29Z,2019-06-11T13:02:18Z,2019-06-11T13:02:18Z,2,2,2,fixes #155,3,7
177,2019-06-14T04:12:55Z,,2022-07-15T12:23:29Z,2,65,0,"Every good programming exercise book should include the fibonacci numbers!
One possible solution:
(0..i).fold((0, 1), |(a, b), _| (b, a + b)).1",8,8
191,2019-07-11T22:20:31Z,2019-07-12T08:27:10Z,2019-07-12T08:27:10Z,1,1,1,Prevent a panic if the file triggering the watch event is gone.,3,4
198,2019-07-26T23:58:55Z,2019-07-27T10:43:47Z,2019-07-27T10:43:47Z,2,11,2,"Fixes the bug referenced in #160, but does not address the larger feature work referenced by the issue.",3,4
206,2019-08-03T06:42:32Z,2019-08-13T10:07:09Z,2019-08-13T10:07:09Z,1,8,3,"I'm pretty new to Rust. I tried installing rustlings for the first time and got this error:
$> cargo install --force --path .
error: `/Users/ajax/projects/rust/rustlings` is not a crate root; specify a crate to install from crates.io, or use --path or --git to specify an alternate source

Caused by:
  failed to parse manifest at `/Users/ajax/projects/rust/rustlings/Cargo.toml`

Caused by:
  editions are unstable

Caused by:
  feature `edition` is required

this Cargo does not support nightly features, but if you
switch to nightly channel you can add
`cargo-features = [""edition""]` to enable this feature

I'm not sure if the answer was to run rustup update but I noticed that I was running Rust 1.29.0, so updated to 1.36.0 and got it working. If there's a way to specify a minimum required version, pls let me know.
Lastly, the whitespace changes were automatic from my editor. What's the convention here for making such updates? Thanks!",3,4
208,2019-08-12T09:55:30Z,2019-08-12T15:26:41Z,2019-08-12T15:26:41Z,1,1,1,,3,4
209,2019-08-18T00:26:57Z,2019-08-18T08:27:24Z,2019-08-18T08:27:24Z,3,26,6,"I noticed this issue and it seems like a similar one was raised/fixed in #160 this way. This is my first contribution to this repo (or any Rust project) so let me know if I messed up or need to fix anything!

This commit converts primitive_types4 to a test and asserts that the
slice given is equal to the expected slice.
The intent of the primitive_types4 exercise appears to be to ensure the
user understands inclusive and exclusive bounds as well as slice syntax.
rustlings commands using compile do not verify that a specific
println is reached and, in the case of watch and verify (but not
run), they do not output the printlns at all.
This fix is semantically similar to #198. It does not take a stance on
the correct way to handle this for all exercises; see #127. There are
likely other exercises whose intent are masked by this issue.",3,5
