number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2,2023-01-24T18:05:08Z,2023-01-26T16:29:49Z,2023-01-26T16:29:49Z,4,54,54,,2,2
4,2023-01-24T18:46:26Z,,2023-02-19T06:17:52Z,4,85,5,"What do you think? I used this method on my website, doing well.",3,5
6,2023-01-24T20:50:14Z,2023-01-25T15:42:18Z,2023-01-25T15:42:18Z,1,1,1,"My first ever github contribution! Hopefully I did it correctly...

Class merging with tailwind-merge  - FIXED TYPO HERE (taiwind-merge - tailwind-merge)",2,2
8,2023-01-25T00:56:10Z,,2023-01-26T18:15:47Z,1,1,1,"This pull request fixes an issue with the component demo going very far off the screen on the X axis at a resolution of 1024. The issue happened at the md and lg breakpoints, with the addition of the <aside> element seemingly breaking the width: 100% calculations. Solved the issue by calculating the width based on screen size for the md and lg breakpoints.",3,6
12,2023-01-25T10:08:17Z,2023-01-26T16:29:28Z,2023-01-26T16:29:28Z,1,1,1,,2,1
13,2023-01-25T13:22:48Z,2023-01-29T10:18:09Z,2023-01-29T10:18:09Z,1,1,1,Minor tweak to the installation docs,2,2
14,2023-01-25T16:24:12Z,,2023-01-29T23:38:03Z,1,15,2,Update installation.mdx to include instructions for generating tailwind.config.js and postcss.config.js,2,1
31,2023-01-27T14:34:00Z,2023-01-29T17:28:13Z,2023-01-29T17:28:13Z,21,609,99,"Navigation Menu Primitive

  
    
    

    navigation-menu.mov",2,7
32,2023-01-27T20:55:49Z,2023-02-10T06:03:52Z,2023-02-10T06:03:52Z,15,6083,2539,"Just a problem with the animation out for data-state=end, if anyone have an idea ? (After the swipe)

  
    
    

    toast.mov",4,21
33,2023-01-28T05:02:34Z,2023-01-29T09:49:29Z,2023-01-29T09:49:29Z,4,18,0,,3,2
34,2023-01-28T12:07:08Z,2023-02-04T06:44:50Z,2023-02-04T06:44:50Z,12,221,1,"Toggle Button Primitive

  
    
    

    toggle.button.mp4",2,3
39,2023-01-29T15:21:23Z,2023-01-29T19:35:45Z,2023-01-29T19:35:45Z,1,1,1,"This is a bug fix for the issue #24
The switch position change on some screen sizes or in some zoom percent.
I solve that by putting the items-center on in this part of switch.tsx ui component.
 <SwitchPrimitives.Root
    className={cn(
      ""peer inline-flex items-center h-[24px] w-[44px] shrink-0 ...."",
      className
    )}
    {...props}
    ref={ref}
  >",2,2
43,2023-01-30T18:10:54Z,2023-01-31T17:21:34Z,2023-01-31T17:21:34Z,1,1,1,"Fixes #42
Before

After",2,2
46,2023-01-31T00:20:58Z,2023-01-31T06:29:46Z,2023-01-31T06:29:46Z,2,2,2,Fixes: #44,2,4
50,2023-02-01T16:02:44Z,2023-03-02T10:57:44Z,2023-03-02T10:57:44Z,7,521,0,"I found it interesting to add variants to the Dialog component to allow the user to add a type prop to DialogContent.
With this, you can define whether you want it to be dialog, drawer-top, drawer-bottom, drawer-left and drawer-right. The size will be defined by the user by adding the necessary tailwind cases to the DialogContent.

  
    
    

    Grabacion.de.pantalla.2023-02-01.a.la.s.13.01.07.mov",3,12
53,2023-02-03T21:17:27Z,,2023-11-12T18:04:22Z,11,344,1,"This PR add the Toggle group component, you can see the demo of how it looks on both light & dark modes below:",5,11
54,2023-02-04T20:20:46Z,2023-02-05T06:41:00Z,2023-02-05T06:41:00Z,2,2,2,"for some reason we were extracting the value prop from props but not passing it to the slider root.
fixed it by not extracting it from props, so its passed automatically.",2,2
55,2023-02-05T02:11:57Z,2023-02-08T17:18:44Z,2023-02-08T17:18:44Z,1,35,0,Proposing to add a section to the Dialog component documentation to explain how to use a ContextMenuItem or DropdownMenuItem as a trigger for the Dialog component. This will provide clarity for other users who may struggle with this as I did. It wasn't immediate to me to wrap the ContextMenu with the Dialog as referenced here.,4,4
56,2023-02-05T04:49:06Z,2023-02-19T06:01:00Z,2023-02-19T06:01:00Z,1,1,1,"Hello from Colombia! My first contribution, i was working and see this in my dark mode, hope it's helpful.",2,4
57,2023-02-05T13:06:58Z,2023-02-10T05:56:38Z,2023-02-10T05:56:38Z,1,1,1,Popover using side left and right doesn't have any animation,2,2
58,2023-02-05T13:20:33Z,2023-02-06T11:25:29Z,2023-02-06T11:25:29Z,1,3,2,"Husky is not installed automatically, I noticed this when I am trying to commit to my fork.
adding prepare script should work, see reference
also, you might want to re-run prettier. I think the pre-commit hook didn't run for some contributors
Here's the changes after I run it, let me know if you want me to push the prettier run commit 😃",2,3
59,2023-02-05T23:05:06Z,2023-02-07T09:02:14Z,2023-02-07T09:02:14Z,2,3,3,Screencast.from.02-06-2023.01.01.04.AM.webm,2,4
61,2023-02-06T14:35:54Z,2023-02-08T17:11:32Z,2023-02-08T17:11:32Z,1,1,1,slide-from-left and slide-from-right animations based on Dropdown side,2,2
65,2023-02-08T00:15:30Z,2023-02-08T03:46:40Z,2023-02-08T03:46:40Z,1,1,1,,2,2
67,2023-02-08T14:42:48Z,2023-02-08T17:15:16Z,2023-02-08T17:15:17Z,1,1,1,,2,2
69,2023-02-08T17:24:31Z,,2023-10-15T11:22:33Z,1,43,0,See #68,4,4
77,2023-02-11T13:29:55Z,2023-02-12T05:53:18Z,2023-02-12T05:53:18Z,1,1,1,The destructive toast component example used the wrong example src,2,2
79,2023-02-13T13:12:47Z,2023-02-19T06:11:08Z,2023-02-19T06:11:08Z,2,2,2,,2,3
