number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
745,2016-09-22T18:14:46Z,2016-09-25T04:37:24Z,2016-09-25T04:37:24Z,13,532,23,,2,0
973,2016-12-30T08:07:15Z,2016-12-30T09:13:46Z,2016-12-30T09:13:46Z,1,83,81,,1,2
1059,2017-03-02T14:21:05Z,2017-03-03T16:05:58Z,2017-03-03T16:05:58Z,5,210,25,,3,0
1130,2017-05-01T05:16:13Z,,2018-08-01T14:04:41Z,9,142,30,"#913

默认未勾选，勾选后启动时自动注册全部热键。
-----------------------更新 1--------------------------

增加热键注册失败弹窗提示。",8,28
1222,2017-07-09T13:29:32Z,,2017-07-10T12:24:19Z,1,5,1,Add note that server's password is saved in clear text in gui-config.json file.,3,0
1298,2017-08-06T00:37:05Z,2017-08-21T12:25:34Z,2017-08-21T12:25:35Z,8,546,80,"Hello,
This is a first draft WIP to get feedback on my approach. This pull request implements SIP002 url (parsing and generation for QR code with backward-compatibility of accepting old-style urls and generating old-style urls when there is no plugin for the config), and SIP003 plugin interface for shadowsocks-windows.

SIP002 has unit tests and proven to work.
SIP003 needs a little bit of testing, would appreciate feedback on the approach and fresh eyes to see if I made any mistakes.

Hope to eventually get this merged soon :-)",6,16
1486,2017-10-28T02:28:15Z,,2017-10-28T08:57:24Z,1,3,3,"消除警告
warning CS0649: 从未对字段“HttpProxy.HttpState.BytesToRead”赋值，字段将一直保持其默认值 0",3,1
1684,2018-02-17T20:21:05Z,,2018-03-02T02:12:06Z,1,2,1,"…The Port of SIP003's ""LocalEndPoint"" should be Remote Server's port when a plug-in enabled.",2,4
1753,2018-03-16T07:30:54Z,2018-03-17T02:15:16Z,2018-03-17T02:15:16Z,4,4,4,"In #1740, I think this feature description may not clear.
This function actually binding the local socks5 proxy port on 0.0.0.0, In some public IP case, May cause undesired result.",2,0
1755,2018-03-17T07:44:24Z,2018-08-05T02:40:17Z,2018-08-05T02:40:17Z,1,67,35,"sometimes read from StandardOutput using ReadToEnd, the process can block. Here we use event to avoid hanging when redirect standard output/error.
ref:
https://stackoverflow.com/questions/139593/processstartinfo-hanging-on-waitforexit-why
http://blog.csdn.net/zhangweixing0/article/details/7356841",3,6
