number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2,2019-07-14T02:55:46Z,2019-07-14T12:47:29Z,2019-07-14T12:47:29Z,72,6486,8,Forked from zserge/webview and Boscop/web-view.,2,1
5,2019-07-20T09:50:37Z,2019-07-20T17:50:07Z,2019-07-20T17:50:07Z,1,2,1,"Per Boscops self-raised, but never merged issue
https://doc.rust-lang.org/nomicon/ffi.html#representing-opaque-structs
Basically removes potentially undefined behavior



What kind of change does this PR introduce? (check at least one)


 Bugfix
 Feature
 New Binding Issue #___
 Code style update
 Refactor
 Build-related changes
 Other, please describe:

Does this PR introduce a breaking change? (check one)


 Yes. Issue #___
 No

The PR fulfills these requirements:

 It's submitted to the dev branch and not the master branch
 When resolving a specific issue, it's referenced in the PR's title (e.g. fix: #xxx[,#xxx], where ""xxx"" is the issue number)
 Any necessary documentation has been added or updated in the docs (for faster update click on ""Suggest an edit on GitHub"" at bottom of page) or explained in the PR's description.

If adding a new feature, the PR's description includes:

 A convincing reason for adding this feature (to avoid wasting your time, it's best to open a suggestion issue first and wait for approval before working on it)

Other information:",2,0
6,2019-07-20T19:50:44Z,2019-07-20T21:42:08Z,2019-07-20T21:42:08Z,29,5062,32,"What kind of change does this PR introduce? (check at least one)


 Bugfix
 Feature
 New Binding Issue #___
 Code style update
 Refactor
 Build-related changes
 Other, please describe:

Does this PR introduce a breaking change? (check one)


 Yes. Issue #___
 No

The PR fulfills these requirements:

 It's submitted to the dev branch and not the master branch
 When resolving a specific issue, it's referenced in the PR's title (e.g. fix: #xxx[,#xxx], where ""xxx"" is the issue number)
 Any necessary documentation has been added or updated in the docs (for faster update click on ""Suggest an edit on GitHub"" at bottom of page) or explained in the PR's description.

If adding a new feature, the PR's description includes:

 A convincing reason for adding this feature (to avoid wasting your time, it's best to open a suggestion issue first and wait for approval before working on it)

Other information:",2,0
14,2019-08-07T22:42:56Z,2019-08-20T14:33:49Z,2019-08-20T14:33:49Z,9,1576,612,"What kind of change does this PR introduce? (check at least one)


  Bugfix
  Feature
  New Binding Issue #___
  Code style update
  Refactor
  Build-related changes
  Other, please describe:

Does this PR introduce a breaking change? (check one)

  Yes. Issue #___
  No

The PR fulfills these requirements:

[x ]  It's submitted to the dev branch and not the master branch
  When resolving a specific issue, it's referenced in the PR's title (e.g. fix: #xxx[,#xxx], where ""xxx"" is the issue number)
  Any necessary documentation has been added or updated in the docs (for faster update click on ""Suggest an edit on GitHub"" at bottom of page) or explained in the PR's description.

If adding a new feature, the PR's description includes:

  A convincing reason for adding this feature (to avoid wasting your time, it's best to open a suggestion issue first and wait for approval before working on it)

Other information:
Added features allow for a minimal MSI bundler to work on Windows x64 systems.  Currently, only generates a simple wrapper around the produced Rust exe file.  No support for logos or custom paths; however, these features could be added fairly rapidly.  A few items were also added to allow for cross compilation in the future.",3,4
15,2019-08-13T23:34:05Z,2019-08-14T11:24:08Z,2019-08-14T11:24:09Z,49,124,124,"What kind of change does this PR introduce? (check at least one)


 Bugfix
 Feature
 New Binding Issue #___
 Code style update
 Refactor
 Build-related changes
 Other, please describe:

Does this PR introduce a breaking change? (check one)


 Yes. Issue #___
 No

The PR fulfills these requirements:

 It's submitted to the dev branch and not the master branch
 When resolving a specific issue, it's referenced in the PR's title (e.g. fix: #xxx[,#xxx], where ""xxx"" is the issue number)
 Any necessary documentation has been added or updated in the docs (for faster update click on ""Suggest an edit on GitHub"" at bottom of page) or explained in the PR's description.

If adding a new feature, the PR's description includes:

 A convincing reason for adding this feature (to avoid wasting your time, it's best to open a suggestion issue first and wait for approval before working on it)

Other information:",2,0
18,2019-08-16T02:51:53Z,2019-08-16T10:58:31Z,2019-08-16T10:58:31Z,8,234,175,"What kind of change does this PR introduce? (check at least one)


 Bugfix
 Feature
 New Binding Issue #___
 Code style update
 Refactor
 Build-related changes
 Other, please describe:

Does this PR introduce a breaking change? (check one)


 Yes. Issue #___
 No

The PR fulfills these requirements:

 It's submitted to the dev branch and not the master branch
 When resolving a specific issue, it's referenced in the PR's title (e.g. fix: #xxx[,#xxx], where ""xxx"" is the issue number)
 Any necessary documentation has been added or updated in the docs (for faster update click on ""Suggest an edit on GitHub"" at bottom of page) or explained in the PR's description.

If adding a new feature, the PR's description includes:

 A convincing reason for adding this feature (to avoid wasting your time, it's best to open a suggestion issue first and wait for approval before working on it)

Other information:",2,0
20,2019-08-18T21:49:47Z,2019-08-19T21:09:30Z,2019-08-19T21:09:30Z,18,1253,6,"What kind of change does this PR introduce? (check at least one)


 Bugfix
 Feature
 New Binding Issue #___
 Code style update
 Refactor
 Build-related changes
 Other, please describe:

Does this PR introduce a breaking change? (check one)


 Yes. Issue #___
 No

The PR fulfills these requirements:

 It's submitted to the dev branch and not the master branch
 When resolving a specific issue, it's referenced in the PR's title (e.g. fix: #xxx[,#xxx], where ""xxx"" is the issue number)
 Any necessary documentation has been added or updated in the docs (for faster update click on ""Suggest an edit on GitHub"" at bottom of page) or explained in the PR's description.

If adding a new feature, the PR's description includes:

 A convincing reason for adding this feature (to avoid wasting your time, it's best to open a suggestion issue first and wait for approval before working on it)

Other information:",2,1
26,2019-08-22T01:25:07Z,2019-08-22T07:52:02Z,2019-08-22T07:52:02Z,6,43,21,"What kind of change does this PR introduce? (check at least one)


 Bugfix
 Feature
 New Binding Issue #___
 Code style update
 Refactor
 Build-related changes
 Other, please describe:

Does this PR introduce a breaking change? (check one)


 Yes. Issue #___
 No

The PR fulfills these requirements:

 It's submitted to the dev branch and not the master branch
 When resolving a specific issue, it's referenced in the PR's title (e.g. fix: #xxx[,#xxx], where ""xxx"" is the issue number)
 Any necessary documentation has been added or updated in the docs (for faster update click on ""Suggest an edit on GitHub"" at bottom of page) or explained in the PR's description.

If adding a new feature, the PR's description includes:

 A convincing reason for adding this feature (to avoid wasting your time, it's best to open a suggestion issue first and wait for approval before working on it)

Other information:
There's an edge case for how the webview and our embeddedServer loads its URLs.
When the config -> host is set to something like localhost or 127.0.0.1 (without http:// protocol), the server starts correctly, but the webview doesn't. We have to explicitely set the http protocol on the webview, but not on the embedded web server.
So, with this PR, we add the protocol for the webview load URL if its not there, and we always remove it from the config host. With this approach, the embedded web server MUST be served locally.
There are some other changes because I ran cargofmt.",2,0
29,2019-08-23T13:30:01Z,2019-08-23T14:39:42Z,2019-08-23T14:39:42Z,4,46,39,"What kind of change does this PR introduce? (check at least one)


 Bugfix
 Feature
 New Binding Issue #___
 Code style update
 Refactor
 Build-related changes
 Other, please describe:

Does this PR introduce a breaking change? (check one)


 Yes. Issue #___
 No

The PR fulfills these requirements:

 It's submitted to the dev branch and not the master branch
 When resolving a specific issue, it's referenced in the PR's title (e.g. fix: #xxx[,#xxx], where ""xxx"" is the issue number)
 Any necessary documentation has been added or updated in the docs (for faster update click on ""Suggest an edit on GitHub"" at bottom of page) or explained in the PR's description.

If adding a new feature, the PR's description includes:

 A convincing reason for adding this feature (to avoid wasting your time, it's best to open a suggestion issue first and wait for approval before working on it)

Other information:",2,0
32,2019-08-25T12:00:56Z,2019-09-12T19:37:40Z,2019-09-12T19:37:40Z,9,2119,2111,"What kind of change does this PR introduce? (check at least one)


 Bugfix
 Feature
 New Binding Issue #___
 Code style update
 Refactor
 Build-related changes
 Other, please describe:

Does this PR introduce a breaking change? (check one)


 Yes. Issue #___
 No

The PR fulfills these requirements:

 It's submitted to the dev branch and not the master branch
 When resolving a specific issue, it's referenced in the PR's title (e.g. fix: #xxx[,#xxx], where ""xxx"" is the issue number)
 Any necessary documentation has been added or updated in the docs (for faster update click on ""Suggest an edit on GitHub"" at bottom of page) or explained in the PR's description.

If adding a new feature, the PR's description includes:

 A convincing reason for adding this feature (to avoid wasting your time, it's best to open a suggestion issue first and wait for approval before working on it)

Other information:
The current tauri.h is really hard to read, this PR tries to make it better to maintain.",3,2
