number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
20,2019-02-01T21:49:54Z,,2019-03-20T18:02:18Z,5,374,13,"Locally I run docker run --name fastapi-postgres -e POSTGRES_PASSWORD=bar -e POSTGRES_USER=foo -e POSTGRES_DB=fastapi -p 5432:5432 -d postgres to get the db up, mimics in travis with the postgresql service
There are 2 test classes, TestStarletteStyle and TestFastAPIStyle:


TestStarletteStyle is in fact a way to get the very same tests performed in starlette with either a FastApi object or a Starlette one. The name StarletteStyle just refers to the fact it uses the app.route decorator provided by starlette


TestFastAPIStyle is just an attempt at using the get / post decorators provided by FastAPI with the very same tests


Hope it gives some clues at using the DatabaseMiddleware
Fixes my questions on #14 🤣",3,5
100,2019-03-24T10:13:56Z,2019-03-24T19:18:20Z,2019-03-24T19:18:20Z,2,57,0,fix for #98,2,2
112,2019-03-26T14:41:21Z,2019-05-20T07:26:55Z,2019-05-20T07:26:55Z,2,97,44,"About #110
it adds an optional static_directory to FastAPI, if it's None (which it is by default) the generated html uses the cdn existing at present and the icon also.
If it's set to a path, path is added as a starlette StaticFile, and in that case, FastAPI needs an extra dictionary with js, css and favicon
I'd rather discuss if you're ok with that implementation before doing /redoc 🙈 , some stuff might be moved in setup()
and I'm struggling with those mypy errors, would love some help !",4,11
118,2019-03-28T10:00:29Z,,2019-08-04T13:32:10Z,1,135,0,"related to #60
might help in seeing what pydantic types are ""failing""
I used 2 models, Working and Failing:

Working contains all types that are in pydantic documentation, types which fail are commented out
Failing contains all failing types commented above

the test_openapi doesn't test anything, it's more to print the json schema to paste like you said on https://editor.swagger.io
I guess most errors come from upstream in pydantic schema generation, just hope this branch helps in figuring out what types may cause issues, pydantic schema is a rather impressive topic to jump in 💥 🙀 , not sure I would not where to look at ! 🐙",2,4
160,2019-04-15T12:37:58Z,2019-04-16T18:42:01Z,2019-04-16T18:42:01Z,3,37,21,fix #47 request that should have opened a new issue imho 😃,3,3
222,2019-05-14T08:21:42Z,2019-05-15T10:43:31Z,2019-05-15T10:43:31Z,1,3,1,"Root logger shouldn't be used
https://docs.python.org/3/howto/logging.html#configuring-logging-for-a-library",2,2
241,2019-05-20T09:39:22Z,2019-05-20T14:34:33Z,2019-05-20T14:34:34Z,1,21,22,close #238,2,3
262,2019-05-27T08:26:54Z,,2019-07-29T11:23:17Z,1,8,3,This enables mypy (and IDEs) to infer the type coming from Depends,2,3
313,2019-06-14T03:35:09Z,2019-06-18T07:46:58Z,2019-06-18T07:46:58Z,2,6,2,,3,2
333,2019-06-25T08:27:21Z,,2019-07-13T00:16:24Z,2,25,3,"Remove definitions update
Addresses #332",2,4
377,2019-07-08T14:08:58Z,,2019-10-20T08:39:45Z,2,73,20,"This is tiny performance optimization.
refs #360  (gists)
original code (before)
============================= test session starts ==============================
platform linux -- Python 3.7.3, pytest-5.0.1, py-1.8.0, pluggy-0.12.0
rootdir: ~/venvs/my/individual-sandbox/daily/20190708/example_fastapi
plugins: cov-2.7.1
collected 1 item

test_serial_speed.py::test_routes 
-------------------------------- live log call ---------------------------------
INFO     test_serial_speed:test_serial_speed.py:48 route1: 0.031059980392456055
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route1, 3.0471584796905518, ['http_status:200', 'http_method:GET', 'time:wall']
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route1, 3.04316, ['http_status:200', 'http_method:GET', 'time:cpu']
INFO     test_serial_speed:test_serial_speed.py:68 route1: 0.029019832611083984
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route2, 3.367730140686035, ['http_status:200', 'http_method:GET', 'time:wall']
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route2, 3.364335, ['http_status:200', 'http_method:GET', 'time:cpu']
INFO     test_serial_speed:test_serial_speed.py:84 route1: 0.0014355182647705078
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route4, 2.1561036109924316, ['http_status:200', 'http_method:GET', 'time:wall']
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route4, 2.1537700000000006, ['http_status:200', 'http_method:GET', 'time:cpu']
PASSED

=========================== 1 passed in 8.81 seconds ===========================
after
============================= test session starts ==============================
platform linux -- Python 3.7.3, pytest-5.0.1, py-1.8.0, pluggy-0.12.0
rootdir: ~/venvs/my/individual-sandbox/daily/20190708/example_fastapi
plugins: cov-2.7.1
collected 1 item

test_serial_speed.py::test_routes 
-------------------------------- live log call ---------------------------------
INFO     test_serial_speed:test_serial_speed.py:48 route1: 0.02889871597290039
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route1, 2.2630717754364014, ['http_status:200', 'http_method:GET', 'time:wall']
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route1, 2.260655, ['http_status:200', 'http_method:GET', 'time:cpu']
INFO     test_serial_speed:test_serial_speed.py:68 route1: 0.028612375259399414
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route2, 2.529733896255493, ['http_status:200', 'http_method:GET', 'time:wall']
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route2, 2.527283, ['http_status:200', 'http_method:GET', 'time:cpu']
INFO     test_serial_speed:test_serial_speed.py:84 route1: 0.0014500617980957031
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route4, 1.5969781875610352, ['http_status:200', 'http_method:GET', 'time:wall']
INFO     test_serial_speed:test_serial_speed.py:19 app.test_serial_speed.route4, 1.595663, ['http_status:200', 'http_method:GET', 'time:cpu']
PASSED

=========================== 1 passed in 6.63 seconds ===========================",3,8
417,2019-08-01T18:57:31Z,2019-08-25T02:55:25Z,2019-08-25T02:55:26Z,3,120,4,"Dependencies that resolve to the same cache key are not re-used while building the openapi schema.
Addresses #416",3,6
422,2019-08-06T08:29:45Z,2019-08-26T13:24:58Z,2019-08-26T13:24:58Z,2,31,0,"Addresses #421
Currently, if you return a BaseModel instance in a route with a BaseModel response_type, the skip_defaults value does not influence the result. This PR fixes this.

Details
The source of the problem is that calling field.validate on a model results in a new model with the fields set. I dug in on the pydantic side and it looks like this is due to the recent change to re-parse the model with a non-subclass type when response_model is set. If you look in BaseModel.validate (which is ultimately called if you follow it deep enough), you can see the precise spot where defaults aren't being skipped:
@classmethod
    def validate(cls: Type['Model'], value: Any) -> 'Model':
        if isinstance(value, dict):
            return cls.parse_obj(value)
        elif isinstance(value, cls):
            return value.copy()
        elif cls.__config__.orm_mode:
            return cls.from_orm(value)
        else:
            with change_exception(DictError, TypeError, ValueError):
                return cls.parse_obj(value)
It calls into parse_obj on the last line, which subsequently calls dict on the object and then parses the dict. Unfortunately, this means defaults don't get skipped.
I don't think it makes sense to change this on the pydantic side because otherwise you'd run into problems parsing models with default values into non-subclass models with required values. So, if we want to stick with this approach of creating a new class to force a reparse, we probably need to handle the

That said, I would also be in favor of a larger refactor if we could come up with a way to get the desired field safely without another round of parsing/dumping 😬. But that does seem hard.",2,2
423,2019-08-06T19:11:26Z,,2019-08-23T07:02:00Z,8,69,59,"Among other things, pydantic 0.32 brings some substantial debugging improvements which I would really appreciate! (Namely, fixes the recursion issue in debuggers, and includes model name in validation error tracebacks.)
If merged, #398 Update pydantic & starlette to include recent bug fixes could be closed (as both pydantic and starlette would be on more recent versions).",7,10
435,2019-08-13T07:07:42Z,2019-08-30T16:17:43Z,2019-08-30T16:17:43Z,3,70,5,"Catching exception when generating OpenAPI specification. Added status groups and ""default"" as possible key for the additional responses.
If merged, this issue fixes #428",3,4
451,2019-08-21T11:10:57Z,2019-09-29T21:19:10Z,2019-09-29T21:19:10Z,4,42,11,"This pull request adds support for forward references, string annotations, and from __future__ import annotations in decorated endpoint signatures.",2,6
464,2019-08-25T13:06:54Z,2019-09-29T22:03:16Z,2019-09-29T22:03:17Z,2,143,4,"This change allows endpoint functions to be defined with parameters with defaults, but for those defaults to be ignored if the function parameter subsequently appears as a path parameter. The default value is only operative if the parameter is a query parameter.
This change includes a new set of tests for this functionality.",3,14
467,2019-08-26T15:35:39Z,2019-09-29T21:47:35Z,2019-09-29T21:47:35Z,7,469,39,"now you can do app = FastAPI(default_response_class=UJSONResponse)
and all routes will use UJSONResponse by default.
You can still override response_class in routes as before.
the default is still kept as JSONResponse, just specified in much fewer places (two)",3,7
493,2019-08-31T18:33:37Z,2019-09-01T12:51:43Z,2019-09-01T12:51:43Z,1,1,1,Fixes #492,3,2
537,2019-09-16T16:26:42Z,2019-10-04T00:35:44Z,2019-10-04T00:35:45Z,1,2,2,"deepLinking in swagger-ui should work now
fix: #536",2,2
556,2019-09-22T18:04:47Z,2019-10-04T20:02:40Z,2019-10-04T20:02:41Z,4,157,0,"This is essentually the same Click does:
https://click.palletsprojects.com/en/7.x/documentation/#truncating-help-texts
It allows splitting the documenting text so that the lower part may be
used to describe the function further, e.g. extracting information using
Sphinx.",3,7
568,2019-09-25T12:38:25Z,,2019-10-04T00:27:34Z,1,111,60,"This pull request refactors the APIRoute class for two main purposes:

It makes it easier to override individual pieces in subclasses (e.g., get_app), and
It makes it so that APIRouter.include_router does not require re-instantiating APIRoutes, so that subclasses can be preserved.

This pull request would eliminate the need for #538 and would help address #521 and #558.",1,4
570,2019-09-26T02:58:08Z,,2019-10-07T06:40:59Z,6,240,1,"This pull request adds support for contextmanager style dependencies.
In particular, dependencies of the following form would be supported:
def get_dependency():
    value = do_setup()
    yield value  # the value received by the endpoint
    do_cleanup()  # handled in a background task after returning the response
Async contextmanager dependencies are also supported. (See the tests for examples of each, along with a demonstration of error handling.)
I've opened the pull request as a draft because I still need to add tutorial examples and/or other docs, but I am not currently aware of any remaining issues in the implementation.
(Please let me know if you see any.)",4,8
589,2019-10-04T04:46:49Z,2019-10-05T00:23:35Z,2019-10-05T00:23:35Z,10,304,14,"This pull request introduces a small change to APIRoute to make it easier to construct a custom app attribute in a custom subclass.
There is a lot of custom functionality that this change would simplify, but there are two especially important capabilities it adds:

A way to get handle exceptions with access to the request body
A way to modify the request body prior to its parsing/handling by FastAPI

I've added two sections to the ""Using the Request Directly"" docs showing how to use the changes in this PR to implement both of the above kinds of feature.

There have been many recent github issues that could be better-addressed with this capability.
Related to accessing the body in middleware/exception handlers:

#180 accessing request body in middleware
#375 accessing request body in exception handlers
#394 accessing request body in middleware
#575 accessing request body in exception handlers
encode/starlette#493 accessing request body in exception handlers (using fastapi)
encode/starlette#495  a variety of use cases involving accessing request body in middleware (some using fastapi)

Related to modifying the request prior to handling by FastAPI:

#521 support for msgpack-encoded requests
encode/starlette#644 support for gzip-encoded requests (using fastapi)


Quoting Tom Christie from encode/starlette#495:

""Consume request body in middleware is problematic""
Indeed. Consuming request data in middleware is problematic.
Not just to Starlette, but generally, everywhere.
On the whole you should avoid doing so if at all possible.

I think using middleware to consume the request body is the obvious (or, perhaps, ""naive"") way to handle these issues. But that approach is explicitly discouraged, and not supported. So I think the approach described in / supported by this PR is especially valuable.

(This pull request is in lieu of #568, and includes what I think is both the smallest and most important change to APIRoute from that pull request.)",2,2
595,2019-10-06T01:37:48Z,2019-10-09T18:01:59Z,2019-10-09T18:01:59Z,19,1238,88,"Add support for context manager dependencies using functions with yield. Sync or async.
With inspiration from @dmontagu 's #570.
This handles dependencies that yield by converting them into a sync or async context manager,  depending on the function. And runs them in a ""context manager stack"".
This way, the order of dependencies is preserved and cleanup/closing happens in the correct order (the first dependency called is cleaned last).
This also means that dependencies that require other dependencies will still have them on scope during cleanup. So, contextmanager-style dependencies that require other contextmanager dependencies will have access to them during cleanup.
When a dependency function is a normal function (not async), the context manager is called in a threadpool (__enter__), so, the same as with normal dependencies, it's safe to do non-async blocking IO in contextmanager style dependencies. E.g. start a DB connection, probably the main use-case for this. And the same for cleaning it up (__exit__).
This works by default in Python 3.7.
And works in Python 3.6 if the backports are installed:

async-exit-stack
async-generator

pip install async-exit-stack async-generator
But they are not forced/required dependencies. If an app doesn't use context managers and still runs in Python 3.6, it will still work without the backports.
...Although I suspect most of the apps will use this for DB connections.
These backport dependencies are checked on app initialization, so, if a contextmanager-style dependency function (with yields) is found, the environment is not Python 3.7+, and the backports are not installed, it will raise a RuntimeError right away on app initialization (so, no risk for the error lurking into a prod environment).

TODO:

 Fix mypy types.
 Extend tests to check for correct order of contextmanager dependencies with subdependencies.
 Extend tests to verify that background tasks can still access the dependencies from context managers (e.g. DB connections).
 Add docs.",2,4
605,2019-10-08T17:44:22Z,,2019-11-23T22:04:24Z,13,21,21,"Heya,
If I understood #531 correctly this PR should take care of replacing every occurence of pip with python3 -m pip.
Let me know if you have any feedback.
Thanks!",3,5
606,2019-10-08T18:45:58Z,,2019-10-27T22:48:58Z,1,2,1,"Heya 👋,
After reading #497 I thought I'd give it a try. This PR will prevent HTTP 422 responses from being added to the operation when it only has optional arguments. It should fix the bug that occurs in the code of #497 :
from fastapi.applications import FastAPI
from fastapi import APIRouter
app = FastAPI(docs_url=""/"")
router = APIRouter()


@router.get('/router')
async def handler(code: str = ''):
    print(code)
    return ""hello world""


app.include_router(router)

if __name__ == '__main__':
    import uvicorn
    uvicorn.run(app, port=8001, reload=True)

How to test:

Setup environment with the example code above
Acknowledge that the swagger ui shows a HTTP 422 as possible response code
Checkout PR
Acknowledge that the swagger ui no longer shows HTTP 422 as a possible response code.
Change your route params to have a required route
Acknowledge that the HTTP 422 is now back 🎉",2,4
637,2019-10-21T23:06:37Z,2019-11-24T13:23:34Z,2019-11-24T13:23:34Z,1,2,3,"A quick PR that fixes #630. The cloned field was adding existing field validators before the fields themselves.
This caused Python's default ""ordered dict"" behaviour to incorrectly output dictionary key/value pairs with all 'validated' fields first.",3,5
