number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
8,2016-10-15T17:04:39Z,2016-10-17T01:49:33Z,2016-10-17T01:49:33Z,1,12,1,,3,2
9,2016-10-15T17:49:48Z,2016-10-16T04:32:58Z,2016-10-16T04:32:58Z,2,24,1,,2,0
12,2016-10-16T04:56:23Z,2016-10-16T22:44:26Z,2016-10-16T22:44:26Z,3,15,16,,2,0
14,2016-10-16T05:50:18Z,2016-10-17T01:04:35Z,2016-10-17T01:04:35Z,1,11,2,"Added warning when pages dir is not present and a special one if it exists as a sibling of the project root.
Please review the copy :)",2,0
15,2016-10-16T06:34:49Z,2016-10-16T23:55:30Z,2016-10-16T23:55:30Z,2,57,0,The proposed command bootstraps a sample project for starters adding the pages and static directories plus a index.js page,2,0
34,2016-10-17T08:36:50Z,2016-10-25T05:50:33Z,2016-10-25T05:50:33Z,1,27,1,Fixes #17,2,1
38,2016-10-20T02:12:40Z,2016-10-21T16:39:20Z,2016-10-21T16:39:20Z,16,87,109,Please review carefully!,2,0
39,2016-10-22T07:46:33Z,2016-10-25T06:57:44Z,2016-10-25T06:57:44Z,1,20,1,allowing different ways to import the css helpers,3,0
68,2016-10-25T20:37:42Z,,2016-12-17T03:37:00Z,6,55,7,"Based on create-react-app and specifically
facebook/create-react-app#101.
$ ./dist/bin/next-start
Something is already running at port 3000.
Would you like to run the app on port 3001 instead? [Y/n] y

Ready on http://localhost:3001
^C⏎",9,15
93,2016-10-26T16:27:15Z,2016-10-29T10:56:46Z,2016-10-29T10:56:46Z,1,21,0,,5,1
97,2016-10-26T18:10:16Z,2016-10-26T23:49:05Z,2016-10-26T23:49:05Z,1,3,0,"This pull request fixes #85

You are currently using minified code outside of NODE_ENV === 'production'. This means that you are running a slower development build of Redux. You can use loose-envify (https://github.com/zertosh/loose-envify) for browserify or DefinePlugin for webpack (http://stackoverflow.com/questions/30030031) to ensure you have the correct code for your production build.

By setting NODE_ENV to production for production bundling process.",3,1
101,2016-10-26T19:48:39Z,,2017-01-05T17:30:31Z,1,56,38,"This addresses some things I was first confused by and some common confusions like the .next directory.
It also adds a Contributing and Background & Design Philosophy section.",5,9
129,2016-10-28T07:54:38Z,2016-10-28T14:39:20Z,2016-10-28T14:39:20Z,3,15,24,"Fixes #95
This PR change to update head contents using requestAnimationFrame.",1,0
136,2016-10-28T11:23:59Z,2016-11-03T10:07:15Z,2016-11-03T10:07:15Z,2,7,1,"Currently, when running next init some-directory, if some-directory does not yet exist the command will exit with a nasty looking error (see below).
This PR creates the supplied directory if it does not exist, preventing the error.
next init some-directory
{ Error: ENOENT: no such file or directory, open '/Users/timoxley/Projects/tests/some-directory/package.json'
    at Error (native)
  errno: -2,
  code: 'ENOENT',
  syscall: 'open',
  path: '/Users/timoxley/Projects/tests/some-directory/package.json' }",3,5
163,2016-10-30T21:44:22Z,,2016-12-01T23:03:15Z,4,19,7,Response to #161 in case we want to support .jsx files.,6,10
165,2016-10-30T23:21:41Z,2016-10-31T07:32:51Z,2016-10-31T07:32:51Z,1,7,2,"This adds information I had to search for and experiment with, being new to Glamor.
I think adding the insertRule import is useful to show you can access all of Glamor's API from 'next/css'. It also answers the common question we've been getting of ""How do I add global styles?""",2,1
174,2016-11-01T10:37:55Z,,2016-11-10T15:40:33Z,1,10,2,"My attempt to implement #40. I think it's the simplest possible solution.
To customize config user have to create webpack.js in project root and export function that adjusts config as needed.
module.exports = (config, hotReload) => {
  if (hotReload) {
    const babelLoader = config.module.loaders.find(({loader}) => loader === 'babel')
    babelLoader.query.plugins.push(require.resolve('babel-plugin-styled-components-named'))
  }
  // Style loader not works for some reason, but it should be configured similar to this:
  config.resolveLoader.root.push(require('path').join(__dirname, 'node_modules'))
  config.module.preLoaders.push({ test: /\.css$/, loader: ""style!css"" })
}",4,7
182,2016-11-02T20:46:46Z,2016-11-04T11:38:55Z,2016-11-04T11:38:55Z,1,2,0,"This behaviour was surprising, I'd assumed getInitialProps would execute in both environments, though I assume the intention is that this prevents double-handling.
Related #183",4,5
222,2016-11-07T14:53:28Z,2016-12-17T18:38:11Z,2016-12-17T18:38:11Z,4,107,26,"We currently use package.json for our configuration. I think we should move away from using package.json and use something like next.config.js since it gives us more power than JSON.
An example is the issue for custom Webpack support: #40.
With a config like this you could do this for example:
// next.config.js

export default {
  webpack: (webpackConfig) => {
    const newConfig = { ...webpackConfig };
    newConfig.module.preloaders.push({ test: /\.js$/, loader: 'eslint-loader' });
    return newConfig;
  },
  cdn: false
}
Which is in my opinion better than creating a new file for webpack since this is more centralised. This does however still give users the option to use different files, for the webpack example:
// next.config.js

export default {
  webpack: require('./webpack').default,
  cdn: false
}
These are just my thoughts, I found out that I needed a sort of config file in .js when starting a PR for this project. Very curious what others think of this 😄.",12,56
233,2016-11-09T10:13:00Z,2016-11-14T04:43:31Z,2016-11-14T04:43:31Z,1,4,1,"support:
$ NODE_PATH=/my_node_modules next

# need to set NODE_PATH on both `build` and `start`
$ NODE_PATH=/my_node_modules next build
$ NODE_PATH=/my_node_modules next start",3,2
235,2016-11-09T19:33:48Z,2016-11-17T16:03:04Z,2016-11-17T16:03:04Z,1,4,0,Helpful pointer in the README about /static directory,5,3
250,2016-11-14T01:58:53Z,,2016-12-25T03:00:42Z,8,178,3,"Check this:


In order to do this, I have to introduce two new events to the ``. They are:

onStart - when the page navigation starts
onComplete - when the page navigation completes

Why not using onClick instead of onStart?
onClick gets called even any clicks including external navigations. That's why we need this event.",5,13
259,2016-11-15T08:35:46Z,2016-12-02T01:37:22Z,2016-12-02T01:37:22Z,11,128,46,"Adds test coverage using nyc and babel-plugin-istanbul, see #244

a few notes about this pull request

I've switched to using babel-core/register, which is easier to wire up with babel-plugin-istanbul.
I've moved babel settings into .babelrc, and in turn load these in gulpfile.js; both babel-register, and the build process need these same settings, and it seemed worthwhile to consolidate them.
I've introduced a few more dependencies:

coveralls: used to pipe lcov report to coveralls.io.
read-pkg-up: used to load the parent package.json (this is necessary because in test files are under lib/, but after building they are located in dist/lib.
babel-plugin-istanbul: istanbul plugin for instrumenting test coverage (only run when env is test).
nyc: command line tool for instrumenting tests, outputting reports, etc.
cross-env: pass environment to a script in a way that works on Windows.


I added a couple more tests, mainly to ensure that coverage was being computed accurately.

enabling coverage badge
To get the coverage bade working, someone with admin access to this repo will need to enable this project on https://coveralls.io/",4,9
264,2016-11-16T02:48:57Z,2016-12-02T01:22:15Z,2016-12-02T01:22:15Z,3,7,19,Following discussion #214,6,5
268,2016-11-17T17:39:42Z,2016-11-24T14:03:16Z,2016-11-24T14:03:16Z,9,171,85,"Fixes #214, #199
This PR introduces error rendering on client when runtime errors occurred on evaluating components or getInitialProps call.
(We don't display error page even if there is an error on React's lifecycle methods. I'm wondering if we should)
This will fixes parts of #230.
Some problems are  not solved yet mainly because of facebook/react#2461",3,6
270,2016-11-17T21:13:13Z,2016-11-17T23:06:54Z,2016-11-17T23:06:54Z,4,10,2,"Closes #237.
Sets UTF-8 as the default charset for pages without a <Head> or with a <Head> but no <meta charSet>.
If  <Head> has a <meta charSet> tag, that value will override the default.
Thanks for next! 😄",4,7
276,2016-11-18T23:06:00Z,2016-11-23T18:32:49Z,2016-11-23T18:32:49Z,9,72,234,"Fixes #236, #102
By using webpack-hot-middleware, we can use HMR from our server instead of running a dedicated server (webpack-dev-server).",4,8
