number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
4,2020-04-22T11:38:10Z,2020-04-23T13:50:49Z,2020-04-23T13:50:49Z,1,37,1,"Hey @yyx990803 thank you for putting this together, it will be super useful moving forward!
I was inspired by the idea to integrate support for snowpack and gave an initial integration a try.
This assumes you have run npx snowpack in the directory you're working on, so I'm not calling it an integration quite yet.
However, this supports having modules present in web_modules and serving them as named packages directly from there. Quick example:
index.html:
<div id=""app""></div>
<script type=""module"">
import { createApp } from 'vue'
import Comp from './Comp.vue'

createApp(Comp).mount('#app')
</script>

Comp.vue:
<template>
  <div>
    Today's date is: {{ dayjs().format('dddd MMMM D, YYYY') }}
  </div>
</template>

<script>
import dayjs from 'dayjs';
export default {
  methods: {
    dayjs
  }
}
</script>

Then run:
$ npm init -y
$ npm i --save dayjs
$ npx snowpack
$ npx vite

I'm curious to hear what you think about this.",3,2
5,2020-04-23T04:01:02Z,,2020-04-24T03:38:06Z,2,22,1,"You don't have to check my local IP when I want to access it on a device in the same LAN
For example:
npx vite

Running at:
  > http://127.0.0.1:3000
  > http://192.168.1.35:3000


And, fs.promises in src/server/utils.ts does not support some lower versions of node.
Use util.promisify to support > node 8",2,2
53,2020-05-05T12:38:28Z,2020-05-05T15:30:05Z,2020-05-05T15:30:05Z,3,37,13,,2,0
104,2020-05-09T10:58:55Z,2020-05-09T19:02:06Z,2020-05-09T19:02:06Z,2,2,1,Exposing moduleRewrite and compileSFCStyle for plugin creators,2,2
112,2020-05-10T07:51:51Z,,2020-05-10T22:18:13Z,1,9,8,,2,1
141,2020-05-14T10:26:22Z,2020-05-14T13:16:22Z,2020-05-14T13:16:22Z,3,7,6,Fixes #137,3,0
144,2020-05-14T15:44:58Z,2020-05-15T21:40:30Z,2020-05-15T21:40:30Z,3,32,7,"This PR adds an optional config option named shouldPreload that accepts a predicate function receiving a rollup OutputChunk and returns a boolean indicating whether to add a <link rel=""modulerepload"" href=""..."" /> to the index.html or not.
Open for feedback. Maybe a more generic solution would be to offer the ability of adding html processing plugins.",2,3
164,2020-05-16T12:12:42Z,,2020-05-18T22:31:39Z,5,59,27,fix #161.#160,2,1
170,2020-05-17T12:13:59Z,2020-05-18T21:09:33Z,2020-05-18T21:09:33Z,5,143,43,fix #158,2,0
172,2020-05-17T20:31:32Z,,2020-05-18T21:42:04Z,2,29,2,"As mentioned on #171, yarn 2.0 will fail without these dependencies declared. This PR did the following
yarn add etag mime-types @vue/compiler-dom",2,0
176,2020-05-18T06:07:09Z,2020-05-19T01:59:08Z,2020-05-19T01:59:08Z,4,27,23,"…tead of async(link load)
fix #175
Bug Reson
The updateStyle is async, because change href of link is async.The mounted hooks is invoked before css load.
Fix Soultion
Let css-load and css-update to be sync.",2,0
185,2020-05-19T07:16:00Z,2020-05-20T17:37:16Z,2020-05-20T17:37:16Z,7,163,63,"… logic clearly.
Other Bug Fix

Hmrshould full-reload correct html file.
The server html cache key should be path and value is parsed content.
The pre-code implement bust cache is throgh path, but set cache is throgh content.It can work because ecah get new content and parsed it and return it to client.",2,0
223,2020-05-22T05:45:13Z,2020-05-22T17:27:14Z,2020-05-22T17:27:14Z,9,78,17,,6,15
230,2020-05-22T19:21:39Z,2020-05-22T21:09:34Z,2020-05-22T21:09:34Z,1,9,3,"Fix: #228
Let me explain with this reproduce repo: https://github.com/csr632/test-vite/tree/wrong-resolve
When dev server is re-writing this module: test-package/es/index.js
vite go to this line:
https://github.com/csr632/vite/blob/ada8886e36578c7f43b7cd12bacd65e5a7c4c6e4/src/node/server/serverPluginModuleRewrite.ts#L243
with pathname being ""/@modules/test-package/es/nested"", which is not cached by idToFileMap:https://github.com/csr632/vite/blob/e786897134cb35ca19f4358c2829a82a1b3269e7/src/node/resolver.ts#L28
Previously defaultRequestToFile do nothing when this happen, and return path.join(root, publicPath.slice(1)), which doesn't make sense because publicPath is something like /@modules/test-package/es/nested.",2,0
