number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
436,2016-09-17T12:14:24Z,,2016-09-18T16:57:49Z,1,3,2,,2,1
446,2016-09-19T08:23:48Z,2016-09-20T07:59:54Z,2016-09-20T07:59:54Z,1,1,1,,2,0
447,2016-09-20T06:08:50Z,,2016-09-20T12:20:24Z,1,7,0,a nice tutorial from imooc.com,2,0
448,2016-09-20T07:32:54Z,2016-09-20T11:32:34Z,2016-09-20T11:32:34Z,1,2,0,"Add vue-2048 demo. 2048-game implemented using vue,webpack",2,1
449,2016-09-20T09:07:32Z,,2016-09-22T03:53:01Z,1,1,0,a nice tutorial on imooc.com,2,2
452,2016-09-22T01:28:10Z,,2016-11-14T17:37:43Z,2,278,206,"I noticed the star counts on several of the repositories were outdated, sometimes by quite a lot. Since it's helpful to have these and a pain to update them all manually, I wrote a small script that parses the README and uses the GitHub API to fetch the new count and update. To use the script you just need to define the GITHUB_USERNAME and GITHUB_TOKEN environment variables.
I made the text bold if the repository has more than 100 stars since that seemed to roughly the threshold which was already used.",3,4
464,2016-09-29T15:40:23Z,,2016-10-01T08:05:53Z,1,5,0,,2,0
465,2016-09-30T02:13:30Z,2016-09-30T17:43:01Z,2016-09-30T17:43:01Z,1,1,0,,2,0
466,2016-09-30T04:55:41Z,2016-09-30T17:43:43Z,2016-09-30T17:43:43Z,1,1,0,,2,0
469,2016-10-01T00:43:25Z,2016-10-02T13:54:53Z,2016-10-02T13:54:53Z,1,4,0,,2,0
470,2016-10-01T03:03:50Z,2016-10-03T01:35:30Z,2016-10-03T01:35:30Z,1,4,2,"dialog
off-canvas
focus-trap",2,2
471,2016-10-01T08:09:04Z,2016-10-02T13:56:13Z,2016-10-02T13:56:13Z,1,1,0,,2,0
475,2016-10-02T22:33:28Z,2016-10-03T01:38:12Z,2016-10-03T01:38:12Z,1,3,0,"Adding the new VueCluster framework to the docs. This framework utilizes the newest technologies such as Vue2, VueRouter2, Socketcluster, and a complete templating engine (Puglatizer).",2,0
477,2016-10-04T08:29:37Z,2016-10-04T09:53:27Z,2016-10-04T09:53:27Z,1,1,0,vue-ts-loader is a webpack loader for writing TypeScript in vue,2,0
479,2016-10-04T13:29:17Z,2016-10-05T06:51:18Z,2016-10-05T06:51:18Z,1,1,0,,2,0
480,2016-10-06T00:08:16Z,2016-10-06T03:15:26Z,2016-10-06T03:15:26Z,1,1,0,This plugin search places (not only address) using GoogleMaps api.,2,2
482,2016-10-06T09:28:15Z,2016-10-07T02:27:57Z,2016-10-07T02:27:57Z,1,2,0,A table with pagination,2,0
483,2016-10-06T15:34:36Z,2016-10-19T16:53:57Z,2016-10-19T16:53:57Z,1,9,0,"Added wijmo to readme in these sections:
Tutorials

How to build apps with Wijmo and VueJS
Component Collections
Wijmo
UI Components
FlexGrid
FlexChart
Input
Gauges",3,3
484,2016-10-06T21:18:01Z,2016-10-09T01:46:48Z,2016-10-09T01:46:48Z,1,1,0,"Added express-vue to readme, this plugin allows you to use vue files as your views in express",2,0
486,2016-10-08T05:51:12Z,,2016-10-09T10:20:54Z,1,2,0,add vue-lazyloadimg and vue-dropload plugin.,2,3
487,2016-10-08T06:11:09Z,2016-10-09T01:47:03Z,2016-10-09T01:47:03Z,1,2,2,,2,0
488,2016-10-08T09:31:40Z,2016-10-09T01:49:10Z,2016-10-09T01:49:10Z,1,4,0,"vue-awesome-swiper
vue-touch-ripple
vue-codemirror
vue-video-player",3,0
489,2016-10-08T11:49:11Z,2016-10-09T01:50:48Z,2016-10-09T01:50:48Z,1,1,0,"Vue 2.0 boilerplate，based on webpack and es6，includes vuex，vue-router，vue-resource, vue-auth",2,0
490,2016-10-08T15:10:15Z,2016-10-09T01:51:31Z,2016-10-09T01:51:31Z,1,1,1,Unimportance,2,0
493,2016-10-09T02:15:11Z,2016-10-09T10:26:17Z,2016-10-09T10:26:17Z,1,2,0,"add vue-lazyloadimg
add vue-dropload",2,0
496,2016-10-10T12:07:19Z,2016-10-12T15:49:52Z,2016-10-12T15:49:52Z,1,6,4,I added two projects (one in Projects Using Vue.js and one in Boilerplates) and add the agency related to 2 other projects using Vue.,2,0
507,2016-10-13T16:32:39Z,2016-10-14T05:15:01Z,2016-10-14T05:15:01Z,1,1,1,,2,0
509,2016-10-16T23:09:31Z,,2016-10-19T00:47:34Z,1,2,1,"vue.js2 Tutorials , in youtube, daibuyun, and code demo on github",2,0
517,2016-10-20T01:50:08Z,2016-10-20T04:36:50Z,2016-10-20T04:36:50Z,1,0,3,"rodzzlessa24 deleted a couple of his repos, and obviously they all 404 now",2,0
519,2016-10-20T07:01:27Z,2016-10-20T09:49:23Z,2016-10-20T09:49:23Z,1,2,2,https://github.com/bhnddowinf/vuejs2-learn udpate,2,0
521,2016-10-21T02:33:43Z,2016-10-21T10:49:26Z,2016-10-21T10:49:26Z,1,1,0,"Add vue tree view component
vue-tree
Demo",2,2
525,2016-10-21T17:21:46Z,2016-10-25T07:24:23Z,2016-10-25T07:24:23Z,1,1,1,,2,0
526,2016-10-21T19:39:47Z,2016-10-25T07:22:34Z,2016-10-25T07:22:34Z,1,1,1,Quick commit to fix the hyperlink to vuejs-firebase.,2,0
528,2016-10-22T17:43:43Z,2016-10-25T07:23:59Z,2016-10-25T07:23:59Z,1,2,1,Sorry for breaking the rules and not appending the entry. I did this because medium-editor is a more healthy project and should be preferred over vue-medium.js. Also updated star count on vue-medium.js.,2,0
529,2016-10-23T13:36:36Z,2016-10-25T07:25:13Z,2016-10-25T07:25:13Z,1,2,1,add vue-img-loader UI component,2,0
530,2016-10-23T18:01:49Z,2016-10-25T07:26:19Z,2016-10-25T07:26:20Z,1,1,0,"Hi!
Thank you for this awesome list 👏",2,0
532,2016-10-25T08:40:24Z,2016-10-25T09:59:34Z,2016-10-25T09:59:34Z,1,1,0,,2,0
533,2016-10-25T15:15:21Z,,2016-10-26T01:23:22Z,1,1,0,Add vue chart component,2,0
536,2016-10-25T20:45:05Z,2016-10-26T01:14:42Z,2016-10-26T01:14:42Z,1,1,0,Vue typewriter component,2,0
537,2016-10-25T21:44:43Z,2016-10-26T00:31:47Z,2016-10-26T00:31:47Z,1,6,1,,2,0
538,2016-10-26T00:58:37Z,,2016-10-26T02:24:03Z,1,2,0,,2,0
539,2016-10-26T01:26:45Z,2016-10-26T02:27:41Z,2016-10-26T02:27:41Z,1,1,0,Add vue-charts,2,0
542,2016-10-26T09:47:02Z,2016-10-27T16:50:08Z,2016-10-27T16:50:08Z,1,1,1,,2,0
543,2016-10-27T04:04:20Z,2016-10-27T17:04:20Z,2016-10-27T17:04:20Z,2,10,4,,2,0
544,2016-10-27T13:56:40Z,2016-10-27T16:57:12Z,2016-10-27T16:57:12Z,1,1,0,,2,0
546,2016-10-28T14:06:44Z,2016-10-29T17:07:30Z,2016-10-29T17:07:30Z,1,1,1,This updates and reformat stars ^_^,2,0
547,2016-10-28T14:08:30Z,2016-10-29T17:09:40Z,2016-10-29T17:09:40Z,1,1,0,,2,0
548,2016-10-28T20:18:48Z,2016-10-29T17:10:58Z,2016-10-29T17:10:58Z,1,2,1,Threw my hat into the ring for an input validation mixin,2,0
549,2016-10-28T22:07:40Z,2016-10-29T17:11:21Z,2016-10-29T17:11:21Z,1,1,1,,2,0
550,2016-10-29T05:53:23Z,2016-10-29T17:11:42Z,2016-10-29T17:11:42Z,1,1,1,Update vue-charts star and descripttion,2,0
551,2016-10-29T07:08:32Z,2016-10-29T17:12:00Z,2016-10-29T17:12:00Z,1,2,2,,2,0
552,2016-10-29T07:39:49Z,2016-10-29T17:12:47Z,2016-10-29T17:12:47Z,1,3,1,,2,0
553,2016-10-29T09:41:44Z,2016-10-29T17:14:25Z,2016-10-29T17:14:25Z,1,1,0,💫 vue ∞ scroll,2,0
554,2016-10-29T15:39:24Z,2016-10-29T17:16:51Z,2016-10-29T17:16:51Z,1,1,0,,2,0
555,2016-10-29T21:36:43Z,2016-10-30T04:59:05Z,2016-10-30T04:59:05Z,1,1,0,,2,0
557,2016-10-30T13:21:48Z,2016-11-01T08:33:26Z,2016-11-01T08:33:26Z,1,3,1,added Vue-Easy-Validator & updated Vue-Laravel-Validator,2,0
558,2016-10-30T19:00:38Z,2016-11-01T08:34:20Z,2016-11-01T08:34:20Z,1,1,0,,2,0
560,2016-10-30T22:23:05Z,2016-11-01T08:35:39Z,2016-11-01T08:35:39Z,1,1,0,,2,0
561,2016-10-31T08:36:41Z,2016-11-01T12:08:10Z,2016-11-01T12:08:10Z,1,1,0,"Hi,
I've added to the list my latest package that collects some prop definition in a React.Proptypeslike interface.
Relevant discussion in the forum: http://forum.vuejs.org/t/vue-prop-types-definitions-package/2264/6",2,2
564,2016-11-01T22:06:49Z,2016-11-02T14:24:51Z,2016-11-02T14:24:51Z,1,1,0,,2,1
571,2016-11-03T18:19:27Z,2016-11-04T09:18:04Z,2016-11-04T09:18:04Z,1,1,0,"lazy-vue is the easiest way to get a lazy image loader working within your vue projects. It is meant to be as simplest as possible, so you do not have to be pulling complicated libraries to accomplish such a task.",2,0
573,2016-11-05T08:59:53Z,2016-11-06T00:51:10Z,2016-11-06T00:51:10Z,1,1,0,".vue file transformer for rails assets pipeline
https://github.com/kikyous/sprockets-vue",2,0
574,2016-11-06T13:38:42Z,2016-11-06T15:07:22Z,2016-11-06T15:07:22Z,1,1,0,,2,0
575,2016-11-07T09:49:05Z,2016-11-07T15:11:39Z,2016-11-07T15:11:39Z,1,2,2,,2,0
577,2016-11-08T03:09:37Z,,2016-11-14T07:28:25Z,1,9,0,There is a scroller component with function pull down refresh and pull up load more. it base iscroll-lite.,2,0
578,2016-11-08T10:28:07Z,2016-11-08T15:29:12Z,2016-11-08T15:29:12Z,1,1,0,,2,0
579,2016-11-08T15:57:33Z,2016-11-09T15:03:04Z,2016-11-09T15:03:04Z,1,1,1,,2,0
580,2016-11-09T04:25:37Z,2016-11-09T15:04:07Z,2016-11-09T15:04:07Z,1,2,1,,2,0
581,2016-11-09T06:08:26Z,2016-11-09T15:04:42Z,2016-11-09T15:04:42Z,1,1,0,,2,0
582,2016-11-09T12:16:33Z,2016-11-09T23:08:45Z,2016-11-09T23:08:45Z,1,3,3,,3,1
584,2016-11-10T08:01:26Z,,2016-12-05T18:37:51Z,1,1,0,,3,5
587,2016-11-10T20:20:03Z,2016-11-10T21:31:04Z,2016-11-10T21:31:04Z,1,1,1,,2,0
588,2016-11-11T15:59:14Z,2016-11-13T06:16:09Z,2016-11-13T06:16:09Z,1,1,0,Add a blog CMS powered by Vue2.0 as an example,2,1
589,2016-11-11T18:59:49Z,2016-11-12T21:42:36Z,2016-11-12T21:42:36Z,1,1,0,,2,1
