number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
3181,2016-06-29T16:30:33Z,2016-06-30T15:01:37Z,2016-06-30T15:01:37Z,1,117,0,reference: #3177,3,0
3656,2016-09-10T20:25:14Z,2016-09-11T14:54:47Z,2016-09-11T14:54:47Z,1,5,1,"Adding an undefined property to methods on vue components leads to a very ambiguous error message: Uncaught TypeError: Cannot read property 'length' of undefined
Example:
import stuff from './stuff'

export default {
  template: '...',
  methods: {
    someMethod: stuff.someMetod // typo!!!
  }
}
It's an easy mistake to make. This checks for undefined properties and warns if it finds one.",4,0
3659,2016-09-12T03:20:27Z,,2016-10-12T04:56:07Z,1,7,0,"Currently using vm.$set with only two arguments, as in Vue.js 1 results in a somewhat cryptic TypeError.
Uncaught TypeError: Cannot create property [VAL] on string [KEY]

Since it would appear that in no scenario can set take less than three arguments, I've added a development warning in this case that directs the user to the new documentation for Vue.set:
Set now requires you to specify the object you are modifying as the first argument. See: http://rc.vuejs.org/api/#Vue-set

I understand if this is deemed not needed or potentially volatile due to the fact it references the temporary rc.vuejs.org site. Just thought it might be useful to users who are migrating as the difference isn't immediately clear. I answered this exact question twice on Gittr within two hours.
Thanks!",5,0
3710,2016-09-20T20:00:18Z,,2016-10-12T04:56:07Z,5,124,1,"Function as a child is a very powerful pattern employed in react.  It allows the consumer of a component to choose how to render a component, while having access to data passed down by the parent.
It is similar to slots, in a way, except slots only gain you access to the data in the hosting component.
For more information on the possibilities that this pattern enables, please see this blog post, this presentation from Ryan Florence at React Rally, as well as the new API for React Router 4.0.
Before I go on, I do want to say that the pattern is achievable right now using props:
It is possible now to mimic this using props with the following pattern:
const ComponentWithInfo = {
    props: ['render'],
    render (h) {
       return this.render('Hello, World');
    }
}

new Vue({
    render (h) {
         return <ComponentWithData render={data => <span>{data}</span>}></ComponentWithData>
    }
})

However, ""first-class"" support would be nice.
As far as the vue flavor, the API looks like this:
const ComponentWithInfo = {
    render (h) {
       return this.$slots.default('Hello, World')
    }
}

new Vue({
    render (h) {
         return <ComponentWithData>{data => <span>{data}</span>}</ComponentWithData>
    }
})

A couple of things:

In my implementation, if an array is passed for children, and any of the children are a function, that will throw away all children, except for the function
I understand that there is an API freeze, but this is not breaking any existing APIs, only adding on.
Please feel free to reject this specific PR, although if you do, I think this is worthwhile feature to consider.",3,5
3765,2016-09-26T04:17:05Z,2016-09-28T19:04:08Z,2016-09-28T19:04:08Z,2,15,1,"According to the doc, $refs is a dictionary of Vue instance or Element. This pull request reflect this by a union type. So users can declare html elements in $refs.
A test is also added. User defined components may have better knowledge about $refs' data structure. So users can also reify special properties to more specific types.
@ktsn your review is appreciated, thanks.",3,3
3776,2016-09-26T14:13:46Z,2016-09-27T18:37:50Z,2016-09-27T18:37:50Z,2,6,4,"fix #3768
Object.keys(groupedMap) returns an array whose elements are strings, so it breaks the sort function.",4,5
3793,2016-09-27T22:38:15Z,2016-09-28T19:33:29Z,2016-09-28T19:33:29Z,2,17,0,"Hi,
Open to different wording on the error & I wasn't sure where to put these tests so I've put them in a new file for now.
An alternative to this PR would be something like:
function Vue (options) {
+  if (!(this instanceof Vue)) {
+    return new Vue(options)
+  }
   this._init(options)
}
I'm not sure which would be better in the long run but the alternative would be more forgiving.
I could also wrap this in env check so this is left out of the production build, but it's also not a lot of code to leave in.
Let me know what you think.",3,2
3803,2016-09-28T16:21:38Z,2016-09-28T19:32:59Z,2016-09-28T19:32:59Z,1,4,2,Fix for #3798,2,0
3818,2016-09-30T04:47:28Z,2016-09-30T17:57:39Z,2016-09-30T17:57:39Z,6,49,10,"According to 06b4703, namespace has been removed, so I updated the types.
Also, I fixed the first argument of $createElement.
In addition, add FunctionalComponentOptions to Vue.extend",5,2
3826,2016-10-01T17:31:48Z,2016-10-05T19:13:14Z,2016-10-05T19:13:14Z,2,17,2,It may be a better way to move the textnode out of the static render tree,3,0
