number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
89,2023-04-23T21:51:40Z,2023-04-25T10:24:35Z,2023-04-25T10:24:35Z,6,613,387,"added new class Poe this will be used as an entry point
added selenium for signup/login into poe.com
added code to save cookie to a file, this will be used from next time onwards, if expires it will try to register again
added fake-useragent module, we can use this instead of static string",2,3
100,2023-04-24T15:54:11Z,2023-04-24T18:08:55Z,2023-04-24T18:08:55Z,3,48,1,,4,2
101,2023-04-24T15:54:42Z,2023-04-24T18:09:16Z,2023-04-24T18:09:16Z,1,1,1,"In line 17 the word ""install"" was missing the ""s""!",3,1
130,2023-04-25T18:01:25Z,2023-04-26T07:55:12Z,2023-04-26T07:55:12Z,1,21,24,"Changes:

I turned the table of contents into an actual table and added the new sections as well (docker, GUI, etc).
I made a Colab notebook with a quora example usage
I added a status column to specify which APIs are active or not

I didn't add the notebook file to the repo because I might change it constantly, but you can check it out here
btw I noticed you already removed some of the APIs, but I still left them in the table of contents as ""inactive"", but you can remove those rows completely from the table I made",3,7
139,2023-04-26T03:51:48Z,2023-04-26T07:56:20Z,2023-04-26T07:56:20Z,1,1,0,update new gpt4/gpt3.5 website https://chat.forefront.ai/,3,0
200,2023-04-27T12:48:24Z,,2023-04-27T14:42:56Z,33,675,661,"Please review and merge so I can push new code, the code was automatically formatted using PyCharm with no intervention from my part.",5,7
210,2023-04-27T17:34:01Z,,2023-04-28T08:01:57Z,1,1,0,Wahtsapp,4,2
218,2023-04-27T21:23:00Z,,2023-04-29T08:53:01Z,71,1357,518,"added wrapper module for using all API's
moved all sub-packages(quora, you and theb etc..) inside openai_rev
added pyproject.toml",3,7
246,2023-04-28T10:44:18Z,,2023-04-28T11:50:55Z,1,3,3,Indentation error line 42 try and except,2,0
281,2023-04-29T13:31:32Z,2023-04-30T11:15:59Z,2023-04-30T11:15:59Z,2,83,50,,4,6
287,2023-04-29T18:40:09Z,2023-04-30T11:19:14Z,2023-04-30T11:19:14Z,3,48,15,"Added some docstrings because it took some time to understand the code.
Provided type hints.
Moved constant related variables to class constants.
Added an exception statements, hence the code is more robust.",4,1
468,2023-05-05T11:32:40Z,2023-05-07T20:00:38Z,2023-05-07T20:00:38Z,1,1,3,Please do as much as possible in 1 RUN command. This is how it is intended. (Docker BP),4,2
598,2023-05-23T19:46:50Z,2023-05-24T17:40:12Z,2023-05-24T17:40:12Z,1,4,1,"Fixed issue:
message_id = mail_client.message_list()[0][""id""]  # <--- Error raised here
IndexError: list index out of range

Added:
...
while True:
        time.sleep(5)
        messages = mail_client.message_list()
        
        # Check if method `message_list()` didn't return None or empty list.
        if not messages or len(messages) == 0:
            # If it returned None or empty list just 'continue'.
            continue
    
...

Now, email confirmation looks like this:
...
while True:
        time.sleep(5)
        messages = mail_client.message_list()
        
        # Check if method `message_list()` didn't return None or empty list.
        if not messages or len(messages) == 0:
            # If it returned None or empty list just 'continue'.
            continue
        
        message_id = messages[0][""id""]  # <--- Error was here
        message = mail_client.message(message_id)
        verification_url = re.findall(
            r""http:\/\/ai\.usesless\.com\/api\/cms\/auth\/email-confirmation\?confirmation=\w.+\w\w"",
            message[""text""],
        )[0]
        if verification_url:
            break
...

Confirmation:
No need to test the snippet. Code was tested just by running and it prevents IndexError. However, the confirmation message is not being received on temporary mail (not my problem, but we will try to determine the error and find a new solution)",2,0
602,2023-05-25T11:52:45Z,,2023-05-28T00:38:06Z,1,1,1,Remove forced Streamlit version. You're breaking other software that uses GPT4Free and Streamlit for their own apps by forcing this.,4,1
693,2023-06-27T16:30:37Z,2023-08-07T11:23:42Z,2023-08-07T11:23:42Z,1,13,12,"The error you are encountering is related to attempting to use the default asyncio event loop within a non-main thread. asyncio expects you to use the default event loop only in the main thread.
To resolve this issue, asyncio.new_event_loop() was used instead of asyncio.get_event_loop() to create a new event loop for the current thread.",3,0
706,2023-06-30T03:10:39Z,,2023-08-16T16:05:43Z,1,44,29,Update:Make streaming responses more like the OpenAI API.,5,3
777,2023-07-27T12:08:46Z,2023-08-07T11:21:04Z,2023-08-07T11:21:04Z,1,31,0,"Way too many issues have been piling up with their authors disappearing and never closing them. At the same time, lots of the unmerged PRs remain completely unanswered due to their sheer irrelevance. Closing both would clean up a big portion of the clutter lingering on the project's page.",3,1
792,2023-08-08T08:53:14Z,2023-08-13T22:35:45Z,2023-08-13T22:35:45Z,1,22,15,"Change model address and add proxy & session for pass cloudflare auth on requests.

Change request url
Change header parameters
Add proxy
Used request session",3,1
824,2023-08-18T18:01:54Z,,2023-08-25T16:22:49Z,1,2,2,,3,0
830,2023-08-20T19:12:51Z,2023-08-22T14:35:15Z,2023-08-22T14:35:15Z,1,4,4,,3,0
832,2023-08-22T07:14:30Z,2023-08-22T14:36:10Z,2023-08-22T14:36:10Z,4,13,5,,4,2
835,2023-08-24T01:46:03Z,2023-09-11T11:35:01Z,2023-09-11T11:35:01Z,3,128,16,"Overview:
This PR introduces Docker support to simplify the setup and usage of the gpt4free project, making it more accessible to developers and ensuring a consistent environment.
Changes:

Added Dockerfile to define the container environment.
Added docker-compose.yml for easy setup and orchestration.
Updated README.md with instructions on how to use Docker to set up and run the project.

How to Test:

Ensure Docker and docker-compose are installed.
Clone this branch.
Run docker-compose up from the project root.
The application should be accessible at http://localhost:1337.

Please review and provide feedback. If there are any issues or improvements needed, I'm open to making the necessary changes. Thank you for considering this contribution!",4,5
839,2023-08-24T10:30:04Z,2023-08-25T16:19:24Z,2023-08-25T16:19:24Z,2,67,0,from #40 (comment),3,0
873,2023-09-02T02:51:53Z,2023-09-07T17:45:05Z,2023-09-07T17:45:05Z,21,501,574,,3,10
894,2023-09-11T22:49:33Z,2023-09-12T09:37:21Z,2023-09-12T09:37:21Z,17,404,130,,4,1
924,2023-09-20T04:13:57Z,2023-09-22T19:40:59Z,2023-09-22T19:40:59Z,16,381,127,"Improve error handling in ChatgptLogin
Cache ""snlm0e"" in Bard
Fix issue: #913",4,3
