number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
1,2017-09-25T06:25:27Z,2017-09-25T08:03:20Z,2017-09-25T08:03:20Z,1,1,1,,2,0
3,2017-09-25T21:27:24Z,2017-09-25T23:39:01Z,2017-09-25T23:39:01Z,1,2,2,,2,1
9,2017-09-28T16:00:37Z,2017-09-30T13:51:37Z,2017-09-30T13:51:37Z,2,14,14,Really just a personal preference. Feel free to reject if you want to keep it as is.,2,5
17,2017-10-01T15:57:48Z,2017-10-01T17:20:37Z,2017-10-01T17:20:37Z,1,2,2,"Great guide, thanks for assembling all these resources. Just a few edits that clarify some of the language!",2,2
30,2017-10-03T21:42:09Z,2017-10-04T17:00:29Z,2017-10-04T17:00:29Z,1,17,0,,2,3
38,2017-10-09T18:01:44Z,2017-10-10T02:48:24Z,2017-10-10T02:48:24Z,1,54,0,,2,2
96,2018-01-20T06:08:46Z,,2018-01-20T17:31:26Z,2,29,0,This Question is basically on Hashing Technique usually asked in Interview Question,2,1
99,2018-03-29T06:41:32Z,2018-03-29T07:49:40Z,2018-03-29T07:49:40Z,1,12,12,"Did some cleanup RE the phrasing and grammar of some of the questions, making them more consistent.",2,1
107,2018-10-12T19:22:26Z,2018-10-13T00:17:37Z,2018-10-13T00:17:37Z,1,1,1,Fixed typo,2,1
114,2018-10-31T09:53:18Z,2018-10-31T17:25:19Z,2018-10-31T17:25:19Z,2,2,2,"Fixes issue #113


Fixed a typo in tech-interview-handbook/blob/master/preparing/README.md on line 70.
Original word - oppurtunities.
Changed to - opportunities.


Fixed a typo in tech-interview-handbook/blob/master/interviewers/basics.md on line 19.
Original word - psuedocode.
Changed to - pseudocode.",2,1
121,2019-03-27T11:34:56Z,2019-07-14T23:03:19Z,2019-07-14T23:03:19Z,1,1,1,,2,0
123,2019-06-05T13:36:20Z,2019-07-14T23:05:17Z,2019-07-14T23:05:17Z,1,1,1,There was no link to Longest Common Subsequence and there was no question on leetcode for it. I placed a geeksforgeeks link to this problem which has solutions and explanation.,2,0
127,2019-08-18T17:17:19Z,2019-08-18T21:00:43Z,2019-08-18T21:00:43Z,1,1,1,"Disclosure: I'm one of the makers of Levels.fyi.
This is obviously a big red flag that I'm adding a reference to a site I have an interest in. I think the community would find our data useful and more accurate than alternatives. A quick search on Google would bring up that folks regularly consult data on our site over say Glassdoor, etc.",2,1
131,2019-08-20T14:06:48Z,2019-08-20T16:08:16Z,2019-08-20T16:08:16Z,1,5,6,Just minor raw HTML consistency changes,2,0
133,2019-08-24T07:27:04Z,2019-08-24T12:53:57Z,2019-08-24T12:53:57Z,1,1,1,Fix broken url for Interview formats on README.md,2,0
134,2019-08-25T05:49:25Z,2019-08-25T13:37:54Z,2019-08-25T13:37:54Z,1,0,1,,2,1
137,2019-09-08T05:29:07Z,2019-09-13T18:46:55Z,2019-09-13T18:46:55Z,1,52,8,"The changes I'm planning are as follows:

The current method for traversing graphs (represented as 2D grids) shows a
recursive implementation. I'm following an iterative implementation that uses
deque data structure which can function as either a queue (for BFS) and
stack (for DFS) to provide more effecient insertion and deletion operations.
Using namedtuple data structure to use x or y to access coordinates in
place of indices.
Add a placeholder function is_valid to check for those cells that may be
invalid (this function will vary as per what the question requires)
Insert into the deque first and check if the nodes are valid later(as
opposed to checking boundary conditions and visited/valid seperately)",3,5
138,2019-09-11T04:01:29Z,2019-09-11T10:21:27Z,2019-09-11T10:21:27Z,1,1,1,"Hello, I was reading the handbook (great job here btw) and notice this typo.",2,0
142,2019-09-21T17:55:29Z,2019-09-21T20:09:22Z,2019-09-21T20:09:22Z,1,1,1,"I've been reading through this handbook (very helpful and amazing, btw) and noticed a typo in the Phone Interview section. I also changed the tense to make a bit more sense.",2,0
144,2019-09-21T21:34:26Z,2019-09-21T22:53:00Z,2019-09-21T22:53:01Z,1,1,1,"Fixes #143
behaioral -> behavioral",2,0
150,2019-12-26T23:14:47Z,2019-12-31T11:42:57Z,2019-12-31T11:42:57Z,1,1,1,,2,0
152,2020-01-07T04:04:20Z,2020-03-15T05:23:56Z,2020-03-15T05:23:56Z,2,17,0,"Hi! there 🙂
This PR simplifies code contributions by adding configuration for gitpod (A Free online VS Code like Ide). With a single click, it will launch a ready to code workspace with all the dependencies being pre-installed & the start & build scripts in process so that anyone interested in contributing can start coding straight away without wasting any time on dev setup.
You can give it a try on My Fork of the repo:
https://gitpod.io/#https://github.com/nisarhassan12/tech-interview-handbook",2,1
156,2020-03-02T11:19:57Z,2020-03-15T05:24:49Z,2020-03-15T05:24:49Z,1,1,0,,2,0
157,2020-03-05T17:11:43Z,2020-03-06T16:41:49Z,2020-03-06T16:41:49Z,1,1,1,,3,0
158,2020-03-05T17:24:18Z,2020-03-06T16:40:54Z,2020-03-06T16:40:54Z,1,1,1,,3,0
162,2020-04-22T01:38:56Z,,2020-04-22T02:57:52Z,1,4,0,Added an article found online that guides a reader on the logic of permutations in programming.,3,0
