name_with_owner,stars,created_at
freeCodeCamp/freeCodeCamp,387160,2014-12-24
EbookFoundation/free-programming-books,318944,2013-10-11
sindresorhus/awesome,298563,2014-07-11
public-apis/public-apis,291249,2016-03-20
jwasham/coding-interview-university,282386,2016-06-06
kamranahmedse/developer-roadmap,273317,2017-03-15
996icu/996.ICU,268997,2019-03-26
codecrafters-io/build-your-own-x,255815,2018-05-09
donnemartin/system-design-primer,252202,2017-02-26
facebook/react,221361,2013-05-24
vuejs/vue,206835,2013-07-29
vinta/awesome-python,204063,2014-06-27
tensorflow/tensorflow,182217,2015-11-07
trekhleb/javascript-algorithms,181709,2018-03-24
TheAlgorithms/Python,178075,2016-07-16
awesome-selfhosted/awesome-selfhosted,176741,2015-06-01
getify/You-Dont-Know-JS,176051,2013-11-16
CyC2018/CS-Notes,171993,2018-02-13
torvalds/linux,169548,2011-09-04
ohmyzsh/ohmyzsh,168405,2009-08-28
twbs/bootstrap,167348,2011-07-29
practical-tutorials/project-based-learning,166039,2017-04-12
ossu/computer-science,162313,2014-05-04
flutter/flutter,161552,2015-03-06
Significant-Gravitas/AutoGPT,160820,2023-03-16
microsoft/vscode,157881,2015-09-03
github/gitignore,157408,2010-11-08
jackfrued/Python-100-Days,149648,2018-03-01
jlevy/the-art-of-command-line,148347,2015-05-20
Snailclimb/JavaGuide,142851,2018-05-07
airbnb/javascript,141548,2012-11-01
trimstray/the-book-of-secret-knowledge,128537,2018-06-23
AUTOMATIC1111/stable-diffusion-webui,128525,2022-08-22
ytdl-org/youtube-dl,128272,2010-10-31
huggingface/transformers,124261,2018-10-29
labuladong/fucking-algorithm,123235,2020-02-19
vercel/next.js,120193,2016-10-05
avelino/awesome-go,120164,2014-07-06
golang/go,119328,2014-08-19
Chalarangelo/30-seconds-of-code,118966,2017-11-29
facebook/react-native,115516,2015-01-09
electron/electron,111824,2013-04-12
yangshun/tech-interview-handbook,109217,2016-07-05
justjavac/free-programming-books-zh_CN,109024,2013-11-04
d3/d3,107580,2010-09-27
kubernetes/kubernetes,106523,2014-06-06
microsoft/PowerToys,104027,2019-05-01
axios/axios,103924,2014-08-18
nodejs/node,103534,2014-11-26
f/awesome-chatgpt-prompts,103027,2022-12-05
facebook/create-react-app,101811,2016-07-17
Genymobile/scrcpy,101435,2017-11-21
mrdoob/three.js,98667,2010-03-23
microsoft/TypeScript,97780,2014-06-17
goldbergyoni/nodebestpractices,96165,2017-09-15
angular/angular,94403,2014-09-18
microsoft/terminal,93365,2017-08-11
denoland/deno,92822,2018-05-15
rust-lang/rust,92601,2010-06-16
mui/material-ui,91459,2014-08-18
ant-design/ant-design,90069,2015-04-24
ryanmcdermott/clean-code-javascript,89528,2016-11-25
GrowingGit/GitHub-Chinese-Top-Charts,88168,2019-09-05
puppeteer/puppeteer,86672,2017-05-09
iluwatar/java-design-patterns,86317,2014-08-09
PanJiaChen/vue-element-admin,86230,2017-04-17
521xueweihan/HelloGitHub,84464,2016-05-04
ripienaar/free-for-dev,83485,2015-03-18
papers-we-love/papers-we-love,83044,2013-12-15
godotengine/godot,82766,2014-01-04
storybookjs/storybook,82699,2016-03-18
nvbn/thefuck,82660,2015-04-08
langchain-ai/langchain,82116,2022-10-17
microsoft/Web-Dev-For-Beginners,81334,2020-11-10
animate-css/animate.css,79695,2011-10-12
fatedier/frp,79281,2015-12-21
gothinkster/realworld,78188,2016-02-26
tailwindlabs/tailwindcss,78059,2017-10-06
iptv-org/iptv,77772,2018-11-14
pytorch/pytorch,77509,2016-08-13
tauri-apps/tauri,76957,2019-07-13
Hack-with-Github/Awesome-Hacking,76858,2016-03-30
mtdvio/every-programmer-should-know,76723,2017-08-24
laravel/laravel,76696,2011-06-08
django/django,76596,2012-04-28
tensorflow/models,76560,2016-02-05
sveltejs/svelte,76287,2016-11-20
neovim/neovim,76184,2014-01-31
bitcoin/bitcoin,75468,2010-12-19
nvm-sh/nvm,75375,2010-04-15
opencv/opencv,75314,2012-07-19
gin-gonic/gin,75295,2014-06-16
macrozheng/mall,75181,2018-04-04
tonsky/FiraCode,75153,2014-11-11
MisterBooo/LeetCodeAnimation,74936,2018-12-06
florinpop17/app-ideas,74755,2019-02-25
krahets/hello-algo,74547,2022-11-04
doocs/advanced-java,74121,2018-10-06
FortAwesome/Font-Awesome,72974,2012-02-17
spring-projects/spring-boot,72592,2012-10-19
gohugoio/hugo,72333,2013-07-04
excalidraw/excalidraw,72266,2020-01-02
jaywcjlove/awesome-mac,71085,2016-07-17
typicode/json-server,71072,2013-11-27
vuejs/awesome-vue,70863,2015-10-20
massgravel/Microsoft-Activation-Scripts,70602,2020-01-12
tiangolo/fastapi,70537,2018-12-08
oven-sh/bun,70230,2021-04-14
yt-dlp/yt-dlp,69911,2020-10-26
home-assistant/core,68391,2013-09-17
netdata/netdata,68004,2013-06-17
moby/moby,67664,2013-01-18
elastic/elasticsearch,67411,2010-02-08
thedaviddias/Front-End-Checklist,67371,2017-10-16
ChatGPTNextWeb/ChatGPT-Next-Web,67290,2023-03-10
base-org/node,67090,2023-02-01
hakimel/reveal.js,66834,2011-06-07
microsoft/ML-For-Beginners,66756,2021-03-03
DopplerHQ/awesome-interview-questions,66676,2015-11-28
mermaid-js/mermaid,66668,2014-11-01
pallets/flask,66258,2010-04-06
apple/swift,65816,2015-10-23
supabase/supabase,65239,2019-10-12
CompVis/stable-diffusion,65153,2022-08-10
coder/code-server,65102,2019-02-27
Developer-Y/cs-video-courses,64706,2016-10-21
redis/redis,64632,2009-03-21
vitejs/vite,64493,2020-04-21
anuraghazra/github-readme-stats,64455,2020-07-09
webpack/webpack,64138,2012-03-10
nestjs/nest,64092,2017-02-04
expressjs/express,63692,2009-06-26
nomic-ai/gpt4all,63569,2023-03-27
fighting41love/funNLP,63559,2018-08-21
protocolbuffers/protobuf,63514,2014-08-26
MunGell/awesome-for-beginners,63428,2015-10-24
josephmisiti/awesome-machine-learning,63394,2014-07-15
chartjs/Chart.js,63353,2013-03-17
bregman-arie/devops-exercises,63192,2019-10-03
FuelLabs/sway,63177,2021-01-19
rustdesk/rustdesk,62339,2020-09-28
enaqx/awesome-react,61771,2014-08-06
leonardomso/33-js-concepts,61760,2018-09-04
kdn251/interviews,61493,2017-02-14
resume/resume.github.com,61377,2011-02-06
microsoft/playwright,61374,2019-11-15
twitter/the-algorithm,61276,2023-03-27
ansible/ansible,61043,2012-03-06
keras-team/keras,60877,2015-03-28
2dust/v2rayN,60791,2019-07-30
reduxjs/redux,60433,2015-05-29
grafana/grafana,60209,2013-12-11
socketio/socket.io,60083,2010-03-11
atom/atom,59956,2012-01-20
Anduin2017/HowToCook,59952,2020-02-29
hoppscotch/hoppscotch,59918,2019-08-21
strapi/strapi,59780,2015-09-30
openai/whisper,59683,2022-09-16
adam-p/markdown-here,59477,2012-05-13
python/cpython,59412,2017-02-10
lydiahallie/javascript-questions,59397,2019-06-12
junegunn/fzf,59329,2013-10-23
syncthing/syncthing,59287,2013-11-26
kelseyhightower/nocode,59268,2018-02-06
xingshaocheng/architect-awesome,59209,2018-04-06
angular/angular.js,58932,2010-01-06
h5bp/Front-end-Developer-Interview-Questions,58928,2012-02-09
jquery/jquery,58856,2009-04-03
apache/echarts,58833,2013-04-03
lodash/lodash,58816,2012-04-07
FuelLabs/fuel-core,58741,2020-08-27
apache/superset,58589,2015-07-21
awesomedata/awesome-public-datasets,58215,2014-11-20
scikit-learn/scikit-learn,57992,2010-08-17
shadowsocks/shadowsocks-windows,57919,2013-01-14
tesseract-ocr/tesseract,57793,2014-08-12
3b1b/manim,57692,2015-03-22
ventoy/Ventoy,57562,2020-03-10
xtekky/gpt4free,56861,2023-03-29
swisskyrepo/PayloadsAllTheThings,56549,2016-10-18
TheAlgorithms/Java,56527,2016-07-16
ByteByteGoHq/system-design-101,56513,2023-09-18
d2l-ai/d2l-zh,56400,2017-08-23
chrislgarry/Apollo-11,56340,2014-04-03
bradtraversy/design-resources-for-developers,56061,2020-05-06
sdmg15/Best-websites-a-programmer-should-visit,56018,2017-03-05
h5bp/html5-boilerplate,55933,2010-01-24
shadcn-ui/ui,55799,2023-01-04
sindresorhus/awesome-nodejs,55720,2014-07-11
openai/openai-cookbook,55650,2022-03-11
ocornut/imgui,55490,2014-07-21
obsproject/obs-studio,55334,2013-10-01
fffaraz/awesome-cpp,55281,2014-07-17
ggerganov/llama.cpp,55281,2023-03-10
spring-projects/spring-framework,54991,2010-12-08
gatsbyjs/gatsby,54984,2015-05-21
Eugeny/tabby,54911,2016-12-23
rails/rails,54846,2008-04-11
ollama/ollama,54706,2023-06-26
binary-husky/gpt_academic,54311,2023-03-20
ElemeFE/element,53932,2016-09-03
azl397985856/leetcode,53704,2018-03-30
prakhar1989/awesome-courses,53626,2014-11-15
caddyserver/caddy,53478,2015-01-13
danielmiessler/SecLists,53397,2012-02-19
scutan90/DeepLearning-500-questions,53149,2018-06-27
binhnguyennus/awesome-scalability,52877,2017-12-27
facebook/docusaurus,52592,2017-06-20
prometheus/prometheus,52582,2012-11-24
alacritty/alacritty,52522,2016-02-18
meta-llama/llama,52270,2023-02-14
localstack/localstack,52011,2016-10-25
remix-run/react-router,51860,2014-05-16
necolas/normalize.css,51802,2011-05-04
nuxt/nuxt,51712,2016-10-26
ageitgey/face_recognition,51668,2017-03-03
Alvin9999/new-pac,51566,2016-03-23
zylon-ai/private-gpt,51417,2023-05-02
psf/requests,51302,2011-02-13
Solido/awesome-flutter,51088,2017-05-07
sherlock-project/sherlock,51078,2018-12-24
Semantic-Org/Semantic-UI,50983,2013-04-08
ryanoasis/nerd-fonts,50982,2014-12-05
scrapy/scrapy,50783,2010-02-22
CorentinJ/Real-Time-Voice-Cloning,50627,2019-05-26
ionic-team/ionic-framework,50371,2013-08-20
gpt-engineer-org/gpt-engineer,50337,2023-04-29
PlexPt/awesome-chatgpt-prompts-zh,50002,2022-12-12
nektos/act,49884,2019-01-02
git/git,49756,2008-07-23
google/material-design-icons,49735,2014-10-08
google/guava,49337,2014-05-29
soimort/you-get,49205,2012-08-20
deepfakes/faceswap,49108,2017-12-19
PKUFlyingPig/cs-self-learning,49086,2021-10-20
wasabeef/awesome-android-ui,49026,2014-12-24
rust-lang/rustlings,48943,2015-09-15
louislam/uptime-kuma,48770,2021-07-03
juliangarnier/anime,48609,2016-03-13
jgthms/bulma,48545,2016-01-23
AppFlowy-IO/AppFlowy,48399,2021-06-16
jekyll/jekyll,48244,2008-10-20
tldr-pages/tldr,48229,2013-12-08
prettier/prettier,48183,2016-11-29
abi/screenshot-to-code,48147,2023-11-14
moment/moment,47781,2011-03-01
traefik/traefik,47667,2015-09-13
ReactiveX/RxJava,47616,2013-01-08
JetBrains/kotlin,47406,2012-02-13
NationalSecurityAgency/ghidra,47397,2019-03-01
commaai/openpilot,47319,2016-11-24
xai-org/grok-1,47314,2024-03-17
OpenInterpreter/open-interpreter,47211,2023-07-14
NARKOZ/hacker-scripts,47142,2015-11-21
labmlai/annotated_deep_learning_paper_implementations,47141,2020-08-25
DefinitelyTyped/DefinitelyTyped,47056,2012-10-05
youngyangyang04/leetcode-master,47000,2019-12-14
Textualize/rich,46929,2019-11-10
lencx/ChatGPT,46770,2022-12-07
pi-hole/pi-hole,46659,2014-06-08
ultralytics/yolov5,46631,2020-05-18
chinese-poetry/chinese-poetry,46571,2016-09-02
jgraph/drawio-desktop,46522,2017-05-25
iamadamdev/bypass-paywalls-chrome,46396,2018-04-07
sharkdp/bat,46268,2018-04-21
etcd-io/etcd,46250,2013-07-06
mozilla/pdf.js,46100,2011-04-26
algorithm-visualizer/algorithm-visualizer,46086,2016-05-15
cypress-io/cypress,46084,2015-03-04
serverless/serverless,46039,2015-04-21
ethereum/go-ethereum,45944,2013-12-26
mastodon/mastodon,45853,2016-02-22
minimaxir/big-list-of-naughty-strings,45834,2015-08-08
iamkun/dayjs,45681,2018-04-10
golang-standards/project-layout,45658,2017-09-09
vsouza/awesome-ios,45644,2014-07-10
TryGhost/Ghost,45615,2013-05-04
FiloSottile/mkcert,45571,2018-06-25
tiimgreen/github-cheat-sheet,45487,2014-04-12
square/okhttp,45220,2012-07-23
iperov/DeepFaceLab,45213,2018-06-04
jesseduffield/lazygit,45207,2018-05-19
charlax/professional-programming,45125,2015-11-07
ziishaned/learn-regex,45014,2017-07-22
v2ray/v2ray-core,44666,2015-09-04
FuelLabs/fuels-rs,44660,2021-10-31
BurntSushi/ripgrep,44659,2016-03-11
FuelLabs/fuels-ts,44610,2021-09-03
marktext/marktext,44539,2017-11-12
JuliaLang/julia,44454,2011-04-21
vuejs/core,44399,2018-06-12
ngosang/trackerslist,44284,2016-04-24
gogs/gogs,44079,2014-02-12
karan/Projects,44043,2013-07-04
justjavac/awesome-wechat-weapp,44042,2016-09-22
meteor/meteor,44018,2012-01-19
minio/minio,44011,2015-01-14
topjohnwu/Magisk,43939,2016-09-08
typescript-cheatsheets/react,43922,2018-06-02
android/architecture-samples,43806,2016-02-05
facebookresearch/segment-anything,43767,2023-03-23
rclone/rclone,43605,2014-03-16
ColorlibHQ/AdminLTE,43557,2013-12-25
jestjs/jest,43535,2013-12-10
dair-ai/Prompt-Engineering-Guide,43505,2022-12-16
wagoodman/dive,43427,2018-05-13
kamranahmedse/design-patterns-for-humans,43316,2017-02-16
PowerShell/PowerShell,43225,2016-01-13
aymericdamien/TensorFlow-Examples,43194,2015-11-11
Avik-Jain/100-Days-Of-ML-Code,43162,2018-07-05
x64dbg/x64dbg,43111,2015-04-11
parcel-bundler/parcel,43094,2017-08-07
agalwood/Motrix,43064,2018-12-18
meilisearch/meilisearch,43041,2018-04-23
babel/babel,42893,2014-09-28
gorhill/uBlock,42868,2015-04-01
astaxie/build-web-application-with-golang,42863,2012-08-02
laurent22/joplin,42685,2017-01-16
romkatv/powerlevel10k,42681,2019-02-24
Z4nzu/hackingtool,42614,2020-04-11
vercel/hyper,42602,2016-07-01
rust-unofficial/awesome-rust,42598,2014-07-17
square/retrofit,42585,2010-09-06
pixijs/pixijs,42416,2013-01-21
firstcontributions/first-contributions,42302,2016-09-20
pmndrs/zustand,42180,2019-04-09
FFmpeg/FFmpeg,42159,2011-04-14
nocodb/nocodb,42092,2017-10-29
withastro/astro,42065,2021-03-15
pandas-dev/pandas,41862,2010-08-24
go-gitea/gitea,41702,2016-11-01
k88hudson/git-flight-rules,41588,2014-07-22
google/zx,41504,2021-05-05
microsoft/generative-ai-for-beginners,41438,2023-06-19
isocpp/CppCoreGuidelines,41425,2015-08-19
huginn/huginn,41408,2013-03-10
jakevdp/PythonDataScienceHandbook,41384,2016-08-10
poteto/hiring-without-whiteboards,41372,2017-03-15
