number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
110,2019-03-27T06:21:02Z,2019-03-27T08:04:40Z,2019-03-27T08:04:40Z,1,13,4,,4,2
242,2019-03-27T07:07:12Z,,2019-03-28T02:53:55Z,1,16,0,add English version,4,2
324,2019-03-27T07:35:37Z,,2019-03-27T15:47:19Z,1,78,0,其实最好应该再加一个俄罗斯文版本的国际歌歌词。,6,4
605,2019-03-27T09:08:15Z,,2019-03-28T02:53:22Z,1,1,0,,8,6
693,2019-03-27T09:34:09Z,,2019-03-28T02:35:14Z,1,15,0,"提供一个简单的黑名单模板。
只有当我们选择不再妥协，压榨才不会那么理所当然",3,0
857,2019-03-27T10:12:11Z,,2019-03-28T02:35:36Z,1,4,0,,11,7
877,2019-03-27T10:18:17Z,2019-03-27T12:30:13Z,2019-03-27T12:30:13Z,1,1,1,fix grammar error,3,0
932,2019-03-27T10:43:35Z,,2019-03-27T14:23:02Z,1,1,1,fix grammer issue,2,0
992,2019-03-27T11:06:59Z,2019-03-28T02:43:08Z,2019-03-28T02:43:08Z,1,3,0,"translate ""工作 996，生病 ICU"" to english version:
996 working with you, will be live in ICU.",31,27
1644,2019-03-27T15:14:41Z,2019-03-28T08:05:51Z,2019-03-28T08:05:51Z,1,5,0,"FeatureHub专为Github提供免费的投票功能支持。
点击下面这个按钮

给黑心公司部门投上反抗的第一票！！！
下面列表实时更新",106,114
1739,2019-03-27T18:29:15Z,2019-03-28T00:45:44Z,2019-03-28T00:45:44Z,1,8,7,fix english translation,3,1
4601,2019-03-28T03:25:12Z,,2019-03-28T07:39:46Z,1,9,9,Fix non-American spelling and some grammar errors,3,0
5773,2019-03-28T04:31:53Z,2019-03-28T07:13:25Z,2019-03-28T07:13:25Z,1,3,0,"增加中国大陆规管工时现况,增加中国大陆规管工时现况.
便于与996形成鲜明对比,一目了然.",5,3
6920,2019-03-28T05:46:00Z,2019-03-28T07:09:04Z,2019-03-28T07:09:04Z,1,1,1,"""Chinese New Year Party"" is wrong，not in Chinese New Year，it is a annual party.",4,1
11489,2019-03-28T08:14:56Z,,2019-03-28T11:04:09Z,1,2,0,,4,2
11896,2019-03-28T08:24:45Z,2019-03-28T11:07:15Z,2019-03-28T11:07:15Z,1,1,3,,3,0
12775,2019-03-28T08:54:17Z,2019-03-28T11:27:55Z,2019-03-28T11:27:55Z,1,1,1,,3,0
14205,2019-03-28T09:44:57Z,2019-03-29T01:44:48Z,2019-03-29T01:44:48Z,1,41,60,,6,5
15081,2019-03-28T10:49:03Z,,2019-03-29T01:53:50Z,1,1,1,"修改中文里面的英文 , 逗号 为 中文 ， 逗号",3,1
15932,2019-03-28T12:16:12Z,2019-03-29T02:03:37Z,2019-03-29T02:03:37Z,1,68,28,补充简体中文页面消息来源、相关法规，修正个别标点符号。,3,0
16332,2019-03-28T13:37:55Z,2019-03-28T16:13:55Z,2019-03-28T16:13:55Z,1,4,1,我先加一句。,3,1
16430,2019-03-28T14:05:27Z,2019-03-29T02:50:59Z,2019-03-29T02:50:59Z,1,34,0,增加了文言文本,18,15
16536,2019-03-28T14:29:11Z,,2019-03-28T16:07:55Z,1,59,0,增╃㊋☆文裞朙，㊋暒ん錶示狠關繫亊態發展,8,4
16557,2019-03-28T14:33:14Z,2019-03-28T16:16:41Z,2019-03-28T16:16:41Z,1,1,1,,4,0
16651,2019-03-28T14:53:21Z,,2019-03-29T02:30:54Z,2,34,0,停止无意义的吐槽，落实实际行动,16,17
16662,2019-03-28T14:57:10Z,2019-03-28T16:06:54Z,2019-03-28T16:06:54Z,1,0,0,"添加logo,建议程序员们,修改自己的社交软件头像,抵制996",6,4
16768,2019-03-28T15:33:07Z,,2019-03-29T02:32:43Z,1,27,2,,3,0
16790,2019-03-28T15:37:19Z,,2019-03-28T17:08:10Z,2,31,3,修改样式,4,1
16994,2019-03-28T18:35:23Z,,2019-03-29T05:15:54Z,1,21,0,,46,67
