number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
1,2017-12-11T19:26:34Z,2017-12-12T13:37:53Z,2017-12-12T13:37:53Z,1,9,0,,2,1
5,2017-12-11T20:20:36Z,,2017-12-12T00:29:50Z,1,2,8,,3,1
7,2017-12-12T00:47:57Z,2017-12-12T08:56:25Z,2017-12-12T08:56:25Z,1,14,8,,2,2
8,2017-12-12T01:34:13Z,2017-12-12T09:08:33Z,2017-12-12T09:08:33Z,1,5,4,,2,0
9,2017-12-12T01:55:09Z,2017-12-12T18:52:34Z,2017-12-12T18:52:34Z,1,16,4,"I think it's worth adding it since once you understand it, it explains to you the whole concept.",4,7
10,2017-12-12T02:29:46Z,2017-12-12T09:16:01Z,2017-12-12T09:16:01Z,1,1,1,"""""[0] -> undefined
"""".slice(0, 1) -> """"",2,0
11,2017-12-12T06:44:04Z,2017-12-12T09:13:49Z,2017-12-12T09:13:49Z,1,1,1,,2,0
12,2017-12-12T06:59:48Z,2017-12-12T09:25:35Z,2017-12-12T09:25:35Z,1,9,1,,2,2
13,2017-12-12T07:11:37Z,2017-12-12T14:07:36Z,2017-12-12T14:07:36Z,2,4,6,I think directly returning an object from the arrow function improves readability.,3,2
25,2017-12-12T10:39:03Z,2017-12-12T14:23:01Z,2017-12-12T14:23:01Z,1,8,0,,2,4
31,2017-12-12T12:40:16Z,,2017-12-12T16:23:00Z,1,11,7,"originally .map was being used as a .forEach
now ternary operators are used to mimic pattern matching style",2,2
37,2017-12-12T16:30:27Z,2017-12-13T10:12:43Z,2017-12-13T10:12:43Z,1,14,0,"I included a ""long form"" as well. I think providing an explanation in this way may be very helpful to beginners, for whom this is a great resource. GitHub's <details> functionality is a little-known secret.",2,1
38,2017-12-12T16:37:36Z,2017-12-13T10:04:56Z,2017-12-13T10:04:56Z,1,13,0,"Creates an array of elements split into groups the length of size.
If array can't be split evenly, the final chunk will be the remaining elements.",2,1
42,2017-12-12T17:53:37Z,2017-12-12T18:56:31Z,2017-12-12T18:56:31Z,1,8,0,I think it shows a good use of the spread operator in variadic functions,3,2
44,2017-12-12T18:25:00Z,2017-12-13T11:54:38Z,2017-12-13T11:54:38Z,1,3,3,"I thought the spread syntax was kinda odd, so I opened this pull request to adopt the more common callback style. Discussion welcome.
One potential benefit of this is that the callback can be stored in a separate variable, allowing you to pass the variable to the function timeTaken() directly. You can also pass parameterless functions directly without wrapping them in another arrow function.",3,2
45,2017-12-12T19:35:31Z,2017-12-13T09:31:51Z,2017-12-13T09:31:51Z,1,9,0,Snippet to get native type of function (lowered-case constructor name),4,5
46,2017-12-12T19:37:56Z,,2017-12-14T12:52:35Z,1,11,0,"This snippet contains the collatz-algorithm as function called 'collatz'
Inclusive two examples.  It only uses the ternary operator.",6,9
47,2017-12-12T20:32:03Z,2017-12-13T10:37:50Z,2017-12-13T10:37:50Z,2,3,6,It is good practice to keep map/filter/reduce side-effect free. This PR removes the impure .push inside .map and instead returns a new array concatenated from the accumulator and the recursive anagrams call.,2,1
51,2017-12-12T22:26:27Z,2017-12-13T11:33:50Z,2017-12-13T11:33:50Z,1,11,3,"altough certainly more verbose, this version accounts for variadic functions such as Math.min that can't represent it's arity with the length property properly. for such cases you can pass the optional argument arity (as in the edited example).
what do you think?",2,4
