number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
50,2019-07-17T22:00:23Z,,2020-06-23T15:58:34Z,1,1,1,"File ""demo_cli.py"", line 161, in <module>
    generated_wav = vocoder.infer_waveform(spec)
  File ""/workspace/Real-Time-Voice-Cloning/vocoder/inference.py"", line 57, in infer_waveform
    wav = _model.generate(mel, batched, target, overlap, hp.mu_law, progress_callback)
  File ""/workspace/Real-Time-Voice-Cloning/vocoder/models/fatchord_version.py"", line 219, in generate
    progress_callback(i, seq_len, b_size, gen_rate)
  File ""/workspace/Real-Time-Voice-Cloning/vocoder/models/fatchord_version.py"", line 248, in gen_display
    stream(msg)
  File ""/workspace/Real-Time-Voice-Cloning/vocoder/display.py"", line 16, in stream
    sys.stdout.write(""\r{%s}"" % message)
UnicodeEncodeError: 'ascii' codec can't encode characters in position 4-19: ordinal not in range(128)
 
During handling of the above exception, another exception occurred:
 
Traceback (most recent call last):
  File ""demo_cli.py"", line 184, in <module>
    print(""Caught exception: %s"" % repr(e))
UnicodeEncodeError: 'ascii' codec can't encode characters in position 52-67: ordinal not in range(128)",2,1
159,2019-10-03T12:28:15Z,,2020-07-03T14:22:16Z,18,784,21,"I did wandb instrumentation of this repo, to log histograms, plots, audios while training. You can see the resulting report here
Encoder Training results

Synthesizer Training results


Vocoder Training results",3,6
205,2019-11-14T01:37:45Z,,2020-07-03T14:28:26Z,1,5,3,Modified structure of requirements list to have consistent formatting and greater clarity.,3,2
244,2019-12-10T23:42:16Z,,2020-06-25T08:09:22Z,2,32,16,asdfasd,2,3
328,2020-04-19T19:15:58Z,,2020-05-03T18:42:14Z,1,1,0,,3,6
331,2020-04-28T07:28:46Z,,2020-06-22T16:46:14Z,34,624,449,,8,36
366,2020-06-22T08:36:42Z,2020-06-22T16:44:36Z,2020-06-22T16:44:36Z,14,188,160,"This is a very carefully cleaned up version of #331. It implements suggestions provided by @CorentinJ and removes unnecessary changes for ease of review.
Thanks to @pusalieth for the original implementation of these changes for CPU support.",3,1
371,2020-06-22T21:50:00Z,2020-06-23T15:57:38Z,2020-06-23T15:57:39Z,5,5,5,"Newer versions of librosa>=0.7.0 do not accept a pathlib object for librosa.load()
This will break demo_cli.py among other things. There was a fix for this in #331 but was not implemented because since it went too far in removing existing usage of pathlib.",1,2
372,2020-06-23T04:49:31Z,2020-06-23T15:58:34Z,2020-06-23T15:58:35Z,1,6,1,"This will resolve #50 and #89 by removing non-ascii characters from the progress bar on systems which do not support them in stdout. While the vocoder is synthesizing output will look like this:
Created the mel spectrogram
Synthesizing the waveform:
{|  14300/124800 | Batch Size: 13 | Gen Rate: 1.6kHz | }

Behavior is unchanged for systems which do support unicode. These users will continue to see the progress bar.",1,1
373,2020-06-23T06:25:05Z,2020-06-24T11:46:07Z,2020-06-24T11:46:07Z,1,1,1,"After successfully installing requirements.txt, running the toolbox presents the user with an error ""ModuleNotFoundError: No module named 'numba.decorators'. This is solved by using version 0.48 instead of the later versions, currently 0.50. This is because the latest version of numba removed the decorators module.",2,2
374,2020-06-24T06:16:27Z,2020-06-24T08:38:02Z,2020-06-24T08:38:02Z,1,1,4,"This fixes a bug that was introduced in #366. In code to optimize CPU/GPU performance of the synthesizer, the GPU call is missing an argument. This resolves #337 and #344 .
Another option is to pass the num_layers argument to tf.contrib.cudnn_rnn.CudnnLSTM, but it is deprecated. Reverting seems like the better option here.",1,1
376,2020-06-25T04:56:33Z,2020-06-26T08:46:04Z,2020-06-26T08:46:04Z,5,48,7,Here is an idea for resolving #375 . I also suggest removing webrtcvad from requirements.txt to make installation easier for Windows users. The training instructions will need to include a step to install webrtcvad if using LibriSpeech or LibriTTS. Since training setup is already manual I find that preferable to including it in requirements.txt and complicating the install for everyone else.,1,3
