number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
352,2018-08-03T05:42:01Z,,2018-08-04T15:10:20Z,1,2,8,虽然volatile可以禁止指令重排，但是这里uniqueInstance = new Singleton() 是在同步块中，只有一个线程执行，即使指令重拍也不会有问题，volatile是为了保证instance变量的可见性,3,1
602,2019-03-10T13:48:23Z,,2019-05-14T16:08:25Z,1,26,6,,3,0
614,2019-03-17T15:08:34Z,2019-03-26T06:41:32Z,2019-03-26T06:41:32Z,1,1,1,"原文为
The Java Virtual Machine does directly support boolean arrays. Its newarray
instruction (§newarray) enables creation of boolean arrays. Arrays of type
boolean are accessed and modified using the byte array instructions baload and
bastore (§baload, §bastore).
https://docs.oracle.com/javase/specs/jvms/se8/jvms8.pdf  第10页",2,3
617,2019-03-18T12:45:55Z,2019-06-19T02:53:36Z,2019-06-19T02:53:36Z,1,3,2,,3,0
735,2019-07-03T03:55:29Z,,2019-09-15T15:49:01Z,2,14,30,增加 HTTP/1.1 pipelining 缺陷描述 修正 QuickSort 中的小问题,3,1
886,2020-03-03T15:46:38Z,2020-05-26T17:51:56Z,2020-05-26T17:51:56Z,1,1,1,修改SATA传输速率,3,0
889,2020-03-11T06:17:41Z,2020-05-26T17:48:10Z,2020-05-26T17:48:11Z,1,1,1,这里应该是漏掉了一个“将”字，补充一下。,3,0
925,2020-04-25T09:14:35Z,2020-05-26T17:33:47Z,2020-05-26T17:33:47Z,1,1,1,左外连接示例中的一个SQL语句错误，应当是编写过程中的一个拼写错误，导致语句与实际结果不符。,3,0
926,2020-04-26T05:12:52Z,2020-05-26T17:37:08Z,2020-05-26T17:37:08Z,1,1,1,update wrong data,3,2
934,2020-05-09T07:03:41Z,,2020-05-26T17:29:15Z,1,25,25,"举个例子：
修复前
https://github.com/CyC2018/CS-Notes/blob/master/notes/notes/%E8%AE%BE%E8%AE%A1%E6%A8%A1%E5%BC%8F%20-%20%E7%BB%84%E5%90%88.md
修复后：
https://github.com/CyC2018/CS-Notes/blob/master/notes/%E8%AE%BE%E8%AE%A1%E6%A8%A1%E5%BC%8F%20-%20%E7%BB%84%E5%90%88.md",4,2
1000,2020-10-28T15:08:39Z,,2020-11-01T14:30:52Z,1,11,17,,3,1
