number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
77,2016-09-18T07:31:04Z,2016-09-18T09:14:08Z,2016-09-18T09:14:08Z,3,9,14,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.

执行 make deploy 部署",3,0
79,2016-09-18T14:02:13Z,2016-09-19T02:18:49Z,2016-09-19T02:18:49Z,12,81,33,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
87,2016-09-19T09:57:59Z,2016-09-19T14:27:28Z,2016-09-19T14:27:28Z,1,148,52,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
88,2016-09-19T13:35:58Z,2016-09-20T07:07:26Z,2016-09-20T07:07:26Z,4,21,15,@furybean 贡献指南改了一些语句。准备以此为基础抽一个公共的模板出来（感觉把 element 相关的内容去掉就可以）,6,6
90,2016-09-20T07:13:46Z,2016-09-20T09:09:18Z,2016-09-20T09:09:18Z,3,77,56,@baiyaaaaa,3,0
94,2016-09-20T13:36:30Z,2016-09-20T22:20:36Z,2016-09-20T22:20:36Z,5,17,2,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
95,2016-09-20T13:37:25Z,2016-09-20T22:19:41Z,2016-09-20T22:19:41Z,3,19,14,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
96,2016-09-20T14:29:32Z,2016-09-21T02:19:50Z,2016-09-21T02:19:50Z,8,14,11,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
98,2016-09-21T02:09:02Z,,2016-09-21T10:31:34Z,1,6,0,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",2,2
102,2016-09-21T03:45:53Z,,2016-09-21T05:27:24Z,1,2,1,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
104,2016-09-21T04:02:47Z,2016-09-21T05:50:51Z,2016-09-21T05:50:51Z,1,14,7,"Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.
#103",3,0
111,2016-09-21T06:38:38Z,2016-09-21T09:07:19Z,2016-09-21T09:07:19Z,3,17,11,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
113,2016-09-21T07:14:28Z,2016-09-21T08:53:27Z,2016-09-21T08:53:27Z,4,14,3,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
119,2016-09-22T02:04:04Z,,2016-09-22T11:47:34Z,1,7,7,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",2,1
130,2016-09-22T12:42:42Z,2016-09-23T04:40:16Z,2016-09-23T04:40:16Z,1,4,4,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
132,2016-09-22T15:41:11Z,2016-09-23T02:40:07Z,2016-09-23T02:40:07Z,6,120,127,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.
修复 Menu 组件 default-active 绑定动态值无法更新的问题
新增特性 Menu 组件中若选中子菜单项现在会自动展开子菜单
Menu 组件的 unique-opend 属性修正为 unique-opened",3,1
135,2016-09-23T00:28:22Z,2016-09-23T02:38:12Z,2016-09-23T02:38:12Z,1,16,0,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
136,2016-09-23T00:53:04Z,2016-09-23T02:39:34Z,2016-09-23T02:39:34Z,1,2,0,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.

效果就这样，好像也算一个卖点",2,0
144,2016-09-24T08:08:14Z,2016-09-24T10:11:41Z,2016-09-24T10:11:41Z,2,2,1,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
153,2016-09-26T11:05:40Z,2016-09-27T03:24:23Z,2016-09-27T03:24:23Z,15,130,113,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.

把 vue 的发布脚本拷了过来，现在发布要手动输版本号了",3,0
154,2016-09-26T12:34:43Z,2016-09-27T03:18:34Z,2016-09-27T03:18:34Z,1,2,2,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.

unpkg 好慢。。。",3,0
161,2016-09-27T06:56:06Z,2016-09-28T05:18:31Z,2016-09-28T05:18:31Z,3,57,176,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
167,2016-09-27T15:33:37Z,2016-09-28T05:31:34Z,2016-09-28T05:31:34Z,3,9,2,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,1
173,2016-09-28T05:40:47Z,2016-09-28T06:42:30Z,2016-09-28T06:42:30Z,1,2,2,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.

检查下脚本有没有错 我没测过 🌚 @baiyaaaaa",3,1
178,2016-09-28T07:35:13Z,2016-09-28T12:53:27Z,2016-09-28T12:53:27Z,1,3,2,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",2,0
196,2016-09-29T18:28:49Z,2016-09-30T12:16:29Z,2016-09-30T12:16:29Z,3,8,3,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.

当我在做NavMenu的时候，希望可以自定义路由。比如基于Vue Router文档里面的，可以通过router.push({ name: 'user', params: { userId: 123 }})来自定义路由去向。目前的方法是直接让router导向index的路径，这种方法比较局限。因此，这个PR在原基础上添加了一个route在menu-item上，并且在提供route的情况下，优先走route。如果没有route，再走index。",3,0
206,2016-10-01T01:06:52Z,2016-10-01T03:22:48Z,2016-10-01T03:22:48Z,3,6,4,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,1
213,2016-10-02T07:47:55Z,2016-10-02T14:55:26Z,2016-10-02T14:55:26Z,7,107,84,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,2
215,2016-10-02T10:31:56Z,2016-10-03T02:29:27Z,2016-10-03T02:29:27Z,3,5,4,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
216,2016-10-02T11:05:44Z,2016-10-02T12:23:09Z,2016-10-02T12:23:09Z,2,2,6,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
217,2016-10-02T13:15:25Z,2016-10-04T05:20:28Z,2016-10-04T05:20:28Z,10,28,14,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",3,0
218,2016-10-03T03:07:29Z,2016-10-04T11:22:04Z,2016-10-04T11:22:04Z,5,39,24,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",2,1
230,2016-10-05T08:30:46Z,2016-10-08T03:02:56Z,2016-10-08T03:02:56Z,4,72,17,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",4,2
234,2016-10-05T12:39:59Z,,2016-10-09T08:17:05Z,6,14,3,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",4,0
240,2016-10-06T12:11:44Z,2016-10-06T15:38:19Z,2016-10-06T15:38:19Z,1,1,0,"Please makes sure these boxes are checked before submitting your PR, thank you!

 Make sure you follow Element's Contributing Guide.
 Rebase before creating a PR to keep commit history clear.
 Add some descriptions and refer relative issues for you PR.",2,1
