number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2,2020-10-07T15:31:57Z,,2020-11-26T17:17:03Z,11,20626,0,Closes #1,2,1
6,2020-12-20T15:02:44Z,2020-12-30T20:25:46Z,2020-12-30T20:25:47Z,6,1784,58,"Set $of flag in div and mod by 0
Rename of uf flags
Rename of uf flags
j jr tests
xor xori tests
sub subi tests
sll sllv srl srlv tests
or ori tests
mult multi test
updates to match spec #0d39f49
impl kecakk op
Add convenience functions",2,0
9,2021-05-03T22:20:43Z,2021-05-25T18:49:19Z,2021-05-25T18:49:19Z,41,2771,4127,"The opcodes list was outdated and needed to be resync with the specs.
https://github.com/FuelLabs/fuel-specs/blob/master/specs/vm/opcodes.md
Also, the previous implementation didn't consider the different sizes of
immediate values, treating everything as u16.
The API still need to improve to prevent users from allocating invalid
register values with overflow.
Resolves #8",3,1
12,2021-05-18T21:34:11Z,2021-05-19T13:20:17Z,2021-05-19T13:20:17Z,10,164,143,"Add an action to format, build, and test. Also run format just so CI can pass.",4,4
13,2021-05-19T22:09:07Z,2021-05-20T18:35:26Z,2021-05-20T18:35:26Z,1,9,1,"Use minimal profile
Use nightly toolchain
Set up private keys for dependencies",2,0
14,2021-05-25T18:52:03Z,2021-05-25T21:27:57Z,2021-05-25T21:27:57Z,2,0,80,,2,0
16,2021-05-26T17:21:23Z,2021-05-26T22:36:23Z,2021-05-26T22:36:23Z,2,12,6,"To maintain consistency with the high-level language, the LW and SW
immediate values will be used as word-aligned values instead of raw
memory addresses.",2,0
18,2021-05-26T22:37:13Z,2021-05-30T22:27:22Z,2021-05-30T22:27:22Z,17,819,215,,3,2
19,2021-05-31T11:24:09Z,2021-05-31T16:44:47Z,2021-05-31T16:44:47Z,13,22,21,"fuel-vm-rust don't reflect the repo name and this may be confusing
under certain contexts. Also, there is no particular reason on why these
two names should diverge.",4,0
20,2021-05-31T21:23:46Z,,2021-06-03T17:12:24Z,30,542,489,"The VM must be agnostic to the data backend, and this should comply only
with a non-restrictive trait.
This commit introduces the Storage trait. Some of the interpreter
functionality will specify implementation requirements for a given
Key/Value concrete pair.",2,2
21,2021-06-03T17:10:10Z,2021-06-03T21:16:57Z,2021-06-03T21:16:57Z,35,6,3546,,2,1
22,2021-06-04T07:20:03Z,2021-06-04T14:44:13Z,2021-06-04T14:44:13Z,1,0,2,,2,0
23,2021-06-09T01:22:09Z,2021-08-20T00:11:21Z,2021-08-20T00:11:21Z,23,1775,101,"This MR introduces a shared Database object for the client that can be used for transactional data storage.
Features:

Transaction endpoint integration
DAP endpoint integration
Revertable transactions to enable rollbacks for contract dev
RocksDb support using the --db-path cli argument
In memory db available using the --db-type argument

Future work:

Save a two week window of changes for verification games
Investigate trie-backed storage to enable iteration over key sets",4,1
25,2021-06-22T18:37:35Z,2021-06-29T20:15:30Z,2021-06-29T20:15:30Z,19,4633,16,,2,0
26,2021-06-29T22:49:30Z,2021-07-08T01:58:03Z,2021-07-08T01:58:03Z,21,293,63,,3,1
27,2021-07-12T21:39:13Z,2021-07-14T10:50:22Z,2021-07-14T10:50:22Z,3,585,1,,3,5
28,2021-07-16T19:51:59Z,2021-07-17T13:23:09Z,2021-07-17T13:23:10Z,2,2,2,"Bind client GraphQL endpoint by default to localhost (127.0.0.1) instead of 0.0.0.0. It seems that the latter listens on all IPs, which means the GraphQL endpoint would be accessible via computers over the internet? I'm actually not sure about this, so please correct if I'm wrong.",3,0
30,2021-08-20T01:27:56Z,2021-08-20T02:39:17Z,2021-08-20T02:39:17Z,6,22,8,"An earlier attempt was made to reduce the number of transitive deps on consumers of fuel-core lib using default flags. However, too many deps were being excluded and forc was unable to build.
This addresses those issues while still allowing rocksdb to be excluded when compiling fuel-core. If default-features are disabled it will just default to the in memory implementation.",2,2
