number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
29,2018-03-10T11:11:28Z,,2018-03-11T21:10:02Z,1,8,0,"Add dnf packages for Fedora.
I need to double check with a vanilla Fedora installation because I already had some dev tools installed.
Checked with a vanilla install and updated the script.",2,7
56,2018-03-13T03:02:04Z,,2018-03-28T12:17:22Z,1,39,4,"First of all, gcc is not needed to build it -- clang works fine
There is Java8 cask, and recommending it to users would make life easier for them

Actually, second commit might be not really fitting, especially Homebrew part.",2,3
85,2018-03-21T01:14:46Z,2018-03-23T09:15:10Z,2018-03-23T09:15:10Z,3,11,0,"When developing for React Native, shaking the physical Android device is how you pull up the React Native debug menu, which is a very common task.
This catches the CTRL+S key combination and maps it to the ""shake"" keycode (keycode 82, AKEYCODE_MENU).",5,9
133,2018-04-28T22:28:38Z,,2018-05-28T20:58:57Z,6,229,0,"I have just added a little feature to install apk files by using drag and drop.
So, just drag and drop an apk file and wait for its installation to complete.",2,14
142,2018-05-04T01:56:26Z,,2018-08-15T13:24:38Z,1,4,0,"it may belong somewhere else, but I thought that this video guide (linked above) would be a better explanation for n00bs than reading a block of text. lmk..",2,1
226,2018-08-11T13:59:58Z,,2018-08-15T15:25:45Z,7,278,231,"Hi, folks
With drop & drag file to device /sdcard, it will be very convenient to app developer to test app which need some file in the device.
In this patch, if people drop & drag an apk file, it will remain the same behavior. Otherwise, it will push the file to /sdcard.
Thanks.
Signed-off-by: npes87184 npes87184@gmail.com",2,6
236,2018-08-21T13:34:33Z,,2018-09-04T06:50:12Z,4,93,14,"There are many user who encounters missing adb.
To stop things happens again, we check it and show
sexy response to user.
In the first version, I only check in linux. If you like this idea, I will continue to finish windows part.
Thanks.
Signed-off-by: yuchenlin npes87184@gmail.com",2,8
245,2018-08-26T11:52:13Z,,2019-10-31T20:29:39Z,3,37,0,"It's just a workaround to resolve #15
What this pr did is to re-set a new logical size when the window scale factor got changed.
In consequence, the subsequent SDL events will get the coordinates what we wants,
which are consistent across all the displays even if there are different scales.",8,23
252,2018-09-04T13:57:59Z,,2018-09-04T16:49:56Z,3,15,1,I needed the option to automatically start scrcpy in fullscreen mode. I therefore added a new command line parameter --fullscreen. This solves my opened issue #250,3,1
254,2018-09-08T01:24:31Z,,2018-09-09T13:36:34Z,2,10,1,"Hi, @rom1v
Windows has GetLastError() to show what happen when CreateProcess() failed.
Reference:

CreateProcess
GetLastError
Error code

In this series, I also prevent console closing immediately when error occurs by adding pause in windows console mode. It helps to show error message to user.
Related pr: #236.
Thanks.",2,1
261,2018-09-14T12:37:43Z,2018-09-18T06:56:41Z,2018-09-18T06:56:41Z,1,6,0,Signed-off-by: yuchenlin npes87184@gmail.com,2,0
292,2018-10-09T02:25:14Z,,2018-11-11T22:40:26Z,5,74,9,This change enables writing AV packets received from the target to a video file without re-encoding.,3,21
296,2018-10-14T08:57:43Z,,2022-09-09T17:13:53Z,2,16,0,"Adds the ability to launch scrcpy using your preferred application launcher on Linux.
See: https://specifications.freedesktop.org/desktop-entry-spec/desktop-entry-spec-latest.html",6,4
412,2019-01-27T11:10:58Z,2019-01-27T13:09:19Z,2019-01-27T13:09:19Z,6,44,15,"Fix #391
It is very convenient when I play mobile game and watch video at the
same time.
Tested on Linux mint Cinnamon as well as Windows 10.
Signed-off-by: Yu-Chen Lin npes87184@gmail.com",2,4
418,2019-02-01T22:22:54Z,,2019-03-02T17:42:37Z,4,32,4,"This option allows scrcpy to be run withou showing preview window : we can now use
scrcpy only for screen recording as an example",4,12
