number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
38,2018-01-31T17:50:26Z,2018-01-31T22:01:54Z,2018-01-31T22:01:54Z,1,10,9,"DroidKaigi 2018 is the biggest Android conference in Japan.
I created the conference app by using Flutter.
If you are okay, please add this app to Open Source Apps section.
https://github.com/konifar/droidkaigi2018-flutter",2,0
160,2018-08-10T13:40:25Z,2018-09-29T10:48:21Z,2018-09-29T10:48:21Z,1,1,0,@Solido hope you like this.,3,4
238,2018-11-23T02:14:51Z,,2018-11-24T01:41:55Z,1,2,2,"add flutter_ocr opensource app
You've read How to contribute right ?
So tell me more about your awesome contribution and add the badge to your repo after it's accepted :D
 
  
 
<a href=""https://stackoverflow.com/questions/tagged/flutter?sort=votes"">
   <img alt=""Awesome Flutter"" src=""https://img.shields.io/badge/Awesome-Flutter-blue.svg?longCache=true&style=flat-square"" />
</a>",2,0
266,2018-12-22T18:50:39Z,,2019-10-19T08:39:32Z,3,57,541,"You've read How to contribute right ?
So tell me more about your awesome contribution and add the badge to your repo after it's accepted :D
 
  
 
<a href=""https://stackoverflow.com/questions/tagged/flutter?sort=votes"">
   <img alt=""Awesome Flutter"" src=""https://img.shields.io/badge/Awesome-Flutter-blue.svg?longCache=true&style=flat-square"" />
</a>",7,1
296,2019-01-16T04:58:29Z,,2019-04-01T20:27:34Z,1,5,2,add smart_color package and flutter_icons package,4,1
314,2019-02-07T06:53:32Z,,2019-04-01T20:27:03Z,1,6,0,"Added Link to the Animated Navigation Drawer UI.
new Flippo( mask: new Scaffold( backgroundColor: Colors.white, ), body: new Scaffold( backgroundColor: Colors.white, ), drawer: new Scaffold( backgroundColor: Colors.black, ), );",3,1
315,2019-02-08T10:56:32Z,2019-02-08T21:56:08Z,2019-02-08T21:56:08Z,1,1,0,Provides a wrapper library so devs can access the AppAuth SDKs via Flutter,2,0
316,2019-02-10T17:02:42Z,2019-02-11T19:00:16Z,2019-02-11T19:00:17Z,1,4,0,Catcher is Flutter plugin which automatically catches error/exceptions and handle them. Catcher offers mutliple way to handle errors. Catcher is heavily inspired from ACRA.,2,2
322,2019-02-15T17:25:09Z,2019-11-04T06:46:05Z,2019-11-04T06:46:05Z,1,1,1,"Scoped models for state management
Internationalization in place (English and Polish languages)
Clean Material Design
Use sensors (accelerometer) as alternative game controller
Firebase analytics with custom events
Crashlytics reporting
Released on both - Android and iOS
More than 10,000 downloads
Mature and stable product
Layout adjusted for phones and tables",3,5
331,2019-02-27T19:41:17Z,,2020-01-21T19:18:05Z,1,1,0,"This series of articles describes how to develop the user interface of a login page, list view, how to include Firebase into a Flutter project, authenticate users with Google by using Firebase Authentication and store data using Firestore. README of the github repository ""recipes_app"" includes URLs of all articles of this series.",3,0
333,2019-02-28T02:06:48Z,2019-03-01T22:32:34Z,2019-03-01T22:32:34Z,1,1,0,Added Lottie plugin to list under the section titled images,2,0
348,2019-03-09T07:13:55Z,,2020-01-21T19:18:26Z,1,1,0,"Users can open App Store for Play Store for a given app Id.
You've read How to contribute right ?
So tell me more about your awesome contribution and add the badge to your repo after it's accepted :D
 
  
 
<a href=""https://github.com/Solido/awesome-flutter"">
   <img alt=""Awesome Flutter"" src=""https://img.shields.io/badge/Awesome-Flutter-blue.svg?longCache=true&style=flat-square"" />
</a>",3,0
363,2019-04-03T01:58:43Z,,2022-05-20T07:26:05Z,1,1,0,"I have read How to contribute.
Below is the screenshot of InfiniteCards



Android
iOS",4,1
395,2019-05-14T07:23:14Z,2020-05-28T21:42:41Z,2020-05-28T21:42:41Z,1,2,1,It's a simple app I've been developing to store my journal entries in a Git Repo. It stores them in Markdown + YAML header.,5,3
412,2019-06-05T15:13:06Z,,2019-11-04T06:22:17Z,1,1,0,"Hi. AppSpector is remote debugging and monitoring services for Flutter, iOS and Android apps. Like Stetho or Flipper but better. It works over internet and has offline history.",2,0
