number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
13,2017-03-17T13:57:34Z,2017-04-07T16:39:14Z,2017-04-07T16:39:14Z,2,85,0,,2,0
14,2017-03-17T21:00:57Z,2017-03-28T14:28:00Z,2017-03-28T14:28:00Z,1,192,0,,2,0
17,2017-03-28T19:05:50Z,,2017-09-06T18:29:38Z,5,81,31,,6,11
19,2017-04-01T18:14:44Z,2017-04-07T16:39:35Z,2017-04-07T16:39:36Z,1,6,6,This would decrease the number of comparisons in the loop used for sorting.,2,0
25,2017-04-18T15:02:06Z,2017-04-19T02:28:27Z,2017-04-19T02:28:27Z,30,1113,460,"In this commit I have:

Added Javadoc to every file except for the java files in the ""heap"" package
I took the files with spaces and renamed them so they don't have spaces

Let me know what you think and my work so far.",2,0
26,2017-04-18T16:21:21Z,2017-04-19T02:29:00Z,2017-04-19T02:29:00Z,1,42,0,"Uses a dummy node and generics…. this implementation of a singly linked
list eliminates need to use tail reference",2,0
27,2017-04-20T19:01:32Z,2017-04-21T14:38:02Z,2017-04-21T14:38:02Z,22,221,24,"Closed all of the Scanners and BufferedReaders
Added some Javadoc
ReverseString - took space out of between each letter so ""Zachary"" to ""yrahcaZ"" instead of ""y r a h c aZ""
bfs - Trying to repair this class but need to research bfs more
dfs - Trying to repair this class but need to research dfs more
Added the data structure Graphs (Unfinished)
Added new classes


OctalToBinary - Not Done
BinaryToOctal - Not Done
OctalToDecimal - Not Done
Graphs - Not Done",2,1
28,2017-04-22T13:50:39Z,2017-04-25T16:58:57Z,2017-04-25T16:58:57Z,1,67,0,,2,0
29,2017-04-23T17:45:50Z,2017-04-24T03:21:34Z,2017-04-24T03:21:34Z,1,212,0,,2,0
30,2017-04-24T14:01:28Z,2017-04-25T16:58:41Z,2017-04-25T16:58:41Z,1,56,0,Dijkshtra's Shortest Path Implementation,2,0
48,2017-04-27T14:46:02Z,2017-05-14T17:57:02Z,2017-05-14T17:57:02Z,1,1,1,…yTree.java,2,1
53,2017-06-01T00:00:46Z,2017-06-01T05:54:41Z,2017-06-01T05:54:41Z,1,17,24,"Easier to read. Also, takes into account null and empty string possibilities",2,2
55,2017-06-01T12:09:44Z,2017-06-02T05:37:25Z,2017-06-02T05:37:25Z,1,12,14,"Using recursion for reversing a String serves us no benifit. It places extra load on the stack, and it is less efficient than doing so iteratively. I understand now that we can not use built in reverse function, but using recursion is still the worst way we could do the task of String reversal. Everytime we call the reverse method we are placing an extra frame on our stack. This uses space. We also create another string that we are appending our result to with the recursive solution, which is slow because under the hood, Java will create a new empty String and then append each character to the new String, one char at a time. If we do this for each character, then asymtotically we now have time complexity of O(n^2).  Recursion in this case also does not make our solution ""simpler"" or ""more elegant"". We want to use recursion when it is advantageous to do so....like traversing trees",2,0
56,2017-06-09T22:53:20Z,2017-06-10T06:10:39Z,2017-06-10T06:10:39Z,3,67,5,"Finished some unfinished conversions in Octal system.
Added Decimal to HexaDecimal conversion.",2,1
59,2017-06-21T05:13:53Z,2017-06-21T07:08:56Z,2017-06-21T07:08:56Z,1,18,4,"Added an if statement to:

The push method to make sure the stack wasn't full.
The pop method to make sure the stack wasn't empty.
The peek method to make sure the stack wasn't empty.",2,0
80,2017-08-13T19:04:00Z,2017-08-14T07:11:51Z,2017-08-14T07:11:51Z,2,139,59,Converted integer linear search to a generic linear search and added faster input method,3,2
81,2017-08-15T17:47:50Z,2017-09-08T03:33:57Z,2017-09-08T03:33:57Z,1,30,0,"Added a function to insert a node at a specified position in linked list. This is my first pull request, will continue to contribute more to this repository. There's a mistake in the function the field would be 'value' ,not 'data'. I will surely correct it in my next commit.",2,0
82,2017-08-17T13:57:20Z,2017-08-19T04:12:53Z,2017-08-19T04:12:53Z,1,63,60,Converted integer binary search to generic binary search,2,0
86,2017-08-21T17:58:00Z,2017-09-13T14:54:18Z,2017-09-13T14:54:18Z,2,96,0,"Added a Node class and Binary Tree Sorting algorithm, can sort strings, floating point numbers, and integers.",2,0
87,2017-08-21T18:20:49Z,2017-08-27T05:08:02Z,2017-08-27T05:08:02Z,3,166,184,"Updated quicksort to its generic version and changed the filename according to convention
#65",2,1
90,2017-09-04T21:12:30Z,2017-09-10T09:38:08Z,2017-09-10T09:38:08Z,1,75,0,Created Dynamic Programming directory and added Fibonacci using memoization technique,2,3
93,2017-09-08T02:12:02Z,2017-09-10T16:21:17Z,2017-09-10T16:21:17Z,1,68,48,"Updated SelectionSort.java to its generic version
#65",2,0
103,2017-09-28T22:27:46Z,2017-10-18T17:14:14Z,2017-10-18T17:14:14Z,1,40,32,"Added level order traversal.
Added more nodes to example tree, to have a complete BST of height 2.
#103",2,1
111,2017-09-29T09:34:44Z,2017-10-02T18:30:21Z,2017-10-02T18:30:21Z,1,117,0,,2,0
126,2017-10-02T07:24:46Z,2017-10-03T09:18:36Z,2017-10-03T09:18:36Z,1,24,0,print all fibonacci till N in O(n) complexity,2,1
127,2017-10-02T07:33:13Z,2017-10-03T09:18:57Z,2017-10-03T09:18:57Z,1,33,0,calculate root upto any precision p,2,1
128,2017-10-02T09:58:36Z,,2017-10-10T18:17:48Z,1,34,0,,3,1
156,2017-10-05T13:56:55Z,2017-10-27T09:30:35Z,2017-10-27T09:30:35Z,1,53,0,Dynamic Programming solution for the popular Egg Dropping Puzzle,2,0
179,2017-10-10T12:58:57Z,,2018-04-09T17:10:33Z,1,49,0,Add ShakerSort algorithm,3,0
188,2017-10-12T22:27:24Z,2017-10-13T13:51:06Z,2017-10-13T13:51:06Z,1,66,0,Added Longest Common Subsequence (LCS) algorithm under Dynamic Programming in Java,3,0
195,2017-10-13T08:23:22Z,2017-10-13T14:12:04Z,2017-10-13T14:12:04Z,4,307,0,"Added Level order traversal using two methods.
Added a program to print the top view of a tree.",2,0
218,2017-10-17T18:27:40Z,2018-03-31T14:57:45Z,2018-03-31T14:57:45Z,3,148,0,adding 2 more short programs in reference to issue #96,3,3
226,2017-10-19T07:30:45Z,2018-03-31T14:54:58Z,2018-03-31T14:54:58Z,1,89,0,"@varunu28
I have implemented the Edit Distance in Java. Please Review and comment and I will make the necessary changes.",4,1
228,2017-10-19T18:54:27Z,,2017-10-21T07:42:48Z,1,49,0,https://en.wikipedia.org/wiki/Extended_Euclidean_algorithm,2,0
229,2017-10-19T21:25:35Z,2017-10-20T03:01:20Z,2017-10-20T03:01:20Z,1,123,0,QueueUsingTwoStacks.java implements the Queue data structure using two Stacks. Implementation and runtime explained in the comments.,2,2
234,2017-10-20T15:33:40Z,,2018-03-31T14:52:17Z,1,117,0,,3,0
