number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
824,2016-02-18T12:50:58Z,,2017-06-16T19:44:14Z,1,1,0,"Think autojump or z, but fuzzy and easy to integrate with the shell.

https://github.com/gsamokovarov/jump

Make sure that you've checked the boxes below before you submit PR:

 I have added my package in alphabetical order
 I know that this package was not listed before
 I have added godoc link to the repo and to my pull request
 I have added coverage service link to the repo and to my pull request
 I have added goreportcard link to the repo and to my pull request
 I have read Contribution guidelines and Quality standard.",3,4
862,2016-03-11T03:23:23Z,,2017-06-28T16:06:15Z,1,1,1,"I would like to add MailSlurper to the list please.

http://mailslurper.com
https://github.com/mailslurper
https://goreportcard.com/report/github.com/mailslurper/mailslurper
https://goreportcard.com/report/github.com/mailslurper/libmailslurper",3,2
887,2016-03-31T04:28:28Z,,2017-07-08T02:36:07Z,1,1,0,"Go Library for FullContact's API
github - https://github.com/Abramovic/fullcontact-go
godoc.org - https://godoc.org/github.com/Abramovic/fullcontact-go
goreportcard.com - https://goreportcard.com/report/github.com/Abramovic/fullcontact-go",3,5
912,2016-04-14T03:39:54Z,,2017-06-28T16:50:41Z,1,1,0,"Please check if what you want to add to awesome-go list meets quality standards before sending pull request. Thanks!
Please provide package links to:

godoc.org: https://godoc.org/github.com/shafreeck/fperf
goreportcard.com: https://goreportcard.com/report/github.com/shafreeck/fperf
gocover.io: https://gocover.io/github.com/shafreeck/fperf/client

Note, that new categories can be added only when there are 3 packages or more.
Make shure that you've checked the boxes below before you submit PR:

 I have added my package in alphabetical order
 I know that this package was not listed before
 I have added godoc link
 I have added gocover.io link
 I have added goreportcard link
 I have read Contribution guidelines and Quality standard.

Thanks for your PR, you're awesome 👍",3,10
916,2016-04-18T07:19:43Z,,2017-06-28T16:56:40Z,1,1,0,"Please check if what you want to add to awesome-go list meets quality standards before sending pull request. Thanks!
Please provide package links to:

godoc.org: https://godoc.org/github.com/gdamore/tcell
goreportcard.com: https://goreportcard.com/report/github.com/gdamore/tcell
gocover.io: https://gocover.io/github.com/gdamore/tcell

Note, that new categories can be added only when there are 3 packages or more.
Make shure that you've checked the boxes below before you submit PR:

 I have added my package in alphabetical order
 I know that this package was not listed before
 I have added godoc link
 I have added gocover.io link
 I have added goreportcard link
 I have read Contribution guidelines and Quality standard.

Thanks for your PR, you're awesome 👍",3,2
920,2016-04-19T19:04:14Z,,2017-06-28T16:56:15Z,1,1,0,"Please check if what you want to add to awesome-go list meets quality standards before sending pull request. Thanks!
Please provide package links to:

godoc.org:
goreportcard.com:
gocover.io:

Note, that new categories can be added only when there are 3 packages or more.
Make sure that you've checked the boxes below before you submit PR:

 I have added my package in alphabetical order
 I know that this package was not listed before
 I have added godoc link
 I have added gocover.io link
 I have added goreportcard link
 I have read Contribution guidelines and Quality standard.

Thanks for your PR, you're awesome 👍",4,4
927,2016-04-25T14:40:13Z,,2017-06-28T16:55:52Z,1,2,1,"crypto -Go supplementary cryptography libraries
godoc.org
goreportcard.com
gocover.io

Make sure that you've checked the boxes below before you submit PR:

 I have added my package in alphabetical order
 I know that this package was not listed before
 I have added godoc link
 I have added gocover.io link
 I have added goreportcard link
 I have read Contribution guidelines and Quality standard",3,5
936,2016-05-04T17:44:23Z,2017-03-07T03:57:29Z,2017-03-07T03:57:29Z,1,1,0,"Please check if what you want to add to awesome-go list meets quality standards before sending pull request. Thanks!
Please provide package links to:
github.com repo: https://github.com/FlashBoys/go-finance
godoc.org: https://godoc.org/github.com/FlashBoys/go-finance
goreportcard.com: https://goreportcard.com/report/github.com/Flashboys/go-finance
coverage service link (gocover, coveralls etc.): https://codecov.io/github/FlashBoys/go-finance?branch=master
Note, that new categories can be added only when there are 3 packages or more.
Make sure that you've checked the boxes below before you submit PR:

 I have added my package in alphabetical order
 I know that this package was not listed before
 I have added godoc link
 I have added gocover.io link
 I have added goreportcard link
 I have read Contribution guidelines and Quality standard.

Thanks for your PR, you're awesome! 👍",3,6
938,2016-05-05T02:05:02Z,,2017-06-28T16:54:54Z,1,1,0,"Please check if what you want to add to awesome-go list meets quality standards before sending pull request. Thanks!
Please provide package links to:

godoc.org:
goreportcard.com:
gocover.io:

Note, that new categories can be added only when there are 3 packages or more.
Make sure that you've checked the boxes below before you submit PR:

 I have added my package in alphabetical order
 I know that this package was not listed before
 I have added godoc link
 I have added gocover.io link
 I have added goreportcard link
 I have read Contribution guidelines and Quality standard.

Thanks for your PR, you're awesome! 👍",3,2
939,2016-05-05T08:01:44Z,,2017-06-28T16:54:20Z,1,1,0,"I added all the links, although godoc don't make much sense since this is a cmdline tool, not a library. Also, for some reason gocover don't show any test result. go test . runs all tests for me. But since it needs some code generation it should run make test anyway.
Please check if what you want to add to awesome-go list meets quality standards before sending pull request. Thanks!
Please provide package links to:

godoc.org: https://godoc.org/github.com/tkrajina/ftmpl
goreportcard.com:  https://goreportcard.com/report/github.com/tkrajina/ftmpl
gocover.io: https://gocover.io/github.com/tkrajina/ftmpl

Note, that new categories can be added only when there are 3 packages or more.
Make sure that you've checked the boxes below before you submit PR:

 I have added my package in alphabetical order
 I know that this package was not listed before
 I have added godoc link
 I have added gocover.io link
 I have added goreportcard link
 I have read Contribution guidelines and Quality standard.

Thanks for your PR, you're awesome! 👍",3,3
